##4000550		
Whenever	whenever	rrqv
.	.	y
Scholarship	scholarship	nn1
<p>	<p>	y
In	in	ii
Proust	proust	np1
,	,	y
Mann	mann	np1
,	,	y
Joyce	joyce	np1
in	in	ii
the	the	at
Modernist	modernist	jj
Context	context	nn1
(	(	y
Catholic	catholic	jj_nn1
University	university	nn1
of	of	io
America	america	np1
Press	press	nn1_vv0
,	,	y
2003	2003	mc
)	)	y
,	,	y
Gerald	gerald	np1
Gillepsie	gillepsie	np1
,	,	y
Professor	professor	nn1
Emeritus	emeritus	jj
at	at	ii
Stanford	stanford	np1
and	and	cc
past	past	jj_nn1
president	president	nn1
of	of	io
the	the	at
International	international	jj
Comparative	comparative	jj
Literature	literature	nn1
Association	association	nn1
,	,	y
argues	argue	vvz
provocatively	provocatively	rr
that	that	cst
these	these	dd2
three	three	mc
giants	giant	nn2
of	of	io
twentieth-century	twentieth-century	jj
literature	literature	nn1
transcend	transcend	vv0
modernist	modernist	jj
fragmentation	fragmentation	nn1
and	and	cc
discontinuity	discontinuity	nn1
to	to	to
attain	attain	vvi
holistic	holistic	jj
vision	vision	nn1
.	.	y
Important	important	jj
Issues	issue	nn2
<p>	<p>	y
"	"	y
Degree	degree	nn1
in	in	ii
Debt	debt	nn1
,	,	y
"	"	y
Angie	angie	np1
Cannon	cannon	np1@_nn
,	,	y
Reader	reader	nn1
's	's	ge
Digest	digest	nn1
,	,	y
November	november	npm1
2003	2003	mc
,	,	y
is	be	vbz
an	a	at1
informative	informative	jj
discussion	discussion	nn1
of	of	io
this	this	dd1
too	too	rg
neglected	neglected	jj
topic	topic	nn1
,	,	y
the	the	at
burdensome	burdensome	jj
debt	debt	nn1
young	young	jj
people	people	nn
and	and	cc
their	their	appge
families	family	nn2
often	often	rr
incur	incur	vv0
nowadays	nowadays	rt
in	in	bcl21
order	order	bcl22
to	to	to
secure	secure	vvi
the	the	at
college	college	nn1
degree	degree	nn1
.	.	y
Is	be	vbz
n't	n't	xx
it	it	pph1
ironic	ironic	jj
that	that	cst
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
many	many	da2
of	of	io
its	its	z'
workers	worker	nn2
as	as	csa_rg@
poorly	poorly	rr
compensated	compensate	vvn_vvd
adjuncts	adjunct	nn2
,	,	y
but	but	ccb
has	have	vhz
also	also	rr
managed	manage	vvn
to	to	to
make	make	vvi
its	its	z'
product	product	nn1
so	so	rg
expensive	expensive	jj
as	as	csa
to	to	to
put	put	vvi
its	its	z'
"	"	y
consumers	consumer	nn2
"	"	y
in	in	ii
debt	debt	nn1
for	for	if
half	half	db
of	of	io
their	their	appge
adult	adult	nn1_jj@
lives	life	nn2_vvz
?	?	y
<p>	<p>	y
Amanda	amanda	np1
Paulson	paulson	np1
,	,	y
Christian	christian	jj
Science	science	nn1
Monitor	monitor	nn1
(	(	y
10	10	mc
December	december	npm1
2003	2003	mc
)	)	y
,	,	y
"	"	y
Religious	religious	jj
Upsurge	upsurge	nn1
Brings	bring	vvz
Culture	culture	nn1
Clash	clash	nn1_vv0
to	to	ii
College	college	nn1
Campuses	campus	nn2
,	,	y
"	"	y
reports	report	vvz_nn2
on	on	ii
the	the	at
rising	rising	jj@_nn1@
interest	interest	nn1
in	in	ii
evangelical	evangelical	jj
Christianity	christianity	nn1
at	at	ii
Northwestern	northwestern	jj
University	university	nn1
.	.	y
Other	other	jj
reports	report	nn2
have	have	vh0
noted	note	vvn
similar	similar	jj
movements	movement	nn2
at	at	ii
places	place	nn2
like	like	ii
Harvard	harvard	np1
and	and	cc
M.I.T.	mit	np1
Lest	lest	cs
anyone	anyone	pn1
think	think	vv0
this	this	dd1
portends	portend	vvz
an	a	at1
automatic	automatic	jj
shift	shift	nn1@_vv0
toward	toward	ii
traditional	traditional	jj
social	social	jj
values	value	nn2
,	,	y
however	however	rr
,	,	y
Phillip	phillip	np1
Johnson	johnson	np1
offers	offer	vvz@_nn2
this	this	dd1
caution	caution	nn1
on	on	ii
an	a	at1
Internet	internet	nn1
news	news	nn1
list	list	nn1
dealing	deal	vvg
with	with	iw
religious	religious	jj
questions	question	nn2
:	:	y
"	"	y
The	the	at
great	great	jj
universities	university	nn2
all	all	db_rr@
adopted	adopt	vvd_vvn
a	a	at1
dogmatic	dogmatic	jj
naturalism	naturalism	nn1
in	in	ii
the	the	at
century	century	nnt1
after	after	ii_cs
1859	1859	mc
,	,	y
and	and	cc
turned	turn	vvd_vvn
thereafter	thereafter	rt
to	to	ii
the	the	at
romanticism	romanticism	nn1
of	of	io
the	the	at
Sixties	sixties	mc2
and	and	cc
then	then	rt
the	the	at
relativism	relativism	nn1
we	we	ppis2
call	call	vv0
postmodernism	postmodernism	nn1
.	.	y
.	.	y
The	the	at
current	current	jj
upsurge	upsurge	nn1
in	in	ii
Christian	christian	jj
witness	witness	nn1
will	will	vm
become	become	vvi
permanent	permanent	jj
only	only	jj_rr
if	if	cs
epistemic	epistemic	jj
naturalism	naturalism	nn1
is	be	vbz
effectively	effectively	rr
challenged	challenge	vvn_vvd
.	.	y
"	"	y
Johnson	johnson	np1
's	's	ge
insight	insight	nn1
seems	seem	vvz
borne	bear	vvn
out	out	rp
by	by	ii
Alan	alan	np1
Wolfe	wolfe	np1
's	's	ge
new	new	jj
book	book	nn1
,	,	y
The	the	at
Transformation	transformation	nn1
of	of	io
American	american	jj
Religion	religion	nn1
:	:	y
How	how	rrq
We	we	ppis2
Actually	actually	rr
Live	live	vv0
Our	our	appge
Faith	faith	nn1
(	(	y
Free	free	jj
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
America	america	np1
has	have	vhz
been	be	vbn
reduced	reduce	vvn
to	to	ii
therapeutic	therapeutic	jj
individualism	individualism	nn1
and	and	cc
that	that	cst_dd1
even	even	rr
evangelical	evangelical	jj
Christianity	christianity	nn1
is	be	vbz
now	now	rt
comfortably	comfortably	rr
mainstream	mainstream	jj
and	and	cc
generally	generally	rr
quiescent	quiescent	jj
in	in	ii
the	the	at
culture	culture	nn1
wars	war	nn2
.	.	y
The	the	at
Great	great	jj
Tradition	tradition	nn1
<p>	<p>	y
Steven	steven	np1
Lenzner	lenzner	np1_nn1
and	and	cc
William	william	np1
Kristol	kristol	np1
,	,	y
"	"	y
What	what	ddq
Was	be	vbdz
Leo	leo	np1
Strauss	strauss	np1
Up	up	ii21
To	to	ii22
?	?	y
"	"	y
Public	public	jj_nn1
Interest	interest	nn1
(	(	y
Fall	fall	vv0_nn1
2003	2003	mc
)	)	y
is	be	vbz
a	a	at1
valuable	valuable	jj
summary	summary	nn1
of	of	io
the	the	at
work	work	nn1
of	of	io
this	this	dd1
influential	influential	jj
thinker	thinker	nn1
.	.	y
The	the	at
reader	reader	nn1
learns	learn	vvz
of	of	io
"	"	y
Strauss	strauss	np1
's	's	ge
rehabilitation	rehabilitation	nn1
of	of	io
the	the	at
classical	classical	jj
understanding	understanding	nn1
of	of	io
'	'	ge
regime	regime	nn1
.	.	y
'	'	"@_ge
To	to	to
understand	understand	vvi
political	political	jj
life	life	nn1
in	in	ii31
terms	terms	ii32
of	of	ii33
regimes	regime	nn2
,	,	y
"	"	y
the	the	at
authors	author	nn2
continue	continue	vv0
,	,	y
"	"	y
is	be	vbz
to	to	to
recognize	recognize	vvi
that	that	dd1_cst
political	political	jj
life	life	nn1
always	always	rr
partakes	partake	vvz_nn2
of	of	io
both	both	db2
the	the	at
universal	universal	jj
(	(	y
principles	principle	nn2
of	of	io
justice	justice	nn1
or	or	cc
rule	rule	nn1
)	)	y
and	and	cc
the	the	at
particular	particular	jj_nn1@
(	(	y
'	'	"@_ge
our	our	appge
'	'	ge
borders	border	nn2
,	,	y
language	language	nn1
,	,	y
customs	custom	nn2
,	,	y
etc	etc	ra
.	.	y
)	)	y
.	.	y
"	"	y
<p>	<p>	y
It	it	pph1
would	would	vm
be	be	vbi
most	most	rgt
helpful	helpful	jj
if	if	cs_csw@
Straussians	straussian	nn2
began	begin	vvd
to	to	to
emphasize	emphasize	vvi
this	this	dd1
second	second	nnt1_md
aspect	aspect	nn1
of	of	io
the	the	at
master	master	nn1
's	's	ge
thought	thought	nn1_vvn
,	,	y
unknown	unknown	jj
to	to	ii
many	many	da2
of	of	io
us	us	ppio2
who	who	pnqs
admire	admire	vv0
him	him	ppho1
for	for	if
his	his	appge
critique	critique	nn1
of	of	io
historicism	historicism	nn1
.	.	y
Post	post	ii@_nn1
Grutter	grutter	np1_nn1
,	,	y
it	it	pph1
is	be	vbz
clear	clear	jj
that	that	cst_dd1
"	"	y
signing	sign	vvg_nn1
onto	onto	ii
a	a	at1
slate	slate	nn1
of	of	io
universal	universal	jj
propositions	proposition	nn2
"	"	y
is	be	vbz
not	not	xx
enough	enough	rr_dd
for	for	if
America	america	np1
to	to	to
retain	retain	vvi
its	its	z'
character	character	nn1
or	or	cc
even	even	rr
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
attention	attention	nn1
to	to	ii
particularism	particularism	nn1
is	be	vbz
the	the	at
outstanding	outstanding	jj
critique	critique	nn1
Michael	michael	np1
Novak	novak	np
makes	make	vvz
of	of	io
the	the	at
United	united	np1
States	state	np1
District	district	nn1
Court	court	nn1
's	's	ge
decision	decision	nn1
against	against	ii
former	former	da
Alabama	alabama	np1
Chief	chief	jj_nn1
Justice	justice	nn1_np1@
Roy	roy	np1
Moore	moore	np1
,	,	y
who	who	pnqs
installed	install	vvd
a	a	at1
large	large	jj
monument	monument	nn1
of	of	io
the	the	at
Ten	ten	m
Commandments	commandment	nn2
in	in	ii
the	the	at
state	state	nn1
courthouse	courthouse	nn1
.	.	y
Taking	take	vvg
issue	issue	nn1
with	with	iw
the	the	at
decision	decision	nn1
's	's	ge
reasoning	reason	vvg_nn1
that	that	cst
the	the	at
monument	monument	nn1
violated	violate	vvd_vvn
the	the	at
First	first	md
Amendment	amendment	nn1
in	in	ii_cs21%
that	that	dd1_cs22@
it	it	pph1
accorded	accord	vvd@_vvn
a	a	at1
special	special	jj
role	role	nn1
to	to	ii
Judaism	judaism	nn1
and	and	cc
Christianity	christianity	nn1
in	in	ii
the	the	at
nation	nation	nn1
's	's	ge
understanding	understanding	nn1
of	of	io
civil	civil	jj
and	and	cc
political	political	jj
rights	right	nn2
,	,	y
Novak	novak	np
argues	argue	vvz
that	that	cst
the	the	at
specific	specific	jj
right	right	nn1
of	of	io
religious	religious	jj
freedom	freedom	nn1
guaranteed	guarantee	vvn
by	by	ii
the	the	at
United	united	np1
States	state	np1
Constitution	constitution	nn1
is	be	vbz
based	base	vvn
on	on	ii
Judeo-Christian	judeo-christian	jj
concepts	concept	nn2
not	not	xx
replicated	replicate	vvn
in	in	ii
any	any	dd
other	other	jj
religion	religion	nn1
.	.	y
"	"	y
The	the	at
Ten	ten	m
Commandments	commandment	nn2
Controversy	controversy	nn1
,	,	y
"	"	y
Imprimis	imprimis	np1
(	(	y
December	december	npm1
2003	2003	mc
)	)	y
.	.	y
Notable	notable	jj
Publications	publication	nn2
<p>	<p>	y
A	a	at1
Reader	reader	nn1
for	for	if
the	the	at
Politically	politically	rr
Incorrect	incorrect	jj
(	(	y
Praeger	praeger	np1_vv0_nn1
2003	2003	mc
)	)	y
,	,	y
edited	edit	vvn
by	by	ii
George	george	np1
Zilbergeld	zilbergeld	np1
,	,	y
is	be	vbz
a	a	at1
useful	useful	jj
compendium	compendium	nn1
of	of	io
important	important	jj
anti-PC	anti-pc	jj_nn1
essays	essay	nn2
.	.	y
<p>	<p>	y
My	my	appge
Brother	brother	nn1
's	's	ge
Keeper	keeper	nn1
:	:	y
A	a	at1@_zz1
Memoir	memoir	nn1
and	and	cc
a	a	at1
Message	message	nn1
by	by	ii
Amitai	amitai	np1_jj
Etzioni	etzioni	np1_nn1
(	(	y
Rowman	rowman	np1_nn1
and	and	cc
Littlefield	littlefield	np1
,	,	y
2003	2003	mc
)	)	y
.	.	y
Professor	professor	nn1
of	of	io
sociology	sociology	nn1
and	and	cc
founder	founder	nn1
of	of	io
the	the	at
influential	influential	jj
communitarian	communitarian	jj_nn1
social	social	jj
movement	movement	nn1
,	,	y
Etzioni	etzioni	np1_nn1
tells	tell	vvz
his	his	appge
life	life	nn1
story	story	nn1
and	and	cc
explains	explain	vvz
the	the	at
evolution	evolution	nn1
of	of	io
his	his	appge
beliefs	belief	nn2
.	.	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
Network	network	nn1
,	,	y
which	which	ddq
publishes	publish	vvz
a	a	at1
quarterly	quarterly	nn1_jj_rr
,	,	y
The	the	at
Responsive	responsive	jj
Community	community	nn1
.	.	y
<p>	<p>	y
In	in	ii
"	"	y
Death	death	nn1
of	of	io
the	the	at
Liberal	liberal	jj
Arts	art	nn2
:	:	y
A	a	zz1_at1@
Special	special	jj
Report	report	nn1
from	from	ii
the	the	at
Independent	independent	jj_nn1
Women	woman	nn2
's	's	ge
Forum	forum	nn1
,	,	y
"	"	y
Melana	melana	np1
Zyla	zyla	np1
Vickers	vickers	np1
examines	examine	vvz
the	the	at
first-year	first-year	jj
offerings	offering	nn2
of	of	io
a	a	at1
number	number	nn1
of	of	io
prestigious	prestigious	jj
liberal	liberal	jj
arts	art	nn2
colleges	college	nn2
--	--	x
among	among	ii
them	them	ppho2
Williams	williams	np1
,	,	y
Amherst	amherst	np1_vv0_nn1
,	,	y
Swarthmore	swarthmore	np1
,	,	y
Carleton	carleton	np1
,	,	y
and	and	cc
Wellesley	wellesley	np1
--	--	x
and	and	cc
concludes	conclude	vvz
,	,	y
"	"	y
Even	even	rr
at	at	ii
the	the	at
best	best	jjt
liberal	liberal	jj
arts	art	nn2
colleges	college	nn2
,	,	y
freshmen	freshman	nn2
ca	can	vm
n't	n't	xx
obtain	obtain	vvi
a	a	at1
sound	sound	nn1_jj@
education	education	nn1
in	in	ii
history	history	nn1
,	,	y
literature	literature	nn1
,	,	y
and	and	cc
other	other	jj
fundamentals	fundamental	nn2
of	of	io
civilization	civilization	nn1
.	.	y
"	"	y
Available	available	jj
from	from	ii
the	the	at
IWF	iwf	nn1_np1
.	.	y
In	in	ii
Closing	closing	nn1_vvg_jj
:	:	y
<p>	<p>	y
"	"	y
The	the	at
Importance	importance	nn1
of	of	io
the	the	at
Humanities	humanities	nn2
to	to	ii
Democracy	democracy	nn1
"	"	y
was	be	vbdz
the	the	at
2002	2002	mc
McDermott	mcdermott	np1
Lecture	lecture	nn1
at	at	ii
the	the	at
University	university	nn1
of	of	io
Dallas	dallas	np1
,	,	y
given	give	vvn
by	by	ii
Dr.	dr	nnb
Bruce	bruce	np1
Cole	cole	np1
,	,	y
Chairman	chairman	nn1
of	of	io
the	the	at
National	national	jj
Endowment	endowment	nn1
for	for	if
the	the	at
Humanities	humanities	nn2
,	,	y
available	available	jj
from	from	ii
the	the	at
University	university	nn1
of	of	io
Dallas	dallas	np1
,	,	y
Braniff	braniff	np1_vv0_nn1
Graduate	graduate	nn1_vv0
School	school	nn1
of	of	io
Liberal	liberal	jj
Arts	art	nn2
.	.	y
Dr.	dr	nnb
Cole	cole	np1
discusses	discuss	vvz
the	the	at
initiatives	initiative	nn2
that	that	cst
the	the	at
Endowment	endowment	nn1
is	be	vbz
undertaking	undertake	vvg
to	to	to
combat	combat	vvi
decline	decline	nn1
in	in	ii
the	the	at
comprehension	comprehension	nn1
of	of	io
American	american	jj
ideals	ideal	nn2
.	.	y
One	one	mc1
of	of	io
the	the	at
initiatives	initiative	nn2
,	,	y
called	call	vvd@_vvn
"	"	y
We	we	ppis2
the	the	at
People	people	nn
,	,	y
"	"	y
will	will	vm
give	give	vvi
grants	grant	nn2
to	to	to
enhance	enhance	vvi
the	the	at
teaching	teaching	nn1
,	,	y
study	study	nn1_vv0@
,	,	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
People	people	nn
is	be	vbz
also	also	rr
the	the	at
title	title	nn1
of	of	io
a	a	at1
high	high	jj
school	school	nn1
textbook	textbook	nn1
,	,	y
one	one	mc1
of	of	io
the	the	at
publications	publication	nn2
of	of	io
the	the	at
Center	center	nn1
for	for	if
Civic	civic	jj
Education	education	nn1
,	,	y
the	the	at
organization	organization	nn1
commissioned	commission	vvn
by	by	ii
the	the	at
Department	department	nn1
of	of	io
Education	education	nn1
and	and	cc
by	by	ii
Congress	congress	nn1
(	(	y
most	most	rgt
recently	recently	rr
under	under	ii
the	the	at
Goals	goal	nn2
2000	2000	mc
and	and	cc
the	the	at
No	no	xx
Child	child	nn1
Left	leave	vvn_vvd
Behind	behind	ii
legislation	legislation	nn1
)	)	y
to	to	to
create	create	vvi
the	the	at
national	national	jj
standards	standard	nn2
in	in	ii
civics	civics	nn2_nn1
and	and	cc
government	government	nn1
that	that	cst
are	be	vbr
virtually	virtually	rr
mandated	mandate	vvn
in	in	ii
K-12	k-12	fo
education	education	nn1
throughout	throughout	ii
the	the	at
country	country	nn1
at	at	ii
the	the	at
present	present	jj_nn1
time	time	nnt1
.	.	y
The	the	at
textbook	textbook	nn1
asserts	assert	vvz
that	that	cst
America	america	np1
's	's	ge
founding	founding	jj@_vvg_nn1@
principles	principle	nn2
arose	arise	vvd
from	from	ii
an	a	at1
eighteenth-century	eighteenth-century	jj
context	context	nn1
,	,	y
and	and	cc
suggests	suggest	vvz
that	that	cst
we	we	ppis2
need	need	vv0
to	to	to
evolve	evolve	vvi
toward	toward	ii
newer	new	jjr
ideas	idea	nn2
,	,	y
as	as	csa
embodied	embody	vvn
in	in	ii
documents	document	nn2
such	such	ii21
as	as	ii22
the	the	at
United	united	jj
Nations	nation	nn2
Universal	universal	jj
Declaration	declaration	nn1
of	of	io
Human	human	jj_nn1
Rights	right	nn2
.	.	y
The	the	at
standards	standard	nn2
are	be	vbr
discussed	discuss	vvn
at	at	rr21
length	length	rr22
in	in	ii
Alan	alan	np1
Quist	quist	np1
's	be	vbz_vhz@_ge
Fed	feed	vvn_vvd
Ed	ed	np1
,	,	y
published	publish	vvn
by	by	ii
the	the	at
Maple	maple	np1
River	river	nnl1
Education	education	nn1
Coalition	coalition	nn1
and	and	cc
noted	note	vvn_vvd
in	in	ii_rp@
last	last	md
issue	issue	nn1
's	be	vbz_ge
B	b	zz1_np1@
&A.;	&a.;	x
Let	let	vv0
us	us	ppio2
hope	hope	vvi
that	that	cst
the	the	at
NEH	neh	np1
's	's	ge_vbz
We	we	ppis2
the	the	at
People	people	nn
will	will	vm
counter	counter	vvi
the	the	at
effects	effect	nn2
of	of	io
that	that	dd1
of	of	io
the	the	at
CCE	cce	nn1_np1
.	.	y
<p>	<p>	y
Apropos	apropos	rr
of	of	io
the	the	at
idea	idea	nn1
of	of	io
political	political	jj
"	"	y
evolution	evolution	nn1
,	,	y
"	"	y
a	a	at1
recent	recent	jj
issue	issue	nn1
of	of	io
the	the	at
monthly	monthly	jj
newsletter	newsletter	nn1
of	of	io
the	the	at
Claremont	claremont	np1
Institute	institute	nn1
,	,	y
The	the	at
Proposition	proposition	nn1
offered	offer	vvd_vvn
this	this	dd1_rg%
magnificent	magnificent	jj
quotation	quotation	nn1
from	from	ii
Calvin	calvin	np1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
in	in	ii
our	our	appge
present	present	jj_nn1
context	context	nn1
:	:	y
<p>	<p>	y
About	about	ii
the	the	at
Declaration	declaration	nn1
of	of	io
Independence	independence	nn1
there	there	ex_rl
is	be	vbz
a	a	at1
finality	finality	nn1
that	that	cst_dd1
is	be	vbz
exceedingly	exceedingly	rr
restful	restful	jj
.	.	y
It	it	pph1
is	be	vbz
often	often	rr
asserted	assert	vvn
that	that	cst
the	the	at
world	world	nn1
has	have	vhz
made	make	vvn
a	a	at1
great	great	jj
deal	deal	nn1
of	of	io
progress	progress	nn1
since	since	ii
1776	1776	mc
,	,	y
that	that	cst
we	we	ppis2
have	have	vh0
had	have	vhn
new	new	jj
thoughts	thought	nn2
and	and	cc
new	new	jj
experiences	experience	nn2
which	which	ddq
have	have	vh0
given	give	vvn
us	us	ppio2
a	a	at1
great	great	jj
advance	advance	nn1
over	over	ii
the	the	at
people	people	nn
of	of	io
that	that	dd1
day	day	nnt1
,	,	y
and	and	cc
that	that	cst
we	we	ppis2
may	may	vm
therefore	therefore	rr
very	very	rg
well	well	rr
discard	discard	vvi
their	their	appge
conclusions	conclusion	nn2
for	for	if
something	something	pn1
more	more	rgr_dar
modern	modern	jj
.	.	y
But	but	ccb
that	that	dd1
reasoning	reasoning	nn1
can	can	vm
not	not	xx
be	be	vbi
applied	apply	vvn
to	to	ii
this	this	dd1
great	great	jj
charter	charter	nn1
.	.	y
If	if	cs
all	all	db
men	man	nn2
are	be	vbr
created	create	vvn
equal	equal	jj
,	,	y
that	that	dd1_cst
is	be	vbz
final	final	jj
.	.	y
If	if	cs
they	they	pphs2
are	be	vbr
endowed	endow	vvn
with	with	iw
inalienable	inalienable	jj
rights	right	nn2
,	,	y
that	that	dd1_cst
is	be	vbz
final	final	jj
.	.	y
If	if	cs
governments	government	nn2
derive	derive	vv0
their	their	appge
just	just	jj
powers	power	nn2
from	from	ii
the	the	at
consent	consent	nn1
of	of	io
the	the	at
governed	governed	jj%_vvn
,	,	y
that	that	dd1_cst
is	be	vbz
final	final	jj
.	.	y
No	no	xx
advance	advance	nn1_vv0
,	,	y
no	no	at
progress	progress	nn1
can	can	vm
be	be	vbi
made	make	vvn
beyond	beyond	ii
these	these	dd2
propositions	proposition	nn2
.	.	y
If	if	cs
anyone	anyone	pn1
wishes	wish	vvz
to	to	to
deny	deny	vvi
their	their	appge
truth	truth	nn1
or	or	cc
their	their	appge
soundness	soundness	nn1
,	,	y
the	the	at
only	only	jj
direction	direction	nn1
in	in	ii
which	which	ddq
he	he	pphs1
can	can	vm
proceed	proceed	vvi
historically	historically	rr
is	be	vbz
not	not	xx
forward	forward	rl
,	,	y
but	but	ccb
backward	backward	rl_jj
toward	toward	ii
the	the	at
time	time	nnt1
when	when	rrq
there	there	ex
was	be	vbdz
no	no	at
equality	equality	nn1
,	,	y
no	no	at
rights	right	nn2
of	of	io
the	the	at
individual	individual	nn1_jj
,	,	y
no	no	at
rule	rule	nn1
of	of	io
the	the	at
people	people	nn
.	.	y
Those	those	dd2
who	who	pnqs
wish	wish	vv0
to	to	to
proceed	proceed	vvi
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
They	they	pphs2
are	be	vbr
reactionary	reactionary	jj
.	.	y
Their	their	appge
ideas	idea	nn2
are	be	vbr
not	not	xx
more	more	rgr_dar
modern	modern	jj
,	,	y
but	but	ccb
more	more	rgr
ancient	ancient	jj
,	,	y
than	than	csn
those	those	dd2
of	of	io
the	the	at
Revolutionary	revolutionary	jj
fathers	father	nn2
.	.	y
<p>	<p>	y
Compiled	compile	vvn_vvd
,	,	y
with	with	iw
Commentary	commentary	nn1
Carol	carol	np1
Iannone	iannone	np1_nn1
<p>	<p>	y
##4000556		
23	23	mc
June	june	npm1
2003	2003	mc
was	be	vbdz
a	a	at1
dark	dark	jj
day	day	nnt1
for	for	if
the	the	at
United	united	np1
States	state	np1
of	of	io
America	america	np1
.	.	y
On	on	ii
that	that	dd1
day	day	nnt1
the	the	at
Supreme	supreme	jj
Court	court	nn1
handed	hand	vvd_vvn
down	down	rp
its	its	z'
decision	decision	nn1
in	in	ii
Grutter	grutter	np1_nn1
v.	xx_v	ii
Bollinger	bollinger	np1
,	,	y
allowing	allow	vvg
preferences	preference	nn2
in	in	ii
admissions	admission	nn2
to	to	ii
the	the	at
University	university	nn1
of	of	io
Michigan	michigan	np1
Law	law	nn1
School	school	nn1
based	base	vvn
on	on	ii
race	race	nn1
and	and	cc
ethnicity	ethnicity	nn1
and	and	cc
for	for	if
the	the	at
purported	purported	jj
goal	goal	nn1
of	of	io
securing	secure	vvg
the	the	at
educational	educational	jj
benefits	benefit	nn2
of	of	io
diversity	diversity	nn1
,	,	y
a	a	at1
purpose	purpose	nn1
deemed	deem	vvn_vvd@
a	a	at1
"	"	y
compelling	compelling	jj
state	state	nn1
interest	interest	nn1
"	"	y
by	by	ii
the	the	at
Court	court	nn1
.	.	y
Writing	write	vvg_nn1
for	for	if
the	the	at
majority	majority	nn1
,	,	y
Justice	justice	np1@
O'Connor	o'connor	np1
accepted	accept	vvd
the	the	at
Law	law	nn1
School	school	nn1
's	's	ge
claim	claim	nn1
that	that	cst
a	a	at1
"	"	y
critical	critical	jj
mass	mass	nn1
"	"	y
of	of	io
minority	minority	nn1
students	student	nn2
had	have	vhd
been	be	vbn
achieved	achieve	vvn
not	not	xx
through	through	ii_jj%
quotas	quota	nn2
but	but	ccb
through	through	ii
"	"	y
individualized	individualized	jj@
review	review	nn1
,	,	y
"	"	y
even	even	cs21
though	though	cs22
the	the	at
number	number	nn1
of	of	io
minorities	minority	nn2_nnu
accepted	accept	vvd_vvn
each	each	dd1
year	year	nnt1
exactly	exactly	rr
tracked	track	vvd
their	their	appge
various	various	jj
proportions	proportion	nn2
of	of	io
the	the	at
admissions	admission	nn2
pool	pool	nn1
,	,	y
as	as	csa
was	be	vbdz
pointed	point	vvn
out	out	rp
in	in	ii
the	the	at
dissent	dissent	nn1
written	write	vvn
by	by	ii
Chief	chief	jj_nn1
Justice	justice	nn1
Rehnquist	rehnquist	nn1
.	.	y
<p>	<p>	y
On	on	ii
the	the	at
same	same	da
day	day	nnt1
,	,	y
in	in	ii
Gratz	gratz	np1
v.	xx_v	ii
Bollinger	bollinger	np1
,	,	y
the	the	at
Court	court	nn1
disallowed	disallow	vvd_vvn
the	the	at
automatic	automatic	jj
awarding	awarding	nn1@
of	of	io
bonus	bonus	nn1
admissions	admission	nn2
points	point	vvz_nn2
to	to	ii
minorities	minority	nnu_nn2
in	in	ii
Michigan	michigan	np1
's	's	ge
undergraduate	undergraduate	nn1
division	division	nn1
as	as	csa_ii@
constituting	constitute	vvg
a	a	at1
quota	quota	nn1
system	system	nn1
.	.	y
This	this	dd1
hardly	hardly	rr
compensated	compensate	vvn_vvd
for	for	if
Grutter	grutter	np1_nn1
,	,	y
however	however	rr
,	,	y
which	which	ddq
effectively	effectively	rr
overrides	override	vvz
the	the	at
Fourteenth	fourteenth	md
Amendment	amendment	nn1
and	and	cc
the	the	at
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
been	be	vbn
the	the	at
bedrock	bedrock	nn1
of	of	io
the	the	at
American	american	jj
ideal	ideal	nn1@_jj
.	.	y
(	(	y
See	see	vv0
Edward	edward	np1
J.	xx_j	np1
Erler	erler	np1
,	,	y
"	"	y
The	the	at
Michigan	michigan	np1
Affirmative	affirmative	jj_nn1
Action	action	nn1
Cases	case	nn2
:	:	y
An	a	at1
Historical	historical	jj
Perspective	perspective	nn1
,	,	y
"	"	y
Imprimis	imprimis	np1_nn1
,	,	y
September	september	npm1
2003	2003	mc
.	.	y
)	)	y
The	the	at
following	following	jj
are	be	vbr
some	some	dd
of	of	io
the	the	at
notable	notable	jj
responses	response	nn2
from	from	ii
opponents	opponent	nn2
of	of	io
racial	racial	jj
preferences	preference	nn2
.	.	y
A	a	at1
number	number	nn1
of	of	io
them	them	ppho2
appeared	appear	vvd
in	in	ii_rp@
National	national	jj
Review	review	nn1
and	and	cc
National	national	jj
Review	review	nn1
Online	online	rr_jj
.	.	y
Both	both	db2_rr
have	have	vh0
shown	show	vvn
an	a	at1
especial	especial	jj
and	and	cc
welcome	welcome	jj
interest	interest	nn1
in	in	ii
this	this	dd1
crucial	crucial	jj
discussion	discussion	nn1
.	.	y
(	(	y
See	see	vv0
