##54361		
Announcer	announcer	np1_nn1
research	research	nn1
,	,	y
in	in	ii
linking	link	vvg
a	a	at1
new	new	jj
clue	clue	nn1
to	to	ii
the	the	at
mystery	mystery	nn1
of	of	io
why	why	rrq
the	the	at
spinal	spinal	jj
cord	cord	nn1
develops	develop	vvz
that	that	dd1_cst
memory	memory	nn1
of	of	io
pain	pain	nn1
that	that	cst_dd1
wo	will	vm
n't	n't	xx
go	go	vvi
away	away	rl
.	.	y
@!Dr-BASBAUM		zzq
:	:	y
I	i	ppis1
mean	mean	vv0
,	,	y
the	the	at
good	good	jj
news	news	nn1
is	be	vbz
that	that	cst
the	the	at
basic	basic	jj
science	science	nn1
of	of	io
pain	pain	nn1
mechanisms	mechanism	nn2
has	have	vhz
now	now	rt
identified	identify	vvn_vvd@
a	a	at1
slew	slew	nn1
of	of	io
new	new	jj
targets	target	nn2
,	,	y
new	new	jj
therapeutic	therapeutic	jj
targets	target	nn2
.	.	y
That	that	dd1
's	be	vbz
exciting	exciting	jj
.	.	y
@(Footage-of-crowds-)		zzc
@!TEICHNER		zzq
:	:	y
@(Voiceover)		zzc
Especially	especially	rr
for	for	if
nearly	nearly	rr
80	80	mc
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
attitude	attitude	nn1
of	of	io
baby	baby	nn1
boomers	boomer	nn2
,	,	y
that	that	cst
they	they	pphs2
're	be	vbr
not	not	xx
going	go	vvgk
to	to	to
tolerate	tolerate	vvi
the	the	at
kinds	kind	nn2
of	of	io
discomforts	discomfort	nn2
that	that	cst
their	their	appge
parents	parent	nn2
or	or	cc
grandparents	grandparent	nn2
tolerated	tolerate	vvn_vvd
?	?	y
@!Dr-PALMER		zzq
:	:	y
Absolutely	absolutely	rr
.	.	y
It	it	pph1
's	be	vbz
going	go	vvgk
to	to	to
be	be	vbi
a	a	at1
very	very	rg
large	large	jj
market	market	nn1
,	,	y
and	and	cc
there	there	ex
's	be	vbz
plenty	plenty	pn
of	of	io
companies	company	nn2
now	now	cs21_rt@
that	that	cs22_cst%
are	be	vbr
realizing	realize	vvg
that	that	dd1
and	and	cc
really	really	rr
trying	try	vvg
to	to	to
push	push	vvi
forward	forward	rl
and	and	cc
get	get	vvi
some	some	dd
technology	technology	nn1
out	out	rp
there	there	rl
to	to	to
help	help	vvi
this	this	dd1
group	group	nn1
.	.	y
@(Footage-of-people-)		zzc
@!TEICHNER		zzq
:	:	y
@(Voiceover)		zzc
According	according	ii21
to	to	ii22
today	today	rt
's	's	ge
CBS	cbs	np1
News	news	nn1
poll	poll	nn1
,	,	y
one	one	mc1
out	out	rp
of	of	io
four	four	mc
Americans	american	nn2
takes	take	vvz
something	something	pn1
for	for	if
pain	pain	nn1
every	every	at1
day	day	nnt1
--		nn1
every	every	at1
day	day	nnt1
.	.	y
Pain	pain	nn1
is	be	vbz
big	big	jj
business	business	nn1
,	,	y
which	which	ddq
may	may	vm
be	be	vbi
the	the	at
biggest	big	jjt
reason	reason	nn1
for	for	if
hope	hope	nn1
.	.	y
qwq		xx
@		ii
(	(	y
Visual-of-SUNDAY-M		np1
@(Footage-of-Trey-An)		zzc
@!OSGOOD		zzq
:	:	y
@(Voiceover)		zzc
Ahead	ahead	rl
,	,	y
Trey	trey	np1
Anastasio	anastasio	np1_nn1@
of	of	io
the	the	at
rock	rock	nn1
band	band	nn1
Phish	phish	nn1
,	,	y
changing	change	vvg_jj
course	course	nn1
in	in	ii
midstream	midstream	rl_jj
.	.	y
@(Announcements)		zzc
##54372		
BANDALOOP	bandaloop	np1_vv0
Announcer	announcer	np1
:	:	y
It	it	pph1
's	be	vbz
SUNDAY	sunday	npd1
MORNING	morning	nnt1
on	on	ii
CBS	cbs	np1
,	,	y
and	and	cc
here	here	rl
again	again	rt
is	be	vbz
Charles	charles	np1
Osgood	osgood	np1
.	.	y
@!CHARLES-OSGOOD-ho		zzq
:	:	y
More	more	rrr_dar
often	often	rr
than	than	csn
not	not	xx
,	,	y
if	if	cs
you	you	ppy
want	want	vv0
to	to	to
see	see	vvi
the	the	at
dance	dance	nn1
troupe	troupe	nn1
Bandaloop	bandaloop	vv0
you	you	ppy
'll	will	vm
have	have	vhi
to	to	to
look	look	vvi
at	at	ii
the	the	at
unlikeliest	unlikely	jjt
of	of	io
places	place	nn2
,	,	y
because	because	cs
as	as	csa_ii@
Rita	rita	np1
Braver	brave	jjr
is	be	vbz
about	about	rpk
to	to	to
show	show	vvi
us	us	ppio2
,	,	y
for	for	if
Bandaloop	bandaloop	nn1_np1
all	all	db
the	the	at
world	world	nn1
is	be	vbz
a	a	at1
stage	stage	nn1
.	.	y
@(Footage-of-Bandalo)		zzc
@!RITA-BRAVER-report		zzq
:	:	y
@(Voiceover)		zzc
No	no	uh
,	,	y
this	this	dd1
is	be	vbz
not	not	xx
a	a	at1
special	special	jj
effect	effect	nn1
.	.	y
These	these	dd2
people	people	nn
really	really	rr
are	be	vbr
dancing	dance	vvg
2,500	2,500	mc
feet	foot	nn2
over	over	ii
Yosemite	yosemite	np1
National	national	jj
Park	park	nn1
.	.	y
They	they	pphs2
are	be	vbr
members	member	nn2
of	of	io
Project	project	np1@_nn1
Bandaloop	bandaloop	np1_nn1
,	,	y
a	a	at1
troupe	troupe	nn1
dedicated	dedicate	vvn_vvd
to	to	ii
expanding	expand	vvg
the	the	at
boundaries	boundary	nn2
of	of	io
dance	dance	nn1
,	,	y
to	to	to
define	define	vvi
principles	principle	nn2
of	of	io
gravity	gravity	nn1
,	,	y
to	to	ii
challenging	challenging	jj_vvg
perceptions	perception	nn2
of	of	io
space	space	nn1
.	.	y
Their	their	appge
founder	founder	nn1
and	and	cc
guiding	guiding	jj
spirit	spirit	nn1
is	be	vbz
37-year-old	37-year-old	jj
Amelia	amelia	np1
Rudolph	rudolph	np1
,	,	y
a	a	at1
longtime	longtime	jj
modern	modern	jj
dancer	dancer	nn1
and	and	cc
choreographer	choreographer	nn1
,	,	y
who	who	pnqs
took	take	vvd
up	up	rp
mountain	mountain	nn1
climbing	climb	vvg_nn1
about	about	rg
12	12	mc
years	year	nnt2
ago	ago	ra
.	.	y
@(Voiceover)		zzc
When	when	rrq
did	do	vdd
it	it	pph1
sort	sort	rr21@
of	of	rr22
go	go	vvi
,	,	y
bingo	bingo	nn1
,	,	y
I	i	ppis1
can	can	vm
put	put	vvi
these	these	dd2
two	two	mc
together	together	rl
for	for	if
you	you	ppy
?	?	y
@!Ms-AMELIA-RUDOLPH-		zzq
:	:	y
@(Voiceover)		zzc
It	it	pph1
evolved	evolve	vvd
.	.	y
It	it	pph1
was	be	vbdz
n't	n't	xx
--		zz
I	i	zz1%_mc1%_ppis1
--		zz
I	i	ppis1
do	do	vd0
n't	n't	xx
think	think	vvi
it	it	pph1
was	be	vbdz
a	a	at1
single	single	jj
moment	moment	nn1
.	.	y
It	it	pph1
was	be	vbdz
the	the	at
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
it	it	pph1
improved	improve	vvd
my	my	appge
climbing	climbing	nn1
.	.	y
And	and	cc
also	also	rr
then	then	rt
to	to	to
be	be	vbi
out	out	rp
in	in	ii
nature	nature	nn1
and	and	cc
be	be	vbi
--		zz
having	have	vhg
the	the	at
inspiration	inspiration	nn1
of	of	io
a	a	at1
natural	natural	jj
place	place	nn1
.	.	y
The	the	at
two	two	mc
just	just	rr
started	start	vvd_vvn@
to	to	to
grow	grow	vvi
towards	towards	ii
each	each	ppx221
other	other	ppx222
and	and	cc
blend	blend	vv0
in	in	rp@
to	to	ii
each	each	ppx221
other	other	ppx222
.	.	y
@(Footage-of-dancers)		zzc
@!BRAVER		zzq
:	:	y
@(Voiceover)		zzc
Soon	soon	rr
she	she	pphs1
was	be	vbdz
recruiting	recruit	vvg
near	near	ii
her	her	appge_ppho1
home	home	nn1_rl
in	in	ii
the	the	at
San	san	np1
Francisco	francisco	np1
Bay	bay	nn1_jj@
Area	area	nn1
.	.	y
She	she	pphs1
went	go	vvd
after	after	ii_cs
dancers	dancer	nn2
who	who	pnqs
could	could	vm
climb	climb	vvi
and	and	cc
climbers	climber	nn2
who	who	pnqs
could	could	vm
dance	dance	vvi
.	.	y
The	the	at
name	name	nn1
Bandaloop	bandaloop	nn1_np1
came	come	vvd
from	from	ii
a	a	at1
fictitious	fictitious	jj
tribe	tribe	nn1
in	in	ii
the	the	at
Tom	tom	np1
Robbins	robbins	np1
'	'	ge
novel	novel	jj_nn1
"	"	y
Jitterbug	jitterbug	nn1
Perfume	perfume	nn1
,	,	y
"	"	y
a	a	at1
tribe	tribe	nn1
that	that	cst_dd1
does	do	vdz
a	a	at1
dance	dance	nn1
of	of	io
longevity	longevity	nn1
.	.	y
@!Ms-RUDOLPH		zzq
:	:	y
I	i	ppis1
like	like	vv0
the	the	at
sound	sound	nn1
of	of	io
it	it	pph1
.	.	y
I	i	ppis1
also	also	rr
like	like	vv0
the	the	at
idea	idea	nn1
that	that	cst_dd1
,	,	y
you	you	ppy
know	know	vv0
,	,	y
there	there	ex
's	be	vbz
a	a	at1
sort	sort	nn1_rr21@
of	of	io_rr22
magical	magical	jj
elixir	elixir	nn1
of	of	io
activity	activity	nn1
that	that	cst_dd1
could	could	vm
somehow	somehow	rr
extend	extend	vvi
your	your	appge
vitality	vitality	nn1
.	.	y
And	and	cc
guess	guess	vvi
what	what	ddq
?	?	y
There	there	ex
's	be	vbz
40-year-old	40-year-old	jj
dancers	dancer	nn2
in	in	ii
the	the	at
company	company	nn1
.	.	y
@(Footage-of-dancers)		zzc
@!BRAVER		zzq
:	:	y
@(Voiceover)		zzc
Both	both	db2_rr
Kimmy	kimmy	np1_jj
Ward	ward	np1_nn1@
and	and	cc
Heather	heather	np1
Baer	baer	np1
are	be	vbr
40	40	mc
.	.	y
Teen-agers	teenager	nn2
need	need	vm@_vv0
not	not	xx
apply	apply	vvi
.	.	y
At	at	ii
25	25	mc
,	,	y
Mark	mark	np1
Stuber	stuber	np1_nn1
is	be	vbz
the	the	at
youngest	young	jjt
member	member	nn1
of	of	io
the	the	at
company	company	nn1
.	.	y
Why	why	rrq
is	be	vbz
the	the	at
youngest	young	jjt
person	person	nn1
in	in	ii
this	this	dd1
troupe	troupe	nn1
a	a	at1
25-year-old	25-year-old	jj_nn1@
rather	rather	ii21
than	than	ii22
a	a	at1
17-year-old	17-year-old	jj_nn1@
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
lot	lot	nn1
of	of	io
gravity	gravity	nn1
to	to	ii
what	what	ddq
we	we	ppis2
do	do	vd0
emotionally	emotionally	rr
,	,	y
even	even	cs21
though	though	cs22
it	it	pph1
's	be	vbz
this	this	dd1_rg%
physical	physical	jj
thing	thing	nn1
.	.	y
@(Footage-of-dancers)		zzc
@!Mr-STUBER		zzq
:	:	y
@(Voiceover)		zzc
We	we	ppis2
're	be	vbr
really	really	rr
in	in	ii
it	it	pph1
and	and	cc
--		zz
and	and	cc
we	we	ppis2
're	be	vbr
lending	lend	vvg
it	it	pph1
meaning	mean	vvg_nn1
as	as	csa
it	it	pph1
's	be	vbz
happening	happen	vvg_nn1
.	.	y
@(Footage-of-waterfa)		zzc
@!BRAVER		zzq
:	:	y
@(Voiceover)		zzc
Nowhere	nowhere	rl
is	be	vbz
that	that	cst_dd1
need	need	vv0_nn1
for	for	if
maturity	maturity	nn1
more	more	rgr
obvious	obvious	jj
than	than	csn
in	in	ii
Yosemite	yosemite	np1
.	.	y
It	it	pph1
's	be	vbz
a	a	at1
three-mile	three-mile	nnu1_jj
hike	hike	nn1
up	up	ii21
to	to	ii22
the	the	at
staging	staging	nn1
area	area	nn1
,	,	y
a	a	at1
jagged	jagged	jj
cliff	cliff	nn1
with	with	iw
Yosemite	yosemite	np1
Falls	fall	nn2
as	as	ii_csa
a	a	at1
backdrop	backdrop	nn1
.	.	y
The	the	at
dancers	dancer	nn2
travel	travel	vv0
with	with	iw
a	a	at1
team	team	nn1
of	of	io
riggers	rigger	nn2
.	.	y
They	they	pphs2
triple	triple	vv0
test	test	vv0
every	every	at1
rope	rope	nn1
,	,	y
every	every	at1
wire	wire	nn1
,	,	y
every	every	at1
bolt	bolt	nn1
.	.	y
And	and	cc
then	then	rt
the	the	at
dancers	dancer	nn2
triple	triple	vv0
check	check	vv0_nn1
everything	everything	pn1
,	,	y
too	too	rr@
.	.	y
@(Voiceover)		zzc
I	i	ppis1
think	think	vv0
people	people	nn
are	be	vbr
going	go	vvgk
to	to	to
ask	ask	vvi
,	,	y
'	'	"@_ge
Have	have	vh0
they	they	pphs2
ever	ever	rr
had	have	vhn
a	a	at1
serious	serious	jj
accident	accident	nn1
?	?	y
'	'	"@_ge
Have	have	vh0
you	you	ppy
?	?	y
@!Ms-RUDOLPH		zzq
:	:	y
We	we	ppis2
've	have	vh0
not	not	xx
had	have	vhn
a	a	at1
serious	serious	jj
accident	accident	nn1
.	.	y
I	i	ppis1
do	do	vd0
think	think	vvi
about	about	ii
it	it	pph1
and	and	cc
I	i	ppis1
think	think	vv0
that	that	cst_dd1
anybody	anybody	pn1
who	who	pnqs
thinks	think	vvz
,	,	y
'	'	"@
Oh	oh	uh
,	,	y
what	what	ddq
a	a	at1
great	great	jj
idea	idea	nn1
.	.	y
I	i	ppis1
think	think	vv0
I	i	ppis1
'll	will	vm
do	do	vdi
that	that	dd1
with	with	iw
my	my	appge
dance	dance	nn1
company	company	nn1
,	,	y
'	'	"@
should	should	vm
call	call	vvi
me	me	ppio1
.	.	y
And	and	cc
I	i	ppis1_zz1%_mc1%
--		zz
and	and	cc
I	i	ppis1
have	have	vh0
had	have	vhn
people	people	nn
call	call	vv0
me	me	ppio1
,	,	y
'	'	"@
Hey	hey	uh
,	,	y
I	i	ppis1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
do	do	vdi
it	it	pph1
,	,	y
too	too	rr@_rg
,	,	y
you	you	ppy
know	know	vv0
.	.	y
'	'	"@_ge
The	the	at
first	first	md
thing	thing	nn1
I	i	ppis1
say	say	vv0
is	be	vbz
,	,	y
'	'	"@_ge
Then	then	rt
are	be	vbr
you	you	ppy
ready	ready	jj
for	for	if
somebody	somebody	pn1
to	to	to
die	die	vvi
?	?	y
'	'	"@_ge
And	and	cc
that	that	cst_dd1
just	just	rr
wakes	wake	vvz
them	them	ppho2
right	right	rr
up	up	rp
.	.	y
Like	like	cs%_vv0@
they	they	pphs2
do	do	vd0
n't	n't	xx
even	even	rr
--		zz
like	like	ii
that	that	dd1
does	do	vdz
n't	n't	xx
even	even	rr
occur	occur	vvi
to	to	ii
them	them	ppho2
.	.	y
Because	because	cs
I	i	ppis1
never	never	rr
forget	forget	vv0
that	that	cst
the	the	at
--		nn1_jj
that	that	cst_dd1
gra	gras	nn1
--		nn1
you	you	ppy
know	know	vv0
,	,	y
gravity	gravity	nn1
does	do	vdz
n't	n't	xx
take	take	vvi
a	a	at1
lunch	lunch	nn1
break	break	nn1
.	.	y
@(Footage-of-perform)		zzc
@!BRAVER		zzq
:	:	y
@(Voiceover)		zzc
In	in	ii31
addition	addition	ii32
to	to	ii33
dancing	dance	vvg_nn1
off	off	rp_ii
mountaintops	mountaintop	nn2
,	,	y
Bandaloop	bandaloop	vv0_np1
also	also	rr
tests	test	vvz@_nn2
gravity	gravity	nn1
by	by	ii
dangling	dangle	vvg
from	from	ii
public	public	jj_nn1
buildings	building	nn2
,	,	y
like	like	ii
the	the	at
Space	space	nn1
Needle	needle	nn1
in	in	ii
Seattle	seattle	np1
.	.	y
And	and	cc
,	,	y
believe	believe	vv0
it	it	pph1
or	or	cc
not	not	xx
,	,	y
Rudolph	rudolph	np1
insists	insist	vvz
that	that	cst
her	her	appge
delight	delight	nn1
in	in	ii
this	this	dd1
comes	come	vvz
not	not	xx
from	from	ii
the	the	at
sense	sense	nn1
of	of	io
risk	risk	nn1
,	,	y
but	but	ccb
from	from	ii
the	the	at
knowledge	knowledge	nn1
that	that	cst
she	she	pphs1
is	be	vbz
exploring	explore	vvg
the	the	at
relationship	relationship	nn1
of	of	io
gravity	gravity	nn1
to	to	ii
movement	movement	nn1
.	.	y
@(Voiceover)		zzc
You	you	ppy
love	love	vv0
it	it	pph1
for	for	if
the	the	at
dance	dance	nn1
.	.	y
@!Ms-RUDOLPH		zzq
:	:	y
@(Voiceover)		zzc
I	i	ppis1
love	love	vv0
it	it	pph1
for	for	if
the	the	at
dance	dance	nn1
.	.	y
I	i	ppis1
love	love	vv0
it	it	pph1
for	for	if
the	the	at
re-creation	recreation	nn1
of	of	io
gravity	gravity	nn1
.	.	y
I	i	ppis1
love	love	vv0
it	it	pph1
for	for	if
the	the	at
redefinition	redefinition	nn1
of	of	io
what	what	ddq
a	a	at1
dance	dance	nn1
floor	floor	nn1
is	be	vbz
.	.	y
I	i	ppis1
love	love	vv0
it	it	pph1
for	for	if
the	the	at
redefinition	redefinition	nn1
of	of	io
architecture	architecture	nn1
,	,	y
for	for	if
the	the	at
redefinition	redefinition	nn1
or	or	cc
re	re	ii
--		nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@!BRAVER		zzq
:	:	y
@(Voiceover)		zzc
It	it	pph1
was	be	vbdz
Bandaloop	bandaloop	np1_nn1
's	's	ge_vbz
different	different	jj
take	take	vv0
on	on	rp
the	the	at
world	world	nn1
that	that	cst
brought	bring	vvd
the	the	at
funding	funding	nn1
for	for	if
this	this	dd1
work	work	nn1
in	in	ii
Yosemite	yosemite	np1
.	.	y
Wolf	wolf	nn1_np1@_vv0@
Trap	trap	nn1_vv0
,	,	y
the	the	at
national	national	jj
park	park	nn1
for	for	if
the	the	at
performing	performing	nn1
arts	art	nn2
,	,	y
was	be	vbdz
launching	launch	vvg
a	a	at1
series	series	nn
of	of	io
special	special	jj
projects	project	nn2
to	to	to
celebrate	celebrate	vvi
America	america	np1
's	's	ge_vbz
other	other	jj
national	national	jj
parks	park	nn2
.	.	y
Wolf	wolf	nn1_np1@_vv0@
Trap	trap	nn1_vv0
president	president	nn1
Terrence	terrence	np1
Jones	jones	np1
fell	fall	vvd
in	in	ii_rp@
love	love	nn1
when	when	cs_rrq
he	he	pphs1
watched	watch	vvd
a	a	at1
tape	tape	nn1
of	of	io
Bandaloop	bandaloop	nn1_np1
in	in	ii
action	action	nn1
.	.	y
@!Mr-TERRENCE-JONES-		zzq
:	:	y
And	and	cc
I	i	ppis1
saw	see	vvd
this	this	dd1
incredible	incredible	jj
communion	communion	nn1
,	,	y
if	if	cs
you	you	ppy
will	will	vm
,	,	y
between	between	ii
nature	nature	nn1
and	and	cc
sport	sport	nn1
and	and	cc
--		zz
and	and	cc
the	the	at
--		nn1_jj
the	the	at
physical	physical	jj
environment	environment	nn1
.	.	y
I	i	ppis1
thought	think	vvd
,	,	y
you	you	ppy
know	know	vv0
,	,	y
'	'	"@_ge
This	this	dd1
is	be	vbz
it	it	pph1
.	.	y
This	this	dd1
is	be	vbz
exactly	exactly	rr
what	what	ddq
we	we	ppis2
're	be	vbr
trying	try	vvg
to	to	to
do	do	vdi
is	be	vbz
to	to	to
communicate	communicate	vvi
through	through	ii
the	the	at
language	language	nn1
of	of	io
the	the	at
performing	performing	nn1
arts	art	nn2
the	the	at
special	special	jj
nature	nature	nn1
of	of	io
these	these	dd2
national	national	jj
parks	park	nn2
.	.	y
'	'	"@_ge
And	and	cc
so	so	rr
that	that	dd1
's	be	vbz
why	why	rrq
it	it	pph1
worked	work	vvd
so	so	rg
well	well	rr
.	.	y
@(Footage-of-dancers)		zzc
@!BRAVER		zzq
:	:	y
@(Voiceover)		zzc
It	it	pph1
took	take	vvd
two	two	mc
years	year	nnt2
of	of	io
planning	planning	nn1_vvg
and	and	cc
almost	almost	rr
$	$	nn
1	1	mc1
million	million	m1
to	to	to
line	line	vvi
up	up	rp_ii@
the	the	at
project	project	nn1
,	,	y
then	then	rt
a	a	at1
week	week	nnt1
of	of	io
rehearsal	rehearsal	nn1
on	on	ii
the	the	at
mountaintop.	mountaintop	nnu
@!Ms-RUDOLPH		zzq
:	:	y
@(Voiceover)		zzc
And	and	cc
the	the	at
dance	dance	nn1
floor	floor	nn1
was	be	vbdz
about	about	rg
200	200	mc
feet	foot	nn2
off	off	ii
--		nn1_jj
down	down	rp
from	from	ii
the	the	at
top	top	nn1
of	of	io
the	the	at
cliff	cliff	nn1
.	.	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
into	into	ii
place	place	nn1
.	.	y
@!BRAVER		zzq
:	:	y
@(Voiceover)		zzc
Naturally	naturally	rr
,	,	y
the	the	at
question	question	nn1
arises	arise	vvz
...	...	...
Are	be	vbr
these	these	dd2
people	people	nn
nuts	nut	nn2
?	?	y
But	but	ccb
why	why	rrq
--		nn1_jj
what	what	ddq
makes	make	vvz
you	you	ppy
want	want	vvi
to	to	to
do	do	vdi
something	something	pn1
like	like	ii
that	that	dd1
,	,	y
fly	fly	vv0_nn1
over	over	ii_rp
Yosemite	yosemite	np1
?	?	y
@(Footage-of-Ward)		zzc
@!BRAVER		zzq
:	:	y
@(Voiceover)		zzc
Dancer	dancer	nn1
Kimmy	kimmy	np1_nn1
Ward	ward	np1_nn1@
.	.	y
@!Ms-KIMMY-WARD-@1Da		zzq
:	:	y
I	i	ppis1
think	think	vv0
it	it	pph1
's	be	vbz
the	the	at
beauty	beauty	nn1
of	of	io
it	it	pph1
.	.	y
And	and	cc
there	there	ex
's	be	vbz
just	just	rr
this	this	dd1
--		nn1_jj
this	this	dd1
freedom	freedom	nn1
.	.	y
@(Footage-of-perform)		zzc
@!Ms-WARD		zzq
:	:	y
@(Voiceover)		zzc
The	the	at
--		nn1_jj
the	the	at
--		nn1_jj
the	the	at
expanding	expanding	jj
space	space	nn1
that	that	cst
just	just	rr
keeps	keep	vvz
going	go	vvg
and	and	cc
going	go	vvg
and	and	cc
going	go	vvg
.	.	y
@!BRAVER		zzq
:	:	y
Is	be	vbz
it	it	pph1
as	as	rg
scary	scary	jj
as	as	csa
it	it	pph1
looks	look	vvz
?	?	y
@!Ms-WARD		zzq
:	:	y
Do	do	vd0
we	we	ppis2
make	make	vvi
it	it	pph1
look	look	vvi
scary	scary	jj
?	?	y
I	i	ppis1
...	...	...
Unidentified	unidentified	jj
Dancer	dancer	nn1
1	1	mc1
:	:	y
It	it	pph1
's	be	vbz
scary	scary	jj
.	.	y
@!BRAVER		zzq
:	:	y
Yeah	yeah	uh
.	.	y
It	it	pph1
looks	look	vvz
...	...	...
@!Ms-WARD		zzq
:	:	y
I	i	ppis1
think	think	vv0
certainly	certainly	rr
psychologically	psychologically	rr
there	there	ex
is	be	vbz
that	that	dd1_cst
moment	moment	nn1
when	when	rrq
--		nn1_jj
for	for	if
the	the	at
first	first	md
time	time	nnt1
when	when	rrq
you	you	ppy
're	be	vbr
settling	settle	vvg
into	into	ii
your	your	appge
rope	rope	nn1
when	when	rrq_cs
,	,	y
'	'	ge
OK	ok	rr_jj@
,	,	y
is	be	vbz
it	it	pph1
all	all	db_rr@
going	go	vvg
to	to	ii
work	work	nn1
again	again	rt
this	this	dd1
time	time	nnt1
?	?	y
'	'	"@_ge
But	but	ccb
once	once	cs@_rr
you	you	ppy
get	get	vv0
in	in	ii_rp%
there	there	rl
and	and	cc
you	you	ppy
settle	settle	vv0
in	in	rp@
and	and	cc
you	you	ppy
realize	realize	vv0
,	,	y
yes	yes	uh
,	,	y
it	it	pph1
's	be	vbz
OK	ok	jj
,	,	y
'	'	"@
it	it	pph1
's	be	vbz
OK	ok	jj
.	.	y
And	and	cc
then	then	rt
you	you	ppy
get	get	vv0
into	into	ii
the	the	at
dance	dance	nn1
.	.	y
And	and	cc
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@(Voiceover)		zzc
The	the	at
dancers	dancer	nn2
shed	shed	z'
their	their	appge
climbing	climbing	nn1
clothes	clothes	nn2
and	and	cc
move	move	vv0_nn1
on	on	rp_ii21
to	to	ii_ii22
what	what	ddq
they	they	pphs2
call	call	vv0
a	a	at1
dance	dance	nn1
floor	floor	nn1
.	.	y
They	they	pphs2
float	float	vv0
and	and	cc
fly	fly	nn1_vv0
and	and	cc
twirl	twirl	nn1_vv0
and	and	cc
spin	spin	nn1_vv0
and	and	cc
travel	travel	vv0_nn1
into	into	ii
a	a	at1
mystical	mystical	jj
dimension	dimension	nn1
.	.	y
A	a	at1
couple	couple	nn1
of	of	io
months	month	nnt2
later	later	rrr
,	,	y
accompanied	accompany	vvn
by	by	ii
live	live	jj
musicians	musician	nn2
,	,	y
they	they	pphs2
perform	perform	vv0
at	at	ii
the	the	at
Wolf	wolf	nn1
Trap	trap	nn1_vv0
Theatre	theatre	nn1
in	in	ii
Virginia	virginia	np1
in	in	ii
tandem	tandem	nn1
with	with	iw
the	the	at
video	video	nn1
they	they	pphs2
made	make	vvd
at	at	ii
Yosemite	yosemite	np1
.	.	y
Theater	theater	nn1_np1@
performances	performance	nn2
are	be	vbr
rare	rare	jj
for	for	if
Bandaloop	bandaloop	np1_nn1
,	,	y
and	and	cc
as	as	csa
you	you	ppy
might	might	vm
imagine	imagine	vvi
,	,	y
their	their	appge
's	's	ge
is	be	vbz
not	not	xx
the	the	at
sort	sort	nn1_rr21@
of	of	io_rr22
work	work	nn1_vv0
that	that	cst_dd1
brings	bring	vvz
in	in	ii
much	much	da1
money	money	nn1
,	,	y
so	so	cs@_rr
the	the	at
troupe	troupe	nn1
depends	depend	vvz
mostly	mostly	rr
on	on	ii
grants	grant	nn2
.	.	y
This	this	dd1
summer	summer	nnt1
they	they	pphs2
've	have	vh0
got	get	vvn
funding	funding	nn1_vvg@
to	to	to
perform	perform	vvi
a	a	at1
series	series	nn
of	of	io
pieces	piece	nn2
as	as	csa
they	they	pphs2
cross	cross	vv0
the	the	at
Sierra	sierra	np1
,	,	y
Nevada	nevada	np1
,	,	y
range	range	nn1
.	.	y
Is	be	vbz
there	there	rl%
anyplace	anyplace	rl
where	where	cs
you	you	ppy
all	all	rr@
ha	ha	uh
--		nn1
have	have	vh0
in	in	ii
your	your	appge
minds	mind	nn2
,	,	y
like	like	rr
,	,	y
'	'	"@
Gee	gee	uh
,	,	y
this	this	dd1
is	be	vbz
where	where	rrq_cs
I	i	ppis1
'd	have	vm
like	like	vvi
to	to	to
dance	dance	vvi
'	'	"@
?	?	y
Or	or	cc
,	,	y
'	'	"@_ge
I	i	ppis1
'd	have	vm
like	like	vvi
to	to	to
make	make	vvi
a	a	at1
dance	dance	nn1
on	on	ii
this	this	dd1
...	...	...
'	'	ge_"@
@!Mr-STUBER		zzq
:	:	y
Yeah	yeah	uh
.	.	y
@!Ms-WARD		zzq
:	:	y
Oh	oh	uh
,	,	y
there	there	ex
's	be	vbz
lots	lots	pn
of	of	io
them	them	ppho2
.	.	y
Unidentified	unidentified	jj
Dancer	dancer	nn1
2	2	mc
:	:	y
Guggenheim	guggenheim	np1
Bilbao	bilbao	np1
.	.	y
That	that	dd1
would	would	vm
be	be	vbi
nice	nice	jj
.	.	y
Unidentified	unidentified	jj
Dancer	dancer	nn1
3	3	mc
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
else	else	rr
?	?	y
@!Ms-WARD		zzq
:	:	y
Yeah	yeah	uh
.	.	y
Unidentified	unidentified	jj
Dancer	dancer	nn1
4	4	mc
:	:	y
I	i	ppis1
'd	have	vm
like	like	vvi
to	to	to
dance	dance	vvi
on	on	ii
the	the	at
Eiffel	eiffel	np1
Tower	tower	nn1
.	.	y
Unidentified	unidentified	jj
