##2000173		
None	none	pn
over	over	rp_ii
yet	yet	rr
.	.	y
"	"	y
These	these	dd2
athletes	athlete	nn2
dream	dream	nn1_vv0
of	of	io
the	the	at
Olympics	olympics	nn2
,	,	y
not	not	xx
the	the	at
gold	gold	nn1_jj@
medal	medal	nn1
.	.	y
And	and	cc
for	for	if
good	good	jj
reason	reason	nn1
,	,	y
since	since	cs_rr@
with	with	iw
gold	gold	nn1_jj@
medals	medal	nn2
come	come	vv0
headaches	headache	nn2_vvz
previously	previously	rr
unimagined	unimagined	jj
.	.	y
In	in	ii
Yamaguchi	yamaguchi	np1
's	's	ge
case	case	nn1
,	,	y
after	after	cs
she	she	pphs1
returned	return	vvd
home	home	rl
from	from	ii
Albertville	albertville	np1
,	,	y
certain	certain	jj
members	member	nn2
of	of	io
the	the	at
business	business	nn1
media	media	nn
predicted	predict	vvd_vvn
that	that	cst_dd1
because	because	ii21
of	of	ii22
her	her	appge
Japanese-American	japanese-american	jj
heritage	heritage	nn1
she	she	pphs1
would	would	vm
never	never	rr
get	get	vvi
the	the	at
endorsement	endorsement	nn1
opportunities	opportunity	nn2
of	of	io
previous	previous	jj
U.S.	us	np1
figure	figure	nn1
skating	skate	vvg_nn1@
gold	gold	nn1_jj@
medalists	medalist	nn2
.	.	y
At	at	ii
a	a	at1
time	time	nnt1
when	when	rrq
Japan	japan	np1
was	be	vbdz
being	be	vbg
blamed	blame	vvn
for	for	if
U.S.	us	np1
economic	economic	jj
woes	woe	nn2
,	,	y
the	the	at
theorists	theorist	nn2
opined	opine	vvd
,	,	y
U.S.	us	np1
companies	company	nn2
would	would	vm
shrink	shrink	vvi
from	from	ii
an	a	at1
association	association	nn1
with	with	iw
Yamaguchi	yamaguchi	np1_nn1_jj
.	.	y
This	this	dd1
was	be	vbdz
pure	pure	jj
speculation	speculation	nn1
,	,	y
but	but	ccb
it	it	pph1
took	take	vvd
on	on	rp
a	a	at1
life	life	nn1
of	of	io
its	its	z'
own	own	da
.	.	y
Yamaguchi	yamaguchi	nn2_np1@
,	,	y
who	who	pnqs
had	have	vhd
never	never	rr
felt	feel	vvn
the	the	at
sting	sting	nn1
of	of	io
discrimination	discrimination	nn1
,	,	y
was	be	vbdz
suddenly	suddenly	rr
being	be	vbg
cited	cite	vvn
as	as	ii
a	a	at1
victim	victim	nn1
by	by	ii
prominent	prominent	jj
members	member	nn2
of	of	io
the	the	at
Japanese-American	japanese-american	jj
community	community	nn1
.	.	y
"	"	y
At	at	rr21
first	first	rr22
I	i	ppis1
thought	think	vvd
,	,	y
Oh	oh	uh
well	well	rr
,	,	y
I	i	ppis1
never	never	rr
expected	expect	vvn_vvd
to	to	to
have	have	vhi
endorsements	endorsement	nn2
,	,	y
"	"	y
says	say	vvz
Yamaguchi	yamaguchi	nn1_jj_np1
.	.	y
She	she	pphs1
had	have	vhd
spent	spend	vvn
her	her	appge_ppho1
whole	whole	jj
life	life	nn1
focused	focus	vvd_vvn
only	only	rr
on	on	ii
her	her	appge_ppho1
skating	skating	nn1@_vvg
.	.	y
She	she	pphs1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
the	the	at
money	money	nn1
;	;	y
she	she	pphs1
frankly	frankly	rr
never	never	rr
had	have	vhd
given	give	vvn
it	it	pph1
much	much	rr
thought	think	vvn_vvd
.	.	y
"	"	y
But	but	ccb
it	it	pph1
kept	keep	vvd
coming	come	vvg
up	up	rp
so	so	rg
often	often	rr
,	,	y
"	"	y
she	she	pphs1
says	say	vvz
,	,	y
"	"	y
it	it	pph1
began	begin	vvd
to	to	to
upset	upset	vvi
me	me	ppio1
.	.	y
"	"	y
Post-Olympic	post-olympic	jj
endorsements	endorsement	nn2
were	be	vbdr
down	down	rp
for	for	if
all	all	db
athletes	athlete	nn2
in	in	ii
1992	1992	mc
,	,	y
probably	probably	rr
due	due	ii21
to	to	ii22
the	the	at
sluggish	sluggish	jj
economy	economy	nn1
.	.	y
Still	still	rr
,	,	y
Yamaguchi	yamaguchi	np1
did	do	vdd
pretty	pretty	rg
well	well	rr
.	.	y
She	she	pphs1
signed	sign	vvd
lucrative	lucrative	jj
deals	deal	nn2
with	with	iw
Hoechst	hoechst	np1_nn1
Celanese	celanese	jj_np2_nn
Corporation	corporation	nn1
,	,	y
which	which	ddq
makes	make	vvz
acetate	acetate	nn1
fabric	fabric	nn1
for	for	if
fashion	fashion	nn1
designers	designer	nn2
,	,	y
and	and	cc
DuraSoft	durasoft	np1_vv0_nn1
contact	contact	nn1_vv0
lenses	lens	nn2
.	.	y
She	she	pphs1
has	have	vhz
had	have	vhn
glamorous	glamorous	jj
four-page	four-page	nn1
spreads	spread	vvz
in	in	ii
Elle	elle	fw
,	,	y
Seventeen	seventeen	mc
and	and	cc
Vogue	vogue	nn1
,	,	y
has	have	vhz
made	make	vvn
a	a	at1
TV	tv	nn1
commercial	commercial	nn1@_jj
for	for	if
DuraSoft	durasoft	np1_nn1
and	and	cc
has	have	vhz
done	do	vdn
the	the	at
national	national	jj
talk-show	talk-show	nn1
circuit	circuit	nn1
.	.	y
At	at	ii
times	time	nnt2
Yamaguchi	yamaguchi	np1_nn1
felt	feel	vvd
her	her	appge
life	life	nn1
was	be	vbdz
spinning	spin	vvg
out	out	ii21
of	of	ii22
her	her	appge
control	control	nn1
.	.	y
"	"	y
I	i	ppis1
was	be	vbdz
pretty	pretty	rg
overwhelmed	overwhelmed	jj
by	by	ii
the	the	at
number	number	nn1
of	of	io
decisions	decision	nn2
I	i	ppis1
immediately	immediately	rr
had	have	vhd
to	to	to
make	make	vvi
after	after	ii_cs
the	the	at
Olympics	olympics	nn2
,	,	y
"	"	y
she	she	pphs1
says	say	vvz
.	.	y
"	"	y
Before	before	rt
,	,	y
there	there	ex
'd	have	vhd
been	be	vbn
only	only	rr
one	one	mc1
way	way	nn1
:	:	y
to	to	to
reach	reach	vvi
my	my	appge
skating	skating	nn1@_vvg_jj%
goals	goal	nn2
.	.	y
Now	now	rt
there	there	ex
were	be	vbdr
all	all	db
these	these	dd2
different	different	jj
ways	way	nn2
I	i	ppis1
could	could	vm
go	go	vvi
.	.	y
"	"	y
Turn	turn	vv0
professional	professional	jj_nn1@
or	or	cc
stay	stay	vv0
amateur	amateur	nn1_jj
?	?	y
Remain	remain	vv0
near	near	ii_rl
her	her	appge
coach	coach	nn1
,	,	y
Christy	christy	jj_np1
Ness	ness	nn1
,	,	y
in	in	ii
Edmonton	edmonton	np1
or	or	cc
move	move	vv0
back	back	rp
to	to	ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
sign	sign	vvi
this	this	dd1
deal	deal	nn1
?	?	y
Or	or	cc
that	that	dd1
one	one	pn1
?	?	y
"	"	y
Sometimes	sometimes	rt
,	,	y
when	when	cs_rrq
I	i	ppis1
was	be	vbdz
frustrated	frustrate	vvn_jj
,	,	y
I	i	ppis1
'd	have	vm
think	think	vvi
,	,	y
Why	why	rrq
did	do	vdd
I	i	ppis1
have	have	vhi
to	to	to
win	win	vvi
?	?	y
"	"	y
she	she	pphs1
says	say	vvz
.	.	y
"	"	y
I	i	ppis1
had	have	vhd
one	one	mc1
free	free	jj
weekend	weekend	nnt1
the	the	at
entire	entire	jj
summer	summer	nnt1
.	.	y
I	i	ppis1
thought	think	vvd
,	,	y
Is	be	vbz
this	this	dd1
what	what	ddq
it	it	pph1
's	be	vbz
going	go	vvgk
to	to	to
be	be	vbi
like	like	ii
the	the	at
rest	rest	nn1
of	of	io
my	my	appge
life	life	nn1
?	?	y
My	my	appge
dream	dream	nn1
was	be	vbdz
to	to	to
be	be	vbi
in	in	ii
the	the	at
Olympics	olympics	nn2
.	.	y
I	i	ppis1
never	never	rr
thought	think	vvd
about	about	ii
afterward	afterward	rl_jj
.	.	y
"	"	y
It	it	pph1
was	be	vbdz
n't	n't	xx
all	all	db_rr@
a	a	at1
grind	grind	nn1
.	.	y
Yamaguchi	yamaguchi	np1@_nn2_nn1@
was	be	vbdz
part	part	nn1
of	of	io
the	the	at
U.S.	us	np1
presidential	presidential	jj
delegation	delegation	nn1
to	to	ii
Barcelona	barcelona	np1
that	that	dd1_cst
was	be	vbdz
headed	head	vvn
by	by	ii
Arnold	arnold	np1
Schwarzenegger	schwarzenegger	np1
.	.	y
She	she	pphs1
flew	fly	vvd
over	over	rp
on	on	ii
Air	air	nn1
Force	force	nn1
One	one	mc1_pn1
,	,	y
traveled	travel	vvn
by	by	ii
motorcade	motorcade	nn1
and	and	cc
was	be	vbdz
accompanied	accompany	vvn
by	by	ii
Secret	secret	jj_nn1
Service	service	nn1
men	man	nn2
.	.	y
She	she	pphs1
met	meet	vvd
fellow	fellow	jj
Olympian	olympian	jj_nn1@
Prince	prince	nnb
Felipe	felipe	np1
of	of	io
Spain	spain	np1
.	.	y
Met	meet	vvn_vvd_nn1@
Magic	magic	jj_nn1@
.	.	y
Danced	dance	vvn_vvd
with	with	iw
Spike	spike	nn1
Lee	lee	np1
and	and	cc
Evander	evander	np1_vv0
Holyfield	holyfield	np1
.	.	y
It	it	pph1
was	be	vbdz
,	,	y
all	all	db_rr@
in	in	ii
all	all	db
,	,	y
a	a	rr21@
lot	lot	rr22
better	better	jjr
treatment	treatment	nn1
than	than	csn
she	she	pphs1
had	have	vhd
gotten	get	vvn
as	as	ii
a	a	at1
competing	competing	jj
athlete	athlete	nn1
.	.	y
"	"	y
My	my	appge
friends	friend	nn2
back	back	rp
home	home	rl
know	know	vv0
I	i	ppis1
've	have	vh0
experienced	experience	vvn
a	a	rr21@_at1
lot	lot	rr22_nn1
,	,	y
but	but	ccb
they	they	pphs2
treat	treat	vv0
me	me	ppio1
the	the	at
same	same	da
.	.	y
"	"	y
says	say	vvz
Yamaguchi	yamaguchi	nn1_jj_np1
.	.	y
"	"	y
I	i	ppis1
'm	be	vbm
just	just	rr
an	a	at1
athlete	athlete	nn1
.	.	y
I	i	ppis1
do	do	vd0
n't	n't	xx
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
have	have	vhi
other	other	jj
people	people	nn
fussing	fuss	vvg
over	over	rp_ii
your	your	appge
hair	hair	nn1
,	,	y
pretending	pretend	vvg
you	you	ppy
're	be	vbr
a	a	at1
model	model	nn1
for	for	if
a	a	at1
day	day	nnt1
.	.	y
I	i	ppis1
still	still	rr
feel	feel	vv0
I	i	ppis1
'm	be	vbm
the	the	at
same	same	da
old	old	jj
kid	kid	nn1
.	.	y
and	and	cc
someone	someone	pn1
who	who	pnqs
still	still	rr
wants	want	vvz
to	to	to
be	be	vbi
one	one	pn1_mc1
.	.	y
"	"	y
In	in	ii
September	september	npm1
,	,	y
Yamaguchi	yamaguchi	np1
decided	decide	vvd
to	to	to
turn	turn	vvi
professional	professional	jj_nn1@
,	,	y
which	which	ddq
makes	make	vvz
her	her	appge_ppho1
ineligible	ineligible	jj
to	to	to
go	go	vvi
for	for	if
a	a	at1
third	third	md
straight	straight	jj
world	world	nn1
championship	championship	nn1
in	in	ii
March	march	npm1
.	.	y
Under	under	ii
a	a	at1
new	new	jj
ruling	ruling	nn1_jj
that	that	cst_dd1
was	be	vbdz
passed	pass	vvn
by	by	ii
the	the	at
International	international	jj
Skating	skating	nn1@_vvg
Union	union	nn1_np1
this	this	dd1
summer	summer	nnt1
,	,	y
however	however	rr
,	,	y
she	she	pphs1
can	can	vm
apply	apply	vvi
for	for	if
reinstatement	reinstatement	nn1
as	as	ii_csa
an	a	at1
amateur	amateur	nn1_jj
and	and	cc
try	try	vv0
to	to	to
qualify	qualify	vvi
for	for	if
a	a	at1
spot	spot	nn1
on	on	ii
the	the	at
U.S.	us	np1
team	team	nn1
for	for	if
the	the	at
1994	1994	mc
Games	game	nn2
in	in	ii
Lillehammer	lillehammer	np1
,	,	y
Norway	norway	np1
.	.	y
She	she	pphs1
is	be	vbz
n't	n't	xx
committing	commit	vvg
on	on	ii_rp@
that	that	dd1
for	for	if
a	a	at1
while	while	nnt1@
.	.	y
"	"	y
Any	any	dd
medal	medal	nn1
would	would	vm
have	have	vhi
made	make	vvn
people	people	nn
happy	happy	jj
in	in	ii
'	'	ge
92	92	mc
,	,	y
"	"	y
Yamaguchi	yamaguchi	np1_nn1
says	say	vvz
.	.	y
"	"	y
But	but	ccb
in	in	ii
'	'	ge
94	94	mc
it	it	pph1
will	will	vm
be	be	vbi
expected	expect	vvn
to	to	to
be	be	vbi
gold	gold	nn1_jj@
.	.	y
I	i	ppis1
've	have	vh0
never	never	rr
had	have	vhn
that	that	dd1
kind	kind	nn1
of	of	io
pressure	pressure	nn1
on	on	ii
me	me	ppio1
before	before	rt
.	.	y
"	"	y
If	if	cs
any	any	dd
athlete	athlete	nn1
's	's	ge
head	head	nn1
should	should	vm
have	have	vhi
spun	spin	vvn
like	like	ii
a	a	at1
top	top	nn1_jj
following	follow	vvg_ii@
her	her	appge_ppho1
Olympic	olympic	jj
performance	performance	nn1
,	,	y
it	it	pph1
was	be	vbdz
Shannon	shannon	np1
Miller	miller	np1
's	's	ge
.	.	y
On	on	ii
a	a	at1
strong	strong	jj
U.S.	us	np1
women	woman	nn2
's	's	ge
gymnastics	gymnastics	nn1_nn2
team	team	nn1
.	.	y
Miller	miller	np1
came	come	vvd
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
champion	champion	nn1_vv0@_jj@
Kim	kim	np1
Zmeskal	zmeskal	np1
.	.	y
But	but	ccb
Miller	miller	np1
knew	know	vvd
this	this	dd1
was	be	vbdz
her	her	appge
Olympics	olympics	nn2
too	too	rr@
.	.	y
"	"	y
Other	other	jj
people	people	nn
may	may	vm
not	not	xx
have	have	vhi
had	have	vhn@
high	high	jj
expectations	expectation	nn2
for	for	if
me	me	ppio1
in	in	ii
Barcelona	barcelona	np1
,	,	y
"	"	y
she	she	pphs1
says	say	vvz
,	,	y
"	"	y
but	but	ccb
I	i	ppis1
had	have	vhd
high	high	jj
expectations	expectation	nn2
for	for	if
myself	myself	ppx1
.	.	y
"	"	y
It	it	pph1
was	be	vbdz
the	the	at
opposite	opposite	jj
situation	situation	nn1
from	from	ii
Ito	ito	np1
's	's	ge
.	.	y
The	the	at
American	american	nn1@_jj
's	's	ge
goals	goal	nn2
and	and	cc
expectations	expectation	nn2
came	come	vvd
from	from	ii
within	within	rl@
.	.	y
And	and	cc
Miller	miller	np1
,	,	y
a	a	at1
gymnastics	gymnastics	nn1
Cinderella	cinderella	np1
,	,	y
met	meet	vvd
them	them	ppho2
.	.	y
In	in	ii
the	the	at
competition	competition	nn1
of	of	io
her	her	appge
life	life	nn1
,	,	y
she	she	pphs1
outperformed	outperform	vvd
every	every	at1
woman	woman	nn1
gymnast	gymnast	nn1_vv0
in	in	ii
the	the	at
world	world	nn1
save	save	vv0_ii@
one	one	pn1_mc1
,	,	y
the	the	at
Unified	unified	jj
Team	team	nn1
's	's	ge_vbz
Tatyana	tatyana	np1
Gutsu	gutsu	np1
,	,	y
and	and	cc
emerged	emerge	vvd
as	as	ii_csa
the	the	at
most-decorated	most-decorated	jj_nn1
U.S.	us	np1
athlete	athlete	nn1
at	at	ii
either	either	dd1
of	of	io
this	this	dd1
year	year	nnt1
's	's	ge
Summer	summer	nnt1
or	or	cc
Winter	winter	nnt1_np1@
Games	game	nn2
,	,	y
with	with	iw
two	two	mc
silvers	silver	nn2
and	and	cc
three	three	mc
bronze	bronze	nn1
medals	medal	nn2
.	.	y
What	what	ddq
has	have	vhz
changed	change	vvn
in	in	ii
her	her	appge
life	life	nn1
?	?	y
It	it	pph1
might	might	vm
be	be	vbi
easier	easy	jjr
to	to	to
answer	answer	vvi
,	,	y
What	what	ddq
has	have	vhz
n't	n't	xx
?	?	y
Miller	miller	np1_nn1
is	be	vbz
a	a	at1
star	star	nn1
now	now	rt
.	.	y
During	during	ii
this	this	dd1
fall	fall	nn1
's	's	ge
23-city	23-city	jj_nn1
tour	tour	nn1
by	by	ii
world	world	nn1
and	and	cc
Olympic	olympic	jj
stars	star	nn2
,	,	y
a	a	at1
group	group	nn1
that	that	cst
included	include	vvd
such	such	da
luminaries	luminary	nn2
as	as	csa
Gutsu	gutsu	np1_nn1
and	and	cc
Belorussia	belorussia	np1
's	's	ge
Svetlana	svetlana	np1
Boginskaya	boginskaya	np1
,	,	y
the	the	at
4	4	mc
'	'	ge
8-1/2	8-1/2	mcmc
"	"	y
,	,	y
76-pound	76-pound	jj_nn1
Miller	miller	np1_nn1@
received	receive	vvd
the	the	at
loudest	loud	jjt
cheers	cheer	nn2@
.	.	y
When	when	cs
the	the	at
advance	advance	nn1_jj@
ticket	ticket	nn1
sales	sales	nn
were	be	vbdr
slow	slow	jj
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
to	to	to
do	do	vdi
radio	radio	nn1
and	and	cc
newspaper	newspaper	nn1
interviews	interview	nn2
.	.	y
Six	six	mc
months	month	nnt2
ago	ago	ra
this	this	dd1
slight	slight	jj_nn1@
,	,	y
catlike	catlike	jj
waif	waif	nn1
could	could	vm
have	have	vhi
paraded	parade	vvn
down	down	ii@_rp
New	new	np1
York	york	np1
's	's	ge
Fifth	fifth	np1
Avenue	avenue	nnl1
in	in	ii
her	her	appge
leotard	leotard	nn1
without	without	iw
drawing	draw	vvg
a	a	at1
second	second	md_nnt1
look	look	nn1
.	.	y
Then	then	rt
,	,	y
suddenly	suddenly	rr
,	,	y
young	young	jj
men	man	nn2
were	be	vbdr
sending	send	vvg
her	her	ppho1
their	their	appge
photographs	photograph	nn2
--	--	x
an	a	at1
envelope	envelope	nn1
addressed	address	vvd
SHANNON	shannon	np1
MILLER	miller	np1
,	,	y
OLYMPIC	olympic	jj
GYMNAST	gymnast	nn1_np1
,	,	y
EDMOND	edmond	np1
,	,	y
OKLA.	okla	np1
,	,	y
would	would	vm
suffice	suffice	vvi
--	--	x
or	or	cc
approaching	approach	vvg
her	her	ppho1
in	in	ii
hotel	hotel	nn1
lobbies	lobby	nn2
with	with	iw
a	a	at1
tentative	tentative	jj
"	"	y
Are	be	vbr
you	you	ppy
who	who	pnqs
I	i	ppis1
think	think	vv0
you	you	ppy
are	be	vbr
?	?	y
"	"	y
The	the	at
15-year-old	15-year-old	jj
Miller	miller	np1_nn1@
puts	put	vvz
her	her	appge
fan	fan	nn1
mail	mail	nn1
and	and	cc
gifts	gift	nn2
in	in	ii
boxes	box	nn2
and	and	cc
files	file	nn2_vvz%
the	the	at
return	return	nn1_jj@
addresses	address	vvz_nn2
in	in	ii
her	her	appge
home	home	nn1
computer	computer	nn1
so	so	cs@_rr
she	she	pphs1
can	can	vm
answer	answer	vvi
her	her	appge
fans	fan	nn2
in	in	ii
due	due	jj
time	time	nnt1
.	.	y
Quiet	quiet	jj_nn1@
and	and	cc
unassuming	unassuming	jj
,	,	y
Miller	miller	np1
smiles	smile	vvz_nn2
when	when	cs_rrq
asked	ask	vvn@_vvd
if	if	cs_csw@
the	the	at
sudden	sudden	jj
attention	attention	nn1
and	and	cc
celebrity	celebrity	nn1
have	have	vh0
gone	go	vvn
to	to	ii
her	her	appge
head	head	nn1
.	.	y
"	"	y
I	i	ppis1
still	still	rr
go	go	vv0
to	to	ii
public	public	jj_nn1
school	school	nn1
,	,	y
"	"	y
she	she	pphs1
says	say	vvz
.	.	y
"	"	y
I	i	mc1@_zz1@_ppis1
still	still	jj
work	work	nn1_vv0
out	out	rp
,	,	y
my	my	appge
coach	coach	nn1
Steve	steve	np1
Nunno	nunno	np1_nn1
still	still	rr
yells	yell	vvz_nn2
at	at	ii
me	me	ppio1
in	in	ii
the	the	at
gym	gym	nn1
.	.	y
My	my	appge
brother	brother	nn1
and	and	cc
sister	sister	nn1
still	still	rr
pick	pick	vv0
on	on	ii
me	me	ppio1
,	,	y
and	and	cc
I	i	ppis1
still	still	rr
pick	pick	vv0
on	on	ii
them	them	ppho2
.	.	y
Many	many	da2
of	of	io
my	my	appge
friends	friend	nn2
have	have	vh0
known	know	vvn
me	me	ppio1
since	since	cs
I	i	ppis1
was	be	vbdz
in	in	ii
the	the	at
first	first	md
grade	grade	nn1
,	,	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
never	never	rr
been	be	vbn
accused	accuse	vvn
of	of	io
being	be	vbg
big-headed	big-headed	jj_nn1
.	.	y
"	"	y
An	a	at1
honors	honor	nn2
student	student	nn1
at	at	ii
Edmond	edmond	np1
North	north	nd1
Mid	mid	jj
High	high	jj
,	,	y
Miller	miller	np1
last	last	md
fall	fall	nn1
traveled	travel	vvd_vvn@
for	for	if
the	the	at
first	first	md
time	time	nnt1
with	with	iw
a	a	at1
tutor	tutor	nn1
,	,	y
so	so	cs@_rr
she	she	pphs1
could	could	vm
keep	keep	vvi
up	up	rp
with	with	iw
her	her	appge_ppho1
10th-grade	10th-grade	jj_nn1
courses	course	nn2
:	:	y
world	world	nn1
history	history	nn1
,	,	y
algebra	algebra	nn1
,	,	y
biology	biology	nn1
,	,	y
world	world	nn1
literature	literature	nn1
,	,	y
Spanish	spanish	jj
and	and	cc
computer	computer	nn1
literacy	literacy	nn1
.	.	y
And	and	cc
she	she	pphs1
's	be	vbz
saving	save	vvg_jj@
money	money	nn1
for	for	if
college	college	nn1
from	from	ii
the	the	at
income	income	nn1
she	she	pphs1
earned	earn	vvd
from	from	ii
the	the	at
tour	tour	nn1
and	and	cc
from	from	ii
a	a	at1
Trivial	trivial	jj
Pursuit	pursuit	nn1
commercial	commercial	nn1@_jj
she	she	pphs1
made	make	vvd
.	.	y
"	"	y
I	i	ppis1
do	do	vd0
n't	n't	xx
have	have	vhi
much	much	da1
time	time	nnt1
for	for	if
homework	homework	nn1
,	,	y
with	with	iw
all	all	db
the	the	at
training	training	nn1
,	,	y
but	but	ccb
somehow	somehow	rr
I	i	ppis1
make	make	vv0
the	the	at
time	time	nnt1
,	,	y
"	"	y
she	she	pphs1
says	say	vvz
.	.	y
"	"	y
I	i	ppis1
've	have	vh0
learned	learn	vvn
through	through	ii
gymnastics	gymnastics	nn2_nn1
that	that	cst
you	you	ppy
ca	can	vm
n't	n't	xx
wait	wait	vvi
until	until	cs_ii@
the	the	at
last	last	md
minute	minute	nnt1
.	.	y
I	i	ppis1
do	do	vd0
n't	n't	xx
know	know	vvi
if	if	cs_csw@
I	i	ppis1
'd	have	vm
be	be	vbi
making	make	vvg
straight	straight	rr_jj
A	a	zz221_zz1@
's	's	zz222_vbz
if	if	csw@_cs
it	it	pph1
were	be	vbdr
n't	n't	xx
for	for	if
the	the	at
discipline	discipline	nn1
I	i	ppis1
got	get	vvd
from	from	ii
gymnastics	gymnastics	nn1_nn2
.	.	y
"	"	y
When	when	cs_rrq
she	she	pphs1
speaks	speak	vvz
of	of	io
the	the	at
Olympics	olympics	nn2
,	,	y
Miller	miller	np1
does	do	vdz
n't	n't	xx
mention	mention	vvi
her	her	appge
medals	medal	nn2
unless	unless	cs
specifically	specifically	rr
asked	ask	vvd_vvn@
.	.	y
She	she	pphs1
likes	like	vvz
to	to	to
talk	talk	vvi
about	about	ii
the	the	at
Village	village	nn1_np1
,	,	y
the	the	at
athletes	athlete	nn2
'	'	ge
beach	beach	nn1
and	and	cc
meeting	meet	vvg
the	the	at
Dream	dream	nn1
Team	team	nn1
.	.	y
"	"	y
It	it	pph1
was	be	vbdz
everything	everything	pn1
I	i	ppis1
dreamed	dream	vvd
of	of	io
and	and	cc
more	more	rrr_dar
,	,	y
"	"	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
fun	fun	nn1_jj
being	be	vbg
there	there	rl
.	.	y
I	i	ppis1
had	have	vhd
n't	n't	xx
planned	plan	vvn
to	to	to
keep	keep	vvi
competing	competing	jj_vvg
until	until	cs_ii@
'	'	ge
96	96	mc
,	,	y
but	but	ccb
after	after	cs_ii
the	the	at
Olympics	olympics	nn2
were	be	vbdr
over	over	rp
I	i	ppis1
did	do	vdd
n't	n't	xx
want	want	vvi
to	to	to
stop	stop	vvi
.	.	y
It	it	pph1
's	be	vbz
so	so	rg
much	much	da1
fun	fun	nn1_jj
.	.	y
"	"	y
Miller	miller	np1
loved	love	vvd
all	all	db
of	of	io
it	it	pph1
:	:	y
the	the	at
post-Olympic	post-olympic	jj
tour	tour	nn1
,	,	y
the	the	at
camaraderie	camaraderie	nn1
,	,	y
the	the	at
audiences	audience	nn2
,	,	y
the	the	at
travel	travel	nn1
,	,	y
the	the	at
training	training	nn1
.	.	y
"	"	y
We	we	ppis2
traveled	travel	vvd
in	in	ii_rp@
a	a	at1
huge	huge	jj
bus	bus	nn1
that	that	cst
had	have	vhd
a	a	at1
kitchen	kitchen	nn1
and	and	cc
two	two	mc
living	living	jj
rooms	room	nn2
,	,	y
"	"	y
she	she	pphs1
says	say	vvz
.	.	y
"	"	y
We	we	ppis2
were	be	vbdr
like	like	ii
a	a	at1
big	big	jj
family	family	nn1
.	.	y
I	i	ppis1
missed	miss	vvd
being	be	vbg
with	with	iw
my	my	appge
own	own	da
family	family	nn1
,	,	y
but	but	ccb
I	i	ppis1
have	have	vh0
the	the	at
whole	whole	jj
rest	rest	nn1
of	of	io
my	my	appge
life	life	nn1
to	to	to
be	be	vbi
with	with	iw
them	them	ppho2
.	.	y
This	this	dd1
is	be	vbz
