##4002466		
Key	key	jj_nn1
.	.	y
The	the	at
Way	way	nn1
a	a	at1
Door	door	nn1
Closes	close	vvz
(	(	y
Smith	smith	np1
2003	2003	mc
)	)	y
contains	contain	vvz
several	several	da2
poems	poem	nn2
from	from	ii
the	the	at
perspective	perspective	nn1
of	of	io
an	a	at1
older	old	jjr
son	son	nn1
,	,	y
addressing	address	vvg
the	the	at
challenges	challenge	nn2
that	that	cst
families	family	nn2
face	face	vv0
when	when	rrq_cs
a	a	at1
parent	parent	nn1
loses	lose	vvz
a	a	at1
job	job	nn1
.	.	y
The	the	at
family	family	nn1
portrayed	portray	vvn
in	in	ii
the	the	at
poems	poem	nn2
is	be	vbz
a	a	at1
multigenerational	multigenerational	jj
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
same	same	da
for	for	if
any	any	dd
family	family	nn1
.	.	y
The	the	at
poems	poem	nn2
are	be	vbr
brief	brief	jj
and	and	cc
portray	portray	vv0
various	various	jj
perspectives	perspective	nn2
.	.	y
(	(	y
For	for	if
an	a	at1
annotated	annotated	jj@
bibliography	bibliography	nn1
of	of	io
poetry	poetry	nn1
resources	resource	nn2
appropriate	appropriate	vv0@_jj
for	for	if
teaching	teach	vvg_nn1
about	about	ii
diverse	diverse	jj
families	family	nn2
from	from	ii
different	different	jj
cultures	culture	nn2
to	to	ii
elementary	elementary	jj
and	and	cc
middle	middle	jj_nn1
school	school	nn1
social	social	jj
studies	study	nn2
students	student	nn2
,	,	y
see	see	vv0
my	my	appge
Web	web	nn1
site	site	nn1
,	,	y
http	http	x         
:	:	y
**34;4435;TOOLONG	**34;4435;toolong	vv0_nn1_jj
.	.	y
)	)	y
<p>	<p>	y
Strategies	strategy	nn2
for	for	if
Reading	reading	np1_vvg@
Poetry	poetry	nn1
<p>	<p>	y
Before	before	ii
reading	read	vvg
a	a	at1
poem	poem	nn1
aloud	aloud	rr
,	,	y
the	the	at
teacher	teacher	nn1
needs	need	vvz_nn2
to	to	to
provide	provide	vvi
students	student	nn2
with	with	iw
background	background	nn1
information	information	nn1
on	on	ii
the	the	at
poet	poet	nn1
and	and	cc
the	the	at
period	period	nn1
when	when	rrq
the	the	at
poem	poem	nn1
was	be	vbdz
written	write	vvn
.	.	y
Books	book	nn2
of	of	io
poetry	poetry	nn1
often	often	rr
contain	contain	vv0
brief	brief	jj
biographies	biography	nn2
of	of	io
the	the	at
authors	author	nn2
,	,	y
or	or	cc
the	the	at
book	book	nn1
's	's	ge
publisher	publisher	nn1
may	may	vm
have	have	vhi
additional	additional	jj
information	information	nn1
about	about	ii
the	the	at
author	author	nn1
on	on	ii
its	its	z'
Web	web	nn1
site	site	nn1
.	.	y
For	for	if
more	more	rgr_dar
extensive	extensive	jj
author	author	nn1
information	information	nn1
,	,	y
teachers	teacher	nn2
can	can	vm
consult	consult	vvi
the	the	at
Academy	academy	nn1
of	of	io
American	american	jj
Poets	poet	nn2
Web	web	nn1
site	site	nn1
at	at	ii
poets.org	poets.org	zz_nn
or	or	cc
complete	complete	vv0
an	a	at1
Internet	internet	nn1
search	search	nn1
.	.	y
When	when	cs
introducing	introduce	vvg
the	the	at
time	time	nnt1
period	period	nn1
in	in	ii
which	which	ddq
the	the	at
poem	poem	nn1
was	be	vbdz
written	write	vvn
,	,	y
I	i	ppis1
suggest	suggest	vv0
that	that	cst
teachers	teacher	nn2
encourage	encourage	vv0
children	child	nn2
to	to	to
relate	relate	vvi
the	the	at
year	year	nnt1
to	to	ii
themselves	themselves	ppx2
and	and	cc
their	their	appge
families	family	nn2
and	and	cc
that	that	cst
teachers	teacher	nn2
ask	ask	vv0
questions	question	nn2
such	such	ii21
as	as	ii22
"	"	y
How	how	rgq
old	old	jj
were	be	vbdr
you	you	ppy
when	when	cs_rrq
this	this	dd1
poem	poem	nn1
was	be	vbdz
written	write	vvn
and	and	cc
originally	originally	rr
published	publish	vvn_vvd
?	?	y
How	how	rgq
old	old	jj
were	be	vbdr
your	your	appge
closest	closest	jjt
family	family	nn1
members	member	nn2
?	?	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
this	this	dd1
poem	poem	nn1
was	be	vbdz
written	write	vvn
?	?	y
"	"	y
With	with	iw
older	old	jjr
elementary	elementary	jj
students	student	nn2
,	,	y
teachers	teacher	nn2
can	can	vm
draw	draw	vvi
out	out	rp
their	their	appge
background	background	nn1
knowledge	knowledge	nn1
of	of	io
the	the	at
important	important	jj
national	national	jj
,	,	y
state	state	vv0_nn1
,	,	y
and	and	cc
community	community	nn1
events	event	nn2
of	of	io
that	that	dd1
time	time	nnt1
period	period	nn1
and	and	cc
offer	offer	vv0
additional	additional	jj
information	information	nn1
on	on	ii
the	the	at
historical	historical	jj
and	and	cc
social	social	jj
context	context	nn1
of	of	io
the	the	at
poem	poem	nn1
.	.	y
<p>	<p>	y
To	to	to
ensure	ensure	vvi
that	that	cst
all	all	db
students	student	nn2
engage	engage	vv0
in	in	ii_rp@
the	the	at
poetry	poetry	nn1
exercise	exercise	nn1_vv0
,	,	y
the	the	at
teacher	teacher	nn1
needs	need	vvz_nn2
to	to	to
vary	vary	vvi
the	the	at
format	format	nn1
for	for	if
reading	read	vvg
aloud	aloud	rr
(	(	y
see	see	vv0
Vardell	vardell	np1_nn1@
2003	2003	mc
for	for	if
descriptions	description	nn2
of	of	io
different	different	jj
methods	method	nn2
)	)	y
.	.	y
In	in	ii
my	my	appge
social	social	jj
studies	study	nn2
methods	method	nn2
class	class	nn1
,	,	y
I	i	ppis1
read	read	vv0_vvd
poems	poem	nn2
aloud	aloud	rr
to	to	to
preservice	pre-service	j         
teachers	teacher	nn2
at	at	ii
different	different	jj
times	time	nnt2
during	during	ii
the	the	at
semester	semester	nn1
as	as	ii
a	a	at1
means	mean	nn
to	to	to
introduce	introduce	vvi
or	or	cc
reinforce	reinforce	vvi
a	a	at1
topic	topic	nn1
.	.	y
We	we	ppis2
also	also	rr
read	read	vv0_vvn_vvd
poems	poem	nn2
together	together	rl
,	,	y
choral	choral	jj
fashion	fashion	nn1
,	,	y
or	or	cc
I	i	ppis1
divide	divide	vv0
the	the	at
class	class	nn1
into	into	ii
two	two	mc
large	large	jj
groups	group	nn2
,	,	y
with	with	iw
each	each	dd1
group	group	nn1
reading	read	vvg_nn1
alternating	alternating	jj_vvg
stanzas	stanza	nn2
.	.	y
For	for	if
large	large	jj
group	group	nn1
readings	reading	nn2
,	,	y
I	i	ppis1
usually	usually	rr
display	display	vv0
the	the	at
poems	poem	nn2
through	through	ii
a	a	at1
computerized	computerized	jj
presentation	presentation	nn1
program	program	nn1
.	.	y
The	the	at
use	use	nn1
of	of	io
different	different	jj
colors	color	nn2
for	for	if
alternating	alternating	jj_vvg
stanzas	stanza	nn2
helps	help	vvz
the	the	at
groups	group	nn2
identify	identify	vvi
which	which	ddq
stanzas	stanza	nn2
to	to	to
read	read	vvi
.	.	y
The	the	at
students	student	nn2
also	also	rr
read	read	vv0_vvn_vvd
poems	poem	nn2
with	with	iw
a	a	at1
partner	partner	nn1
or	or	cc
read	read	vvd_vv0_vvn
individually	individually	rr
from	from	ii
a	a	at1
book	book	nn1
of	of	io
poetry	poetry	nn1
.	.	y
If	if	cs
they	they	pphs2
read	read	vv0_vvd
with	with	iw
a	a	at1
partner	partner	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
the	the	at
poem	poem	nn1
to	to	ii
the	the	at
rest	rest	nn1
of	of	io
the	the	at
class	class	nn1
.	.	y
When	when	cs_rrq
I	i	ppis1
ask	ask	vv0
preservice	preservice	nn1_vv0
teachers	teacher	nn2
to	to	to
read	read	vvi
poetry	poetry	nn1
aloud	aloud	rr
,	,	y
I	i	ppis1
allow	allow	vv0
them	them	ppho2
to	to	to
prepare	prepare	vvi
for	for	if
the	the	at
reading	reading	nn1
so	so	cs21
that	that	cs22
they	they	pphs2
are	be	vbr
comfortable	comfortable	jj
with	with	iw
word	word	nn1
pronunciation	pronunciation	nn1
or	or	cc
the	the	at
meaning	meaning	nn1
of	of	io
a	a	at1
word	word	nn1
or	or	cc
phrase	phrase	nn1
.	.	y
<p>	<p>	y
Strategies	strategy	nn2
for	for	if
Discussing	discuss	vvg
Poems	poem	nn2
<p>	<p>	y
After	after	cs
we	we	ppis2
read	read	vv0_vvd
a	a	at1
poem	poem	nn1
aloud	aloud	rr
,	,	y
students	student	nn2
try	try	vv0
to	to	to
explain	explain	vvi
the	the	at
meaning	meaning	nn1
of	of	io
the	the	at
poem	poem	nn1
's	's	ge
important	important	jj
vocabulary	vocabulary	nn1
and	and	cc
significant	significant	jj
ideas	idea	nn2
.	.	y
Because	because	cs
so	so	rg
many	many	da2
preservice	pre-service	j         
teachers	teacher	nn2
have	have	vh0
had	have	vhn
experiences	experience	nn2
with	with	iw
giving	give	vvg
only	only	rr
the	the	at
"	"	y
correct	correct	jj
interpretation	interpretation	nn1
"	"	y
of	of	io
poems	poem	nn2
and	and	cc
their	their	appge
symbolism	symbolism	nn1
,	,	y
I	i	ppis1
stress	stress	vv0@
that	that	cst
they	they	pphs2
are	be	vbr
free	free	jj
to	to	to
offer	offer	vvi
their	their	appge
own	own	da
interpretation	interpretation	nn1
.	.	y
To	to	to
encourage	encourage	vvi
greater	great	jjr
participation	participation	nn1
,	,	y
I	i	ppis1
ask	ask	vv0
them	them	ppho2
to	to	to
share	share	vvi
their	their	appge
ideas	idea	nn2
with	with	iw
a	a	at1
partner	partner	nn1
before	before	ii
offering	offer	vvg
them	them	ppho2
to	to	ii
the	the	at
class	class	nn1
.	.	y
When	when	cs
addressing	address	vvg
the	the	at
issue	issue	nn1
of	of	io
inequality	inequality	nn1
and	and	cc
struggles	struggle	nn2_vvz
for	for	if
equality	equality	nn1
in	in	ii
social	social	jj
studies	study	nn2
,	,	y
I	i	ppis1
have	have	vh0
the	the	at
students	student	nn2
read	read	vvn
"	"	y
I	i	zz1%_mc1%_ppis1
,	,	y
Too	too	rr@_rg
,	,	y
Sing	sing	vv0
America	america	np1
"	"	y
and	and	cc
"	"	y
Merry-Go-Round	merry-go-round	nn1_jj
,	,	y
"	"	y
by	by	ii
Langston	langston	np1
Hughes	hughes	np1
(	(	y
Clinton	clinton	np1
1998	1998	mc
)	)	y
,	,	y
both	both	db2
of	of	io
which	which	ddq
illustrate	illustrate	vv0
racism	racism	nn1
and	and	cc
racial	racial	jj
segregation	segregation	nn1
during	during	ii
the	the	at
first	first	md
half	half	nn1@_db
of	of	io
the	the	at
twentieth	twentieth	md
century	century	nnt1
.	.	y
I	i	ppis1
encourage	encourage	vv0
students	student	nn2
to	to	to
explain	explain	vvi
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
"	"	y
sit	sit	vv0
at	at	ii
the	the	at
table	table	nn1
"	"	y
in	in	ii
"	"	y
I	i	zz1%_mc1%
,	,	y
Too	too	rr@_rg
,	,	y
Sing	sing	vv0
America	america	np1
.	.	y
"	"	y
I	i	ppis1
have	have	vh0
them	them	ppho2
describe	describe	vv0
the	the	at
location	location	nn1
of	of	io
the	the	at
"	"	y
Jim	jim	np1
Crow	crow	np1
section	section	nn1
"	"	y
on	on	ii
a	a	at1
merry-go-round	merry-go-round	nn1_jj
,	,	y
bus	bus	nn1_vv0@
,	,	y
and	and	cc
train	train	vv0_nn1
in	in	ii
"	"	y
Merry-Go-Round	merry-go-round	nn1_jj
.	.	y
"	"	y
I	i	ppis1
advise	advise	vv0
the	the	at
preservice	preservice	nn1
teachers	teacher	nn2
that	that	cst
they	they	pphs2
should	should	vm
build	build	vvi
on	on	ii
the	the	at
ideas	idea	nn2
that	that	cst
the	the	at
children	child	nn2
offer	offer	vv0_nn1
and	and	cc
should	should	vm
add	add	vvi
a	a	at1
brief	brief	jj
explanation	explanation	nn1
of	of	io
Jim	jim	np1
Crow	crow	np1
laws	law	nn2
and	and	cc
racial	racial	jj
segregation	segregation	nn1
before	before	ii_cs
the	the	at
1960s	1960s	mc2
civil	civil	jj
rights	right	nn2
movement	movement	nn1
.	.	y
<p>	<p>	y
One	one	pn1
can	can	vm
find	find	vvi
racial	racial	jj
inequality	inequality	nn1
for	for	if
Native	native	jj
American	american	jj
people	people	nn
portrayed	portray	vvn
in	in	ii
the	the	at
poem	poem	nn1
"	"	y
Indians	indian	nn2
,	,	y
"	"	y
by	by	ii
Ophelia	ophelia	np1
Rivas	riva	np2
,	,	y
a	a	at1
Tohono	tohono	np1_nn1
O'odham	o'odham	np1
teen	teen	nn1
,	,	y
in	in	ii
Rising	rise	vvg_jj@
Voices	voice	nn2
:	:	y
Writings	writing	nn2
of	of	io
Young	young	jj_np1
Native	native	jj
Americans	american	nn2
(	(	y
Hirschfelder	hirschfelder	np1_nn1_vv0
and	and	cc
Singer	singer	np1
1992	1992	mc
)	)	y
.	.	y
After	after	ii
reading	read	vvg
the	the	at
poem	poem	nn1
aloud	aloud	rr
,	,	y
young	young	jj
students	student	nn2
need	need	vv0
to	to	to
review	review	vvi
their	their	appge
knowledge	knowledge	nn1
of	of	io
Columbus	columbus	np1
,	,	y
the	the	at
Pilgrims	pilgrim	nn2
,	,	y
and	and	cc
Vikings	viking	nn2
and	and	cc
their	their	appge
roles	role	nn2
in	in	ii
U.S.	us	np1
history	history	nn1
.	.	y
They	they	pphs2
also	also	rr
need	need	vv0
to	to	to
explain	explain	vvi
the	the	at
meaning	meaning	nn1
of	of	io
the	the	at
phrases	phrase	nn2
"	"	y
we	we	ppis2
are	be	vbr
treated	treat	vvn
as	as	cs21
though	though	cs22
we	we	ppis2
do	do	vd0
n't	n't	xx
belong	belong	vvi
here	here	rl
"	"	y
and	and	cc
"	"	y
we	we	ppis2
are	be	vbr
treated	treat	vvn
as	as	cs21
though	though	cs22
we	we	ppis2
just	just	rr
got	get	vvn_vvd
here	here	rl
.	.	y
"	"	y
<p>	<p>	y
To	to	to
promote	promote	vvi
critical	critical	jj
literacy	literacy	nn1
and	and	cc
an	a	at1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
teacher	teacher	nn1
can	can	vm
have	have	vhi
students	student	nn2
offer	offer	vvi
their	their	appge
interpretations	interpretation	nn2
of	of	io
the	the	at
poems	poem	nn2
,	,	y
the	the	at
issues	issue	nn2
or	or	cc
themes	theme	nn2
raised	raise	vvn_vvd
in	in	ii
them	them	ppho2
,	,	y
poetry	poetry	nn1
's	's	ge
contributions	contribution	nn2
to	to	ii
understanding	understand	vvg
social	social	jj
studies	study	nn2
content	content	vv0@_nn1_jj
,	,	y
and	and	cc
the	the	at
connections	connection	nn2
between	between	ii
the	the	at
issues	issue	nn2
in	in	ii
the	the	at
poems	poem	nn2
and	and	cc
in	in	ii
the	the	at
students	student	nn2
'	'	ge
own	own	da
lives	life	nn2
(	(	y
Creighton	creighton	np1
1997	1997	mc
;	;	y
Edelsky	edelsky	np1
1999	1999	mc
)	)	y
.	.	y
For	for	rex21
example	example	rex22
,	,	y
the	the	at
teacher	teacher	nn1
may	may	vm
select	select	vvi
poems	poem	nn2
that	that	cst
portray	portray	vv0
women	woman	nn2
's	's	ge
challenges	challenge	nn2
to	to	ii
racial	racial	jj
and	and	cc
gender	gender	nn1
inequality	inequality	nn1
--	--	x
"	"	y
Ai	ai	fu
n't	n't	xx
I	i	ppis1
a	a	at1
Woman	woman	nn1
,	,	y
"	"	y
by	by	ii
Sojourner	sojourner	np1_nn1
Truth	truth	nn1
,	,	y
"	"	y
Harriet	harriet	np1
Tubman	tubman	np1
,	,	y
"	"	y
by	by	ii
Eloise	eloise	np1
Greenfield	greenfield	np1
,	,	y
and	and	cc
"	"	y
From	from	ii
Elizabeth	elizabeth	np1
Blackwell	blackwell	np1
,	,	y
"	"	y
by	by	ii
Eve	eve	np1
Merriam	merriam	np1
,	,	y
which	which	ddq
are	be	vbr
in	in	ii_rp@
More	more	dar
Spice	spice	nn1
Than	than	csn
Sugar	sugar	np1@_nn1
:	:	y
Poems	poem	nn2
about	about	ii
Feisty	feisty	jj_np1_nn1
Females	female	nn2
(	(	y
Morrison	morrison	np1
2001	2001	mc
)	)	y
.	.	y
After	after	ii
reading	read	vvg
the	the	at
poems	poem	nn2
aloud	aloud	rr
,	,	y
the	the	at
children	child	nn2
can	can	vm
explain	explain	vvi
what	what	ddq
they	they	pphs2
learned	learn	vvd
from	from	ii
the	the	at
poems	poem	nn2
and	and	cc
what	what	ddq
led	lead	vvd
to	to	ii
their	their	appge
interpretations	interpretation	nn2
.	.	y
The	the	at
teacher	teacher	nn1
needs	need	vvz_nn2
to	to	to
encourage	encourage	vvi
different	different	jj
explanations	explanation	nn2
and	and	cc
reasoning	reason	vvg_nn1
from	from	ii
the	the	at
students	student	nn2
.	.	y
Once	once	rr_cs@
students	student	nn2
express	express	vv0
their	their	appge
initial	initial	jj_nn1
responses	response	nn2
to	to	ii
the	the	at
poems	poem	nn2
,	,	y
the	the	at
teacher	teacher	nn1
can	can	vm
have	have	vhi
them	them	ppho2
focus	focus	vv0_nn1
on	on	ii
the	the	at
issues	issue	nn2
raised	raise	vvn_vvd
in	in	ii
the	the	at
poems	poem	nn2
and	and	cc
their	their	appge
relevance	relevance	nn1
to	to	ii
social	social	jj
studies	study	nn2
and	and	cc
students	student	nn2
'	'	ge
lives	life	nn2
.	.	y
For	for	rex21
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
the	the	at
following	following	jj
questions	question	nn2
:	:	y
<p>	<p>	y
What	what	ddq
rights	right	nn2
were	be	vbdr
the	the	at
three	three	mc
women	woman	nn2
fighting	fight	vvg
for	for	if
,	,	y
and	and	cc
what	what	ddq
is	be	vbz
their	their	appge
importance	importance	nn1
?	?	y
<p>	<p>	y
What	what	ddq
did	do	vdd
you	you	ppy
learn	learn	vvi
about	about	ii
the	the	at
issue	issue	nn1
of	of	io
equality	equality	nn1
in	in	ii
the	the	at
United	united	np1
States	state	np1
?	?	y
<p>	<p>	y
How	how	rrq
do	do	vd0
these	these	dd2
issues	issue	nn2
affect	affect	vvi
your	your	appge
own	own	da
life	life	nn1
?	?	y
<p>	<p>	y
During	during	ii
the	the	at
discussion	discussion	nn1
,	,	y
the	the	at
teacher	teacher	nn1
may	may	vm
add	add	vvi
his	his	appge
or	or	cc
her	her	appge
own	own	da
ideas	idea	nn2
,	,	y
guarding	guard	vvg
against	against	ii
those	those	dd2
ideas	idea	nn2
receiving	receive	vvg
more	more	dar
attention	attention	nn1
than	than	csn
the	the	at
students	student	nn2
'	'	ge
views	view	nn2
.	.	y
<p>	<p>	y
Another	another	dd1
aspect	aspect	nn1
of	of	io
critical	critical	jj
literacy	literacy	nn1
is	be	vbz
a	a	at1
careful	careful	jj
analysis	analysis	nn1
of	of	io
the	the	at
poets	poet	nn2
,	,	y
including	including	ii_vvg@
their	their	appge
backgrounds	background	nn2
,	,	y
for	for	if
writing	write	vvg
realistic	realistic	jj
poetry	poetry	nn1
about	about	ii
the	the	at
poem	poem	nn1
's	's	ge
theme	theme	nn1
or	or	cc
social	social	jj
issue	issue	nn1
,	,	y
the	the	at
author	author	nn1
's	's	ge
purpose	purpose	nn1
for	for	if
writing	write	vvg
the	the	at
poetry	poetry	nn1
,	,	y
and	and	cc
the	the	at
point	point	nn1
of	of	io
view	view	nn1
and	and	cc
biases	bias	nn2
portrayed	portray	vvn
in	in	ii
the	the	at
poem	poem	nn1
(	(	y
Creighton	creighton	np1
1997	1997	mc
)	)	y
.	.	y
When	when	cs_rrq
we	we	ppis2
read	read	vv0_vvd
poems	poem	nn2
portraying	portray	vvg
racial	racial	jj
stereotypes	stereotype	nn2
and	and	cc
discrimination	discrimination	nn1
,	,	y
such	such	ii21
as	as	ii22
"	"	y
Waiting	wait	vvg
at	at	ii
the	the	at
Railroad	railroad	nn1
Caf	caf	nn1_np1
,	,	y
"	"	y
"	"	y
Math	math	nn1
,	,	y
"	"	y
and	and	cc
"	"	y
Noise	noise	nn1
"	"	y
from	from	ii
Good	good	jj
Luck	luck	nn1
Gold	gold	nn1
and	and	cc
Other	other	jj
Poems	poem	nn2
(	(	y
Wong	wong	np1_vv0_nn1
1994	1994	mc
)	)	y
,	,	y
I	i	ppis1
explain	explain	vv0
to	to	ii
the	the	at
preservice	preservice	nn1
students	student	nn2
that	that	cst
the	the	at
author	author	nn1
is	be	vbz
Janet	janet	np1
Wong	wong	np1
,	,	y
whose	whose	ddqge
father	father	nn1
immigrated	immigrate	vvd_vvn@
from	from	ii
China	china	np1
and	and	cc
whose	whose	ddqge
mother	mother	nn1
immigrated	immigrate	vvd_vvn@
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
up	up	rp
in	in	ii
Los	los	np1
Angeles	angeles	np1
.	.	y
Given	given	cs21
that	that	cs22
background	background	nn1
,	,	y
I	i	ppis1
encourage	encourage	vv0
students	student	nn2
to	to	to
question	question	vvi
if	if	cs_csw@
we	we	ppis2
can	can	vm
believe	believe	vvi
that	that	cst
the	the	at
author	author	nn1
is	be	vbz
describing	describe	vvg
real	real	jj
experiences	experience	nn2
and	and	cc
can	can	vm
explain	explain	vvi
why	why	rrq
Wong	wong	np1_nn1
might	might	vm
have	have	vhi
written	write	vvn
about	about	ii
them	them	ppho2
.	.	y
We	we	ppis2
discuss	discuss	vv0
problems	problem	nn2
of	of	io
a	a	at1
teacher	teacher	nn1
's	's	ge
stereotyping	stereotyping	nn1
students	student	nn2
on	on	ii
the	the	at
basis	basis	nn1
of	of	io
race	race	nn1
,	,	y
gender	gender	nn1
,	,	y
or	or	cc
family	family	nn1
background	background	nn1
;	;	y
the	the	at
harm	harm	nn1
resulting	result	vvg
from	from	ii
racial	racial	jj
discrimination	discrimination	nn1
through	through	ii
teasing	teasing	nn1_vvg_jj
;	;	y
and	and	cc
strategies	strategy	nn2
for	for	if
coping	cope	vvg
with	with	iw
racial	racial	jj
discrimination	discrimination	nn1
.	.	y
Finally	finally	rr
,	,	y
I	i	ppis1
ask	ask	vv0
the	the	at
preservice	preservice	nn1
students	student	nn2
to	to	to
identify	identify	vvi
the	the	at
author	author	nn1
's	's	ge
perspective	perspective	nn1
and	and	cc
any	any	dd
biases	bias	nn2
they	they	pphs2
notice	notice	vv0
in	in	ii_rp@
the	the	at
poems	poem	nn2
.	.	y
Sometimes	sometimes	rt
we	we	ppis2
address	address	vv0@
the	the	at
possible	possible	jj
bias	bias	nn1
against	against	ii
European	european	jj
Americans	american	nn2
and	and	cc
the	the	at
advancement	advancement	nn1
of	of	io
the	the	at
status	status	nn1
of	of	io
Chinese-Korean-Americans	chinese-korean-americans	np1
in	in	ii
some	some	dd
of	of	io
Wong	wong	np1_nn1
's	's	ge
poetry	poetry	nn1
.	.	y
Conclusion	conclusion	nn1
<p>	<p>	y
For	for	if
elementary	elementary	jj
teachers	teacher	nn2
who	who	pnqs
have	have	vh0
limited	limit	vvn
time	time	nnt1
for	for	if
social	social	jj
studies	study	nn2
but	but	ccb
must	must	vm
address	address	vvi
the	the	at
national	national	jj
social	social	jj
studies	study	nn2
standards	standard	nn2
and	and	cc
promote	promote	vv0
their	their	appge
students	student	nn2
'	'	ge
literacy	literacy	nn1
development	development	nn1
simultaneously	simultaneously	rr
,	,	y
poetry	poetry	nn1
is	be	vbz
a	a	at1
valuable	valuable	jj
resource	resource	nn1
.	.	y
Teachers	teacher	nn2
can	can	vm
read	read	vvi
and	and	cc
discuss	discuss	vvi
poems	poem	nn2
during	during	ii
brief	brief	jj
instructional	instructional	jj
periods	period	nn2
,	,	y
while	while	cs
still	still	rr
engaging	engaging	jj_vvg
children	child	nn2
and	and	cc
helping	help	vvg
them	them	ppho2
learn	learn	vvi
significant	significant	jj
social	social	jj
studies	study	nn2
content	content	nn1_vv0@_jj
.	.	y
From	from	ii
my	my	appge
decade	decade	nnt1
of	of	io
experience	experience	nn1
reading	reading	nn1_vvg
poetry	poetry	nn1
aloud	aloud	rr
in	in	ii
my	my	appge
social	social	jj
studies	study	nn2
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
of	of	io
preservice	preservice	nn1
teachers	teacher	nn2
and	and	cc
motivates	motivate	vvz
them	them	ppho2
to	to	to
think	think	vvi
about	about	ii
multicultural	multicultural	nn1_jj
,	,	y
social	social	jj
reconstructionist	reconstructionist	nn1
ideas	idea	nn2
.	.	y
They	they	pphs2
are	be	vbr
often	often	rr
surprised	surprise	vvn
that	that	dd1_cst
poetry	poetry	nn1
is	be	vbz
a	a	at1
credible	credible	jj
supplementary	supplementary	jj
social	social	jj
studies	study	nn2
resource	resource	vv0_nn1
.	.	y
Most	most	dat
preservice	pre-service	j         
students	student	nn2
appreciate	appreciate	vv0
the	the	at
engaging	engaging	jj
language	language	nn1
,	,	y
personal	personal	jj
tone	tone	nn1
,	,	y
and	and	cc
deep	deep	jj
emotions	emotion	nn2
found	find	vvn_vvd
in	in	ii
poetry	poetry	nn1
that	that	cst
are	be	vbr
missing	miss	vvg
from	from	ii
social	social	jj
studies	study	nn2
textbooks	textbook	nn2
.	.	y
Poems	poem	nn2
make	make	vv0
abstract	abstract	jj
issues	issue	nn2
of	of	io
cultural	cultural	jj
diversity	diversity	nn1
and	and	cc
racial	racial	jj
,	,	y
economic	economic	jj
,	,	y
and	and	cc
gender	gender	nn1
injustices	injustice	nn2
real	real	jj
.	.	y
Poetry	poetry	nn1
definitely	definitely	rr
offers	offer	vvz@
rich	rich	jj
learning	learning	nn1
opportunities	opportunity	nn2
.	.	y
I	i	ppis1
hope	hope	vv0
that	that	cst
the	the	at
poetry	poetry	nn1
read	read	vvn_vvd
in	in	ii_rp@
my	my	appge
methods	method	nn2
class	class	nn1
will	will	vm
inspire	inspire	vvi
the	the	at
preservice	preservice	nn1
teachers	teacher	nn2
to	to	to
address	address	vvi
those	those	dd2
issues	issue	nn2
later	later	rrr
in	in	ii
their	their	appge
own	own	da
classrooms	classroom	nn2
and	and	cc
challenge	challenge	vv0_nn1
injustices	injustice	nn2
in	in	ii
their	their	appge
daily	daily	jj
lives	life	nn2
.	.	y
<p>	<p>	y
##4002471		
Section	section	nn1
:	:	y
CLASSROOM	classroom	nn1
Success	success	nn1
Stories	story	nn2
<p>	<p>	y
Key	key	jj_nn1
words	word	nn2
:	:	y
trade	trade	nn1_vv0@
books	book	nn2
and	and	cc
teaching	teaching	nn1_vvg
;	;	y
using	use	vvg
a	a	at1
trade	trade	nn1
book	book	nn1
to	to	to
teach	teach	vvi
geography	geography	nn1
;	;	y
geography	geography	nn1
for	for	if
fourth	fourth	md
graders	grader	nn2
<p>	<p>	y
Teachers	teacher	nn2
are	be	vbr
notorious	notorious	jj
for	for	if
purchasing	purchase	vvg_nn1_jj@
children	child	nn2
's	's	ge
literature	literature	nn1
.	.	y
They	they	pphs2
seek	seek	vv0
books	book	nn2
that	that	cst
entice	entice	vv0
students	student	nn2
into	into	ii
the	the	at
act	act	nn1
of	of	io
reading	reading	nn1_vvg
,	,	y
support	support	vv0
curricular	curricular	jj
objectives	objective	nn2
,	,	y
and	and	cc
teach	teach	vv0
civic	civic	jj
and	and	cc
moral	moral	jj
lessons	lesson	nn2
.	.	y
Depending	depend	vvg
how	how	rrq
it	it	pph1
is	be	vbz
used	use	vvn
in	in	ii
a	a	at1
particular	particular	jj
unit	unit	nn1
,	,	y
quality	quality	nn1
literature	literature	nn1
can	can	vm
often	often	rr
bring	bring	vvi
subject	subject	nn1_jj@
areas	area	nn2
to	to	ii
life	life	nn1
for	for	if
teachers	teacher	nn2
and	and	cc
students	student	nn2
.	.	y
A	a	at1
book	book	nn1
can	can	vm
