##5995		
20:00-21:00		mcmc
left	left	jj_vvn
columnist	columnist	nn1
Paul	paul	np1
Krugman	krugman	np1
summed	sum	vvd
that	that	cst_dd1
position	position	vv0@_nn1
up	up	rp
.	.	y
"	"	y
Basic	basic	jj
decency	decency	nn1
requires	require	vvz
that	that	cst
we	we	ppis2
provide	provide	vv0
immigrants	immigrant	nn2
,	,	y
once	once	cs@_rr
they	they	pphs2
're	be	vbr
here	here	rl
,	,	y
with	with	iw
essential	essential	jj
health	health	nn1
care	care	nn1
,	,	y
education	education	nn1
for	for	if
their	their	appge
children	child	nn2
,	,	y
and	and	cc
more	more	rrr_dar
.	.	y
"	"	y
Krugman	krugman	nn1_np1@
and	and	cc
many	many	da2
on	on	ii
the	the	at
left	left	jj_nn1@
are	be	vbr
big	big	jj
on	on	ii
those	those	dd2
carrots	carrot	nn2
,	,	y
but	but	ccb
short	short	rr@_jj
on	on	ii
any	any	dd
sticks	stick	nn2
.	.	y
They	they	pphs2
reject	reject	vv0
tough	tough	jj
enforcement	enforcement	nn1
of	of	io
immigration	immigration	nn1
law	law	nn1
.	.	y
But	but	ccb
there	there	ex
is	be	vbz
a	a	at1
solution	solution	nn1
that	that	cst_dd1
carries	carry	vvz
both	both	rr
a	a	at1
stick	stick	nn1
and	and	cc
a	a	at1
carrot	carrot	nn1
.	.	y
One	one	mc1
,	,	y
immediately	immediately	rr
move	move	vv0
the	the	at
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
patrol	patrol	nn1
.	.	y
If	if	cs
this	this	dd1
is	be	vbz
done	do	vdn
,	,	y
there	there	ex
's	be	vbz
no	no	at
need	need	nn1
for	for	if
a	a	at1
$1	$1	nnu
billion	billion	m1
wall	wall	nn1
.	.	y
Illegal	illegal	jj
crossings	crossing	nn2
would	would	vm
decline	decline	vvi
drastically	drastically	rr
.	.	y
Two	two	mc
,	,	y
detain	detain	vv0
anyone	anyone	pn1
caught	catch	vvd_vvn
trying	try	vvg
to	to	to
cross	cross	vvi
the	the	at
border	border	nn1
illegally	illegally	rr
and	and	cc
deport	deport	vvi
them	them	ppho2
ASAP	asap	vv0_nn1_np1
.	.	y
No	no	at
more	more	dar
catch	catch	nn1
and	and	cc
release	release	nn1_vv0
.	.	y
Three	three	mc
,	,	y
inform	inform	vv0
businesses	business	nn2
that	that	cst_dd1
hiring	hire	vvg_nn1
illegal	illegal	jj
workers	worker	nn2
will	will	vm
lead	lead	vvi
to	to	ii
expensive	expensive	jj
fines	fines	nn2
first	first	md
time	time	nnt1
,	,	y
prison	prison	nn1
time	time	nnt1
for	for	if
employers	employer	nn2
second	second	md
time	time	nnt1
.	.	y
Four	four	mc
,	,	y
allow	allow	vv0
those	those	dd2
illegals	illegal	nn2
already	already	rr
in	in	ii
the	the	at
USA	usa	np1
to	to	to
register	register	vvi
as	as	rg@_csa
foreign	foreign	jj
residents	resident	nn2
without	without	iw
fear	fear	nn1
of	of	io
reprisal	reprisal	nn1
.	.	y
An	a	at1
illegal	illegal	jj
would	would	vm
have	have	vhi
60	60	mc
days	day	nnt2
to	to	to
do	do	vdi
that	that	dd1
.	.	y
Failure	failure	nn1
to	to	to
register	register	vvi
would	would	vm
be	be	vbi
a	a	at1
felony	felony	nn1
with	with	iw
mandatory	mandatory	jj
prison	prison	nn1
time	time	nnt1
.	.	y
Five	five	mc
,	,	y
once	once	cs@_rr
the	the	at
foreign	foreign	jj
resident	resident	nn1
is	be	vbz
registered	register	vvn_jj
,	,	y
he	he	pphs1
or	or	cc
she	she	pphs1
would	would	vm
be	be	vbi
issued	issue	vvn
temporary	temporary	jj
working	working	jj@_vvg
papers	paper	nn2
and	and	cc
would	would	vm
have	have	vhi
to	to	to
pay	pay	vvi
a	a	at1
$3,000	$3,000	nnu
fine	fine	jj
for	for	if
breaking	break	vvg
the	the	at
immigration	immigration	nn1
law	law	nn1
.	.	y
The	the	at
money	money	nn1
would	would	vm
be	be	vbi
deducted	deduct	vvn
from	from	ii
paychecks	paycheck	nn2
over	over	ii
a	a	at1
three	three	mc
year	year	nnt1
period	period	nn1
.	.	y
Six	six	mc
,	,	y
after	after	ii_cs
three	three	mc
years	year	nnt2
,	,	y
that	that	dd1_cst
foreign	foreign	jj
resident	resident	nn1
could	could	vm
apply	apply	vvi
for	for	if
citizenship	citizenship	nn1
,	,	y
but	but	ccb
such	such	da
a	a	at1
privilege	privilege	nn1
would	would	vm
not	not	xx
be	be	vbi
guaranteed	guarantee	vvn
.	.	y
The	the	at
applicants	applicant	nn2
would	would	vm
take	take	vvi
their	their	appge
place	place	nn1
in	in	ii
line	line	nn1
behind	behind	ii
those	those	dd2
who	who	pnqs
have	have	vh0
obeyed	obey	vvn
the	the	at
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
would	would	vm
be	be	vbi
set	set	vvn
up	up	rp
to	to	to
meet	meet	vvi
the	the	at
needs	need	nn2
of	of	io
businesses	business	nn2
.	.	y
Foreign	foreign	jj
countries	country	nn2
could	could	vm
send	send	vvi
a	a	at1
list	list	nn1
of	of	io
applicants	applicant	nn2
and	and	cc
a	a	at1
pool	pool	nn1
would	would	vm
be	be	vbi
formed	form	vvn
.	.	y
Any	any	dd
finally	finally	rr
,	,	y
any	any	dd
immigrant	immigrant	nn1_jj
evading	evade	vvg
taxes	tax	nn2
in	in	ii
the	the	at
USA	usa	np1
would	would	vm
be	be	vbi
immediately	immediately	rr
deported	deport	vvn_vvd_jj
.	.	y
So	so	rr
there	there	rl
you	you	ppy
have	have	vh0
it	it	pph1
.	.	y
Comprehensive	comprehensive	jj
plan	plan	nn1
to	to	to
stop	stop	vvi
the	the	at
madness	madness	nn1
,	,	y
but	but	ccb
Congress	congress	nn1
not	not	xx
going	go	vvg
to	to	to
do	do	vdi
it	it	pph1
.	.	y
Today	today	rt
,	,	y
the	the	at
Senate	senate	nn1
Judiciary	judiciary	nn1
Committee	committee	nn1
approved	approve	vvd_vvn
an	a	at1
amendment	amendment	nn1
that	that	cst_dd1
would	would	vm
allow	allow	vvi
Americans	american	nn2
to	to	to
provide	provide	vvi
care	care	nn1
for	for	if
illegal	illegal	jj
aliens	alien	nn2
while	while	cs
adding	add	vvg
more	more	dar
border	border	nn1
patrol	patrol	nn1_vv0
agents	agent	nn2
.	.	y
Same	same	da
old	old	jj
,	,	y
same	same	da
old	old	jj
.	.	y
Not	not	xx
going	go	vvgk
to	to	to
solve	solve	vvi
the	the	at
problem	problem	nn1
.	.	y
And	and	cc
that	that	dd1
's	be	vbz
the	the	at
Memo	memo	nn1
.	.	y
Now	now	rt
for	for	if
the	the	at
top	top	jj_nn1
story	story	nn1
tonight	tonight	rt
,	,	y
another	another	dd1
view	view	nn1
on	on	ii
this	this	dd1
explosive	explosive	jj
situation	situation	nn1
.	.	y
Joining	join	vvg
us	us	ppio2
from	from	ii
Irvine	irvine	np1
,	,	y
California	california	np1
,	,	y
Enrique	enrique	np1
Morones	morones	np1_vvz
,	,	y
founder	founder	nn1
of	of	io
the	the	at
Border	border	nn1
Angels	angel	nn2
,	,	y
who	who	pnqs
have	have	vh0
helped	help	vvn
organize	organize	vvi
this	this	dd1
weekend	weekend	nnt1
's	's	ge
rally	rally	nn1
in	in	ii
Los	los	np1
Angeles	angeles	np1
.	.	y
All	all	rr21
right	right	rr22
,	,	y
let	let	vm21
's	be	vm22
go	go	vvi
down	down	rp
my	my	appge
list	list	nn1
one	one	mc1
by	by	ii
one	one	mc1
.	.	y
National	national	jj
Guard	guard	nn1
on	on	ii
the	the	at
border	border	nn1
.	.	y
Are	be	vbr
you	you	ppy
opposed	oppose	vvn
?	?	y
@!ENRIQUE-MORONES-F		zzq
:	:	y
Definitely	definitely	rr
opposed	oppose	vvn_vvd
.	.	y
It	it	pph1
's	be	vbz
not	not	xx
for	for	if
the	the	at
military	military	jj_nn1@
,	,	y
it	it	pph1
's	be	vbz
for	for	if
border	border	nn1
patrol	patrol	nn1
.	.	y
O'REILLY	o'reilly	np1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
military	military	nn1@_jj
is	be	vbz
to	to	to
be	be	vbi
established	establish	vvn
to	to	to
protect	protect	vvi
the	the	at
borders	border	nn2
of	of	io
the	the	at
United	united	np1
States	state	np1
.	.	y
@!MORONES		zzq
:	:	y
Right	right	rr_jj_nn1
,	,	y
but	but	ccb
I	i	ppis1
think	think	vv0
that	that	cst
the	the	at
military	military	jj_nn1@
the	the	at
way	way	nn1
that	that	cst
it	it	pph1
's	be	vbz
established	establish	vvn
right	right	rr_nn1
now	now	rt
is	be	vbz
not	not	xx
prepared	prepare	vvn
to	to	to
handle	handle	vvi
these	these	dd2
issues	issue	nn2
.	.	y
We	we	ppis2
've	have	vh0
seen	see	vvn
the	the	at
failures	failure	nn2
of	of	io
the	the	at
National	national	jj
Guard	guard	nn1
be	be	vbi
involved	involved	jj
in	in	ii
the	the	at
past	past	nn1
.	.	y
Shooting	shoot	vvg
innocent	innocent	jj
people	people	nn
,	,	y
something	something	pn1
that	that	cst
unfortunately	unfortunately	rr
...	...	...
O'REILLY	o'reilly	np1
:	:	y
All	all	rr21
right	right	rr22
,	,	y
so	so	cs@_rr
you	you	ppy
do	do	vd0
n't	n't	xx
have	have	vhi
confidence	confidence	nn1
that	that	cst
the	the	at
U.S.	us	np1
military	military	nn1@_jj
can	can	vm
do	do	vdi
a	a	at1
back-up	backup	nn1
to	to	ii
the	the	at
border	border	nn1
patrol	patrol	nn1_vv0
?	?	y
Is	be	vbz
that	that	dd1
what	what	ddq
you	you	ppy
're	be	vbr
telling	tell	vvg
me	me	ppio1
?	?	y
@!MORONES		zzq
:	:	y
Absolutely	absolutely	rr
not	not	xx
.	.	y
We	we	ppis2
've	have	vh0
seen	see	vvn
what	what	ddq
's	be	vhz
been	be	vbn
going	go	vvg
on	on	rp@
in	in	ii
Iraq	iraq	np1
.	.	y
I	i	ppis1
think	think	vv0
they	they	pphs2
should	should	vm
concentrate	concentrate	vvi
on	on	ii
being	be	vbg
a	a	at1
military	military	jj_nn1@
,	,	y
a	a	at1
peacekeeping	peacekeeping	jj@_nn1@
force	force	nn1
,	,	y
but	but	ccb
not	not	xx
at	at	ii
the	the	at
-	-	-
not	not	xx
being	be	vbg
on	on	ii
the	the	at
border	border	nn1
.	.	y
I	i	ppis1
think	think	vv0
that	that	dd1
's	be	vbz
the	the	at
wrong	wrong	jj
way	way	nn1
to	to	to
handle	handle	vvi
these	these	dd2
issues	issue	nn2
.	.	y
O'REILLY	o'reilly	np1
:	:	y
All	all	rr21
right	right	rr22
,	,	y
detain	detain	vv0
people	people	nn
who	who	pnqs
come	come	vv0
over	over	rp
,	,	y
no	no	at
more	more	dar
cash	cash	nn1
and	and	cc
release	release	nn1_vv0
.	.	y
You	you	ppy
for	for	if
?	?	y
@!MORONES		zzq
:	:	y
I	i	ppis1
think	think	vv0
that	that	cst
the	the	at
catch	catch	nn1
and	and	cc
release	release	vv0_nn1
program	program	nn1
--		nn1
what	what	ddq
we	we	ppis2
support	support	vv0
is	be	vbz
the	the	at
fact	fact	nn1
that	that	cst
the	the	at
people	people	nn
that	that	cst
are	be	vbr
coming	come	vvg
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
a	a	at1
legal	legal	jj
,	,	y
humane	humane	jj
.	.	y
O'REILLY	o'reilly	np1
:	:	y
OK	ok	rr
,	,	y
but	but	ccb
wait	wait	vv0
a	a	at1
minute	minute	nnt1
,	,	y
Enrique	enrique	np1
,	,	y
I	i	ppis1
do	do	vd0
n't	n't	xx
want	want	vvi
to	to	to
get	get	vvi
into	into	ii
the	the	at
big	big	jj
picture	picture	nn1
.	.	y
We	we	ppis2
have	have	vh0
plenty	plenty	pn
of	of	io
time	time	nnt1
to	to	to
do	do	vdi
that	that	dd1
later	later	rrr_jjr
.	.	y
You	you	ppy
catch	catch	vv0
somebody	somebody	pn1
coming	come	vvg
across	across	ii
the	the	at
border	border	nn1
.	.	y
Do	do	vd0
you	you	ppy
detain	detain	vvi
them	them	ppho2
?	?	y
Are	be	vbr
you	you	ppy
for	for	if
that	that	dd1
?	?	y
@!MORONES		zzq
:	:	y
If	if	cs
somebody	somebody	pn1
's	be	vbz
coming	come	vvg
across	across	ii
the	the	at
border	border	nn1
without	without	iw
documents	document	nn2
,	,	y
and	and	cc
the	the	at
border	border	nn1
patrol	patrol	nn1
stops	stop	vvz
them	them	ppho2
,	,	y
they	they	pphs2
have	have	vh0
the	the	at
right	right	nn1
to	to	to
do	do	vdi
that	that	dd1
.	.	y
The	the	at
border	border	nn1
patrol	patrol	nn1
does	do	vdz
.	.	y
O'REILLY	o'reilly	np1
:	:	y
Do	do	vd0
you	you	ppy
favor	favor	vvi
.	.	y
@!MORONES		zzq
:	:	y
The	the	at
border	border	nn1
patrol	patrol	nn1
should	should	vm
send	send	vvi
them	them	ppho2
back	back	rp
to	to	ii_to
.	.	y
O'REILLY	o'reilly	np1
:	:	y
Do	do	vd0
you	you	ppy
favor	favor	vvi
detention	detention	nn1
.	.	y
@!MORONES		zzq
:	:	y
No	no	uh
,	,	y
they	they	pphs2
should	should	vm
send	send	vvi
them	them	ppho2
back	back	rp
to	to	ii
the	the	at
country	country	nn1
where	where	cs_rrq
they	they	pphs2
came	come	vvd
from	from	ii
,	,	y
not	not	xx
release	release	vv0
them	them	ppho2
.	.	y
O'REILLY	o'reilly	np1
:	:	y
All	all	rr21
right	right	rr22
.	.	y
@!MORONES		zzq
:	:	y
I	i	ppis1
think	think	vv0
you	you	ppy
and	and	cc
I	i	ppis1
agree	agree	vv0
on	on	rp@_ii
more	more	dar
things	thing	nn2
than	than	csn
.	.	y
O'REILLY	o'reilly	np1
:	:	y
OK.	ok	rr
@!MORONES		zzq
:	:	y
.	.	y
you	you	ppy
would	would	vm
imagine	imagine	vvi
.	.	y
O'REILLY	o'reilly	np1
:	:	y
All	all	rr21
right	right	rr22
,	,	y
so	so	cs@_rr
no	no	at
more	more	dar
catch	catch	nn1
and	and	cc
release	release	vv0_nn1
?	?	y
You	you	ppy
're	be	vbr
with	with	iw
me	me	ppio1
on	on	ii
that	that	dd1
?	?	y
@!MORONES		zzq
:	:	y
Right	right	rr_nn1_jj
.	.	y
O'REILLY	o'reilly	np1
:	:	y
Punish	punish	vv0
.	.	y
@!MORONES		zzq
:	:	y
And	and	cc
right	right	rr_nn1_jj
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
than	than	ii22
Mexicans	mexican	nn2
.	.	y
I	i	ppis1
think	think	vv0
it	it	pph1
should	should	vm
be	be	vbi
.	.	y
O'REILLY	o'reilly	np1
:	:	y
No	no	uh
,	,	y
no	no	uh
,	,	y
no	no	uh
,	,	y
Mexicans	mexican	nn2
get	get	vv0
released	release	vvn
all	all	db
day	day	nnt1
long	long	rr
all	all	db_rr@
across	across	ii
the	the	at
border	border	nn1
.	.	y
@!MORONES		zzq
:	:	y
Back	back	nn1_rp
in	in	ii
Mexico	mexico	np1
.	.	y
O'REILLY	o'reilly	np1
:	:	y
.	.	y
because	because	cs
they	they	pphs2
do	do	vd0
n't	n't	xx
have	have	vhi
the	the	at
place	place	nn1
--		nn1
the	the	at
local	local	jj
authorities	authority	nn2
do	do	vd0
n't	n't	xx
have	have	vhi
a	a	at1
place	place	nn1
to	to	to
put	put	vvi
them	them	ppho2
.	.	y
@!MORONES		zzq
:	:	y
That	that	dd1
's	be	vbz
correct	correct	jj
.	.	y
O'REILLY	o'reilly	np1
:	:	y
All	all	rr21
right	right	rr22
,	,	y
punish	punish	vv0
businesses	business	nn2
who	who	pnqs
hire	hire	vv0
illegals	illegal	nn2
.	.	y
Are	be	vbr
you	you	ppy
for	for	if
?	?	y
@!MORONES		zzq
:	:	y
I	i	ppis1
think	think	vv0
that	that	cst
the	the	at
people	people	nn
that	that	cst
are	be	vbr
hiring	hire	vvg
,	,	y
the	the	at
people	people	nn
are	be	vbr
not	not	xx
immigration	immigration	nn1
agents	agent	nn2
,	,	y
however	however	rr
,	,	y
they	they	pphs2
-	-	-
you	you	ppy
know	know	vv0
,	,	y
they	they	pphs2
should	should	vm
be	be	vbi
,	,	y
you	you	ppy
know	know	vv0
,	,	y
checking	check	vvg
if	if	csw@_cs
the	the	at
person	person	nn1
's	be	vbz_vhz@
documented	document	vvn
or	or	cc
undocumented	undocumented	jj
by	by	ii
just	just	rr
asking	ask	vvg
them	them	ppho2
.	.	y
They	they	pphs2
're	be	vbr
not	not	xx
immigration	immigration	nn1
agents	agent	nn2
.	.	y
So	so	rr
they	they	pphs2
're	be	vbr
not	not	xx
going	go	vvg
to	to	ii_to
.	.	y
O'REILLY	o'reilly	np1
:	:	y
OK	ok	rr
,	,	y
so	so	cs@_rr
you	you	ppy
're	be	vbr
not	not	xx
for	for	if
that	that	dd1
.	.	y
You	you	ppy
do	do	vd0
n't	n't	xx
want	want	vvi
to	to	to
punish	punish	vvi
businesses	business	nn2
that	that	cst_dd1
hire	hire	vv0_nn1
illegals	illegal	nn2
,	,	y
OK.	ok	rr
@!MORONES		zzq
:	:	y
Right	right	rr_nn1_jj
.	.	y
O'REILLY	o'reilly	np1
:	:	y
Register	register	vv0_nn1
--		nn1_jj
60	60	mc
days	day	nnt2
to	to	to
register	register	vvi
as	as	ii
a	a	at1
foreign	foreign	jj
resident	resident	nn1
.	.	y
Are	be	vbr
you	you	ppy
for	for	if
the	the	at
registration	registration	nn1
?	?	y
@!MORONES		zzq
:	:	y
It	it	nn1@
dependents	dependent	nn2
on	on	ii
what	what	ddq
the	the	at
consequences	consequence	nn2
will	will	vm
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
the	the	at
path	path	nn1
leads	lead	vvz
to	to	ii
legalization	legalization	nn1
,	,	y
then	then	rt
I	i	ppis1
'm	be	vbm
for	for	if_cs%
it	it	pph1
.	.	y
O'REILLY	o'reilly	np1
:	:	y
Well	well	rr
,	,	y
just	just	rr
no	no	at
guarantee	guarantee	nn1
of	of	io
legalization	legalization	nn1
.	.	y
No	no	at_uh
guarantee	guarantee	nn1_vv0
.	.	y
@!MORONES		zzq
:	:	y
Criminals	criminal	nn2
,	,	y
you	you	ppy
want	want	vv0
them	them	ppho2
in	in	ii
jail	jail	nn1
.	.	y
If	if	cs
they	they	pphs2
're	be	vbr
real	real	jj
criminals	criminal	nn2
,	,	y
they	they	pphs2
should	should	vm
be	be	vbi
in	in	ii
jail	jail	nn1
.	.	y
O'REILLY	o'reilly	np1
:	:	y
No	no	uh
.	.	y
They	they	pphs2
've	have	vh0
got	get	vvn
to	to	to
learn	learn	vvi
how	how	rrq
to	to	to
speak	speak	vvi
English	english	nn1_jj
.	.	y
They	they	pphs2
got	get	vvd
to	to	to
do	do	vdi
a	a	at1
whole	whole	jj
bunch	bunch	nn1
of	of	io
other	other	jj
things	thing	nn2
.	.	y
There	there	ex
's	be	vbz
no	no	at
guarantee	guarantee	nn1
.	.	y
Are	be	vbr
you	you	ppy
for	for	if
.	.	y
@!MORONES		zzq
:	:	y
They	they	pphs2
're	be	vbr
already	already	rr
doing	do	vdg
that	that	dd1
,	,	y
yes	yes	uh
.	.	y
O'REILLY	o'reilly	np1
:	:	y
Are	be	vbr
you	you	ppy
for	for	if
registering	register	vvg
,	,	y
no	no	uh
or	or	cc
yes	yes	uh
?	?	y
@!MORONES		zzq
:	:	y
For	for	if
registering	register	vvg
people	people	nn
.	.	y
O'REILLY	o'reilly	np1
:	:	y
Right	right	rr_nn1_jj
.	.	y
@!MORONES		zzq
:	:	y
.	.	y
as	as	cs31
far	far	cs32
as	as	cs33
what	what	ddq
?	?	y
O'REILLY	o'reilly	np1
:	:	y
They	they	pphs2
're	be	vbr
here	here	rl
illegally	illegally	rr
now	now	rt
,	,	y
I	i	ppis1
want	want	vv0
them	them	ppho2
to	to	to
register	register	vvi
.	.	y
Do	do	vd0
you	you	ppy
want	want	vvi
them	them	ppho2
to	to	to
or	or	cc
no	no	uh
?	?	y
@!MORONES		zzq
:	:	y
Yes	yes	uh
.	.	y
No	no	uh
,	,	y
not	not	xx
the	the	at
way	way	nn1
that	that	cst
it	it	pph1
's	be	vbz
being	be	vbg
done	do	vdn
right	right	rr
now	now	rt
.	.	y
O'REILLY	o'reilly	np1
:	:	y
OK.	ok	rr
@!MORONES		zzq
:	:	y
I	i	ppis1
thought	think	vvd
.	.	y
O'REILLY	o'reilly	np1
:	:	y
$3,000	$3,000	nnu
fine	fine	jj
for	for	if
illegals	illegal	nn2
who	who	pnqs
want	want	vv0
valid	valid	jj
working	working	jj@_vvg
papers	paper	nn2
.	.	y
Are	be	vbr
you	you	ppy
for	for	if
that	that	dd1
?	?	y
@!MORONES		zzq
:	:	y
I	i	ppis1
think	think	vv0
that	that	cst
a	a	at1
$3,000	$3,000	nnu
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
the	the	at
right	right	nn1_jj
...	...	...
O'REILLY	o'reilly	np1
:	:	y
All	all	rr21
right	right	rr22
,	,	y
so	so	cs@_rr
it	it	pph1
's	be	vbz
all	all	db
you	you	ppy
have	have	vh0
to	to	to
guarantee	guarantee	vvi
me	me	ppio1
legalization	legalization	nn1
before	before	ii_cs
any	any	dd
of	of	io
the	the	at
things	thing	nn2
come	come	vv0_vvn@
into	into	ii
play	play	nn1
for	for	if
you	you	ppy
?	?	y
You	you	ppy
have	have	vh0
to	to	to
guarantee	guarantee	vvi
it	it	pph1
?	?	y
@!MORONES		zzq
:	:	y
It	it	pph1
's	be	vbz
-	-	-
yes	yes	uh
,	,	y
I	i	ppis1
think	think	vv0
it	it	pph1
's	be	vhz
got	get	vvn
to	to	to
be	be	vbi
a	a	at1
pathway	pathway	nn1
to	to	ii
legalization	legalization	nn1
.	.	y
Yes	yes	uh
.	.	y
O'REILLY	o'reilly	np1
:	:	y
A	a	zz1_at1@
guaranteed	guaranteed	jj
pathway	pathway	nn1
,	,	y
a	a	at1
guarantee	guarantee	nn1
?	?	y
@!MORONES		zzq
:	:	y
It	it	pph1
can	can	vm
not	not	xx
be	be	vbi
guaranteed	guarantee	vvn
,	,	y
because	because	cs
the	the	at
person	person	nn1
might	might	vm
be	be	vbi
a	a	at1
criminal	criminal	nn1_jj
.	.	y
If	if	cs
he	he	pphs1
's	be	vbz
a	a	at1
criminal	criminal	jj_nn1
or	or	cc
she	she	pphs1
's	be	vbz
a	a	at1
criminal	criminal	nn1_jj
,	,	y
they	they	pphs2
should	should	vm
be	be	vbi
in	in	ii
jail	jail	nn1
.	.	y
O'REILLY	o'reilly	np1
:	:	y
All	all	rr21
right	right	rr22
,	,	y
so	so	cs@_rr
you	you	ppy
should	should	vm
be	be	vbi
.	.	y
@!MORONES		zzq
:	:	y
And	and	cc
the	the	at
overwhelming	overwhelming	jj
majority	majority	nn1
of	of	io
these	these	dd2
people	people	nn
are	be	vbr
not	not	xx
criminals	criminal	nn2
.	.	y
O'REILLY	o'reilly	np1
:	:	y
They	they	pphs2
get	get	vv0
in	in	ii_rp@
line	line	nn1
and	and	cc
they	they	pphs2
go	go	vv0
through	through	ii_rp@
the	the	at
process	process	nn1
.	.	y
Guest	guest	nn1
worker	worker	nn1
program	program	nn1
,	,	y
I	i	ppis1
'm	be	vbm
sure	sure	jj
you	you	ppy
favor	favor	vv0
a	a	at1
guest	guest	nn1
worker	worker	nn1
program	program	nn1
.	.	y
@!MORONES		zzq
:	:	y
Not	not	xx
the	the	at
way	way	nn1
that	that	cst
President	president	nnb
Bush	bush	np1
has	have	vhz
laid	lay	vvn
it	it	pph1
out	out	rp
.	.	y
That	that	dd1
's	be	vbz
--		zz
we	we	ppis2
call	call	vv0
that	that	cst
a	a	at1
rented	rented	jj@
slave	slave	nn1
program	program	nn1
.	.	y
You	you	ppy
ca	can	vm
n't	n't	xx
have	have	vhi
somebody	somebody	pn1
for	for	if
three	three	mc
or	or	cc
six	six	mc
years	year	nnt2
and	and	cc
them	them	ppho2
tell	tell	vv0
them	them	ppho2
to	to	to
go	go	vvi
back	back	rp
after	after	cs
they	they	pphs2
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
the	the	at
values	value	nn2
of	of	io
this	this	dd1
....	....	...
O'REILLY	o'reilly	np1
:	:	y
OK	ok	rr
,	,	y
so	so	cs@_rr
everybody	everybody	pn1
that	that	cst_dd1
is	be	vbz
allowed	allow	vvn
in	in	ii
here	here	rl
becomes	become	vvz
a	a	at1
citizen	citizen	nn1
if	if	cs
they	they	pphs2
're	be	vbr
honest	honest	jj
?	?	y
@!MORONES		zzq
:	:	y
They	they	pphs2
should	should	vm
have	have	vhi
a	a	at1
pathway	pathway	nn1
to	to	ii
citizenship	citizenship	nn1
.	.	y
O'REILLY	o'reilly	np1
:	:	y
OK	ok	rr
,	,	y
every	every	at1
single	single	jj
person	person	nn1
who	who	pnqs
comes	come	vvz
in	in	ii
the	the	at
United	united	np1
States	state	np1
on	on	ii
a	a	at1
temporary	temporary	jj
work	work	nn1
permit	permit	nn1
should	should	vm
have	have	vhi
citizenship	citizenship	nn1
offered	offer	vvn_vvd
to	to	ii
them	them	ppho2
,	,	y
if	if	cs
they	they	pphs2
're	be	vbr
honest	honest	jj
?	?	y
@!MORONES		zzq
:	:	y
If	if	cs
--		zz
they	they	pphs2
should	should	vm
have	have	vhi
it	it	pph1
offered	offer	vvn
.	.	y
And	and	cc
the	the	at
thing	thing	nn1
is	be	vbz
that	that	cst
we	we	ppis2
need	need	vv0
the	the	at
workers	worker	nn2
here	here	rl
.	.	y
So	so	rr
once	once	cs@_rr
there	there	ex
's	be	vbz
no	no	at
jobs	job	nn2
,	,	y
then	then	rt
we	we	ppis2
look	look	vv0
at	at	ii
different	different	jj
numbers	number	nn2
.	.	y
But	but	ccb
right	right	rr
now	now	rt
,	,	y
we	we	ppis2
need	need	vv0
the	the	at
workers	worker	nn2
.	.	y
O'REILLY	o'reilly	np1
:	:	y
OK.	ok	rr
@!MORONES		zzq
:	:	y
.	.	y
in	in	ii_rp@
the	the	at
United	united	np1
States	state	np1
.	.	y
So	so	rr
I	i	ppis1
think	think	vv0
it	it	pph1
's	be	vbz
very	very	rg
important	important	jj
that	that	cst
we	we	ppis2
do	do	vd0
offer	offer	vvi
them	them	ppho2
a	a	at1
pathway	pathway	nn1
to	to	ii
legalization	legalization	nn1
.	.	y
One	one	mc1
of	of	io
the	the	at
major	major	jj
reasons	reason	nn2
that	that	cst
we	we	ppis2
help	help	vv0
to	to	to
organize	organize	vvi
these	these	dd2
marches	march	nn2
on	on	ii
a	a	at1
national	national	jj
basis	basis	nn1
,	,	y
I	i	ppis1
went	go	vvd
to	to	ii
40	40	mc
different	different	jj
cities	city	nn2
.	.	y
We	we	ppis2
've	have	vh0
had	have	vhn
marches	march	nn2
all	all	rr
over	over	ii
the	the	at
country	country	nn1
.	.	y
O'REILLY	o'reilly	np1
:	:	y
I	i	ppis1
know	know	vv0
you	you	ppy
have	have	vh0
,	,	y
Enrique	enrique	np1
.	.	y
You	you	ppy
're	be	vbr
a	a	at1
great	great	jj
organizer	organizer	nn1
.	.	y
And	and	cc
I	i	ppis1
wish	wish	vv0
you	you	ppy
'd	have	vm
get	get	vvi
on	on	ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
this	this	dd1
in	in	ii
an	a	at1
orderly	orderly	jj_nn1@
,	,	y
fair	fair	jj
way	way	nn1
.	.	y
But	but	ccb
look	look	vv0_nn1
.	.	y
@!MORONES		zzq
:	:	y
I	i	ppis1
