##2000850		
OPPOSITE	opposite	jj_nn1@_rl@
consider	consider	vvi
more	more	rgr_dar
suitable	suitable	jj
for	for	if
sheep	sheep	nn
,	,	y
but	but	ccb
the	the	at
lad	lad	nn1
brought	bring	vvd_vvn
home	home	rl
the	the	at
mutton	mutton	nn1
.	.	y
The	the	at
late	late	jj
Bill	bill	np1_nn1
Morden	morden	np1
,	,	y
who	who	pnqs
hunted	hunt	vvd
sheep	sheep	nn
extensively	extensively	rr
in	in	ii
North	north	nd1
America	america	np1
and	and	cc
then	then	rt
the	the	at
Ovis	ovis	np1_nn1@
poli	pol	nn2
in	in	ii
Asia	asia	np1
,	,	y
used	use	vvd_vvn
a	a	at1
.30/06	.30/06	mf
.	.	y
The	the	at
Roosevelt	roosevelt	np1
brothers	brother	nn2
carried	carry	vvd_vvn
.375	.375	mc
Magnums	magnum	nn2
on	on	ii
their	their	appge
trip	trip	nn1
to	to	ii
Central	central	jj
Asia	asia	np1
back	back	nn1_rp
in	in	ii
the	the	at
1920s	1920s	mc2
.	.	y
The	the	at
famous	famous	jj
Charles	charles	np1
Sheldon	sheldon	np1
,	,	y
the	the	at
first	first	md
man	man	nn1
ever	ever	rr
to	to	to
collect	collect	vvi
all	all	db
varieties	variety	nn2
of	of	io
North	north	np1
American	american	jj
sheep	sheep	nn
,	,	y
used	use	vvd_vvn
a	a	at1
6.5mm	6.5mm	nnu
Mannlicher-Schoenauer	mannlicher-schoenauer	np1
with	with	iw
a	a	at1
160grain	160grain	fo
bullet	bullet	nn1
at	at	ii
about	about	rg
2,200	2,200	mc
fps	fps	nnu
.	.	y
Prince	prince	nnb
Abdorreza	abdorreza	np1
Pahlavi	pahlavi	np1
,	,	y
brother	brother	nn1
of	of	io
the	the	at
Shah	shah	nn1@_np1
of	of	io
Iran	iran	np1
,	,	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
,	,	y
authority	authority	nn1
on	on	ii
desert	desert	nn1
sheep	sheep	nn
and	and	cc
one	one	mc1
of	of	io
the	the	at
hunters	hunter	nn2
who	who	pnqs
has	have	vhz
taken	take	vvn
all	all	db
varieties	variety	nn2
of	of	io
North	north	np1
American	american	jj
rams	ram	nn2
,	,	y
has	have	vhz
used	use	vvn
a	a	at1
.257	.257	mc
and	and	cc
a	a	at1
7x64	7x64	fo
.	.	y
Herb	herb	nn1
Klein	klein	np1_nn1@
and	and	cc
Elgin	elgin	np1
Gates	gates	np1
,	,	y
who	who	pnqs
have	have	vh0
not	not	xx
only	only	rr
taken	take	vvn
all	all	db
varieties	variety	nn2
of	of	io
North	north	np1
American	american	jj
sheep	sheep	nn
but	but	ccb
who	who	pnqs
have	have	vh0
also	also	rr
shot	shoot	vvn
the	the	at
Barbary	barbary	jj_nn1
sheep	sheep	nn
of	of	io
Africa	africa	np1
,	,	y
Ovis	ovis	np1
poli	pol	nn2
and	and	cc
other	other	jj
Asiatic	asiatic	jj
sheep	sheep	nn
,	,	y
both	both	db2_rr
use	use	vv0
.300	.300	mc
Weatherby	weatherby	np1_nn1
Magnums	magnums	np1_nn2
.	.	y
Filipe	filipe	vv0_np1@
Wells	well	np1
,	,	y
a	a	at1
crack	crack	nn1_jj@
desert	desert	nn1_vv0
sheep	sheep	nn
hunter	hunter	nn1
and	and	cc
old	old	jj
amigo	amigo	fw
of	of	io
mine	mine	ppge
,	,	y
has	have	vhz
used	use	vvn
a	a	at1
.25/35	.25/35	mf
and	and	cc
a	a	at1
.30/06	.30/06	mf
.	.	y
For	for	if
my	my	appge
money	money	nn1
the	the	at
two	two	mc
standouts	standout	nn2_vvz
in	in	ii
the	the	at
field	field	nn1
are	be	vbr
the	the	at
.280	.280	mc
Remington	remington	np1
and	and	cc
the	the	at
.270	.270	mc
Winchester	winchester	np1
.	.	y
With	with	iw
their	their	appge
125-	125-	nn1_jj
and	and	cc
130-grain	130-grain	jj_nn1
bullets	bullet	nn2
,	,	y
they	they	pphs2
are	be	vbr
flat-shooting	flat-shooting	jj
,	,	y
deadly	deadly	jj
and	and	cc
generally	generally	rr
very	very	rg
accurate	accurate	jj
in	in	ii
a	a	at1
tuned-up	tuned-up	jj
rifle	rifle	nn1
of	of	io
light	light	jj_nn1
weight	weight	nn1
.	.	y
Recoil	recoil	nn1_vv0
is	be	vbz
light	light	jj_nn1
,	,	y
even	even	rr
in	in	ii
well-stocked	well-stocked	jj
71/2-	71/2-	fu
and	and	cc
8-pound	8-pound	jj_nn1
rifles	rifle	nn2
,	,	y
and	and	cc
yet	yet	rr
they	they	pphs2
are	be	vbr
powerful	powerful	jj
enough	enough	rr
for	for	if
the	the	at
moose	moose	nn
and	and	cc
grizzlies	grizzly	nn2
one	one	pn1_mc1
is	be	vbz
apt	apt	jj
to	to	to
run	run	vvi
into	into	ii
in	in	ii
sheep	sheep	nn
country	country	nn1
.	.	y
How	how	rgq@
much	much	da1
sheep	sheep	nn
hunting	hunting	nn1_vvg@
I	i	ppis1
'll	will	vm
do	do	vdi
in	in	ii
the	the	at
future	future	nn1_jj
I	i	ppis1
do	do	vd0
not	not	xx
know	know	vvi
,	,	y
but	but	ccb
whenever	whenever	rrqv
I	i	ppis1
go	go	vv0
out	out	rp
for	for	if
the	the	at
noble	noble	jj
rams	ram	nn2
I	i	ppis1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
Winchester	winchester	np1
Featherweights	featherweights	np1_nn2
in	in	ii
.270	.270	mc
caliber	caliber	nn1
.	.	y
One	one	mc1
has	have	vhz
a	a	at1
Redfield	redfield	nn1@_np1
Bear	bear	nn1
Cub	cub	nn1
4X	4x	fo
scope	scope	nn1
,	,	y
the	the	at
other	other	jj_nn1@
a	a	at1
Leupold	leupold	nn1
4X	4x	fo
,	,	y
but	but	ccb
otherwise	otherwise	rr
they	they	pphs2
are	be	vbr
identical	identical	jj
.	.	y
Each	each	dd1
has	have	vhz
a	a	at1
Tilden	tilden	nn1
mount	mount	nn1
and	and	cc
each	each	dd1
is	be	vbz
stocked	stock	vvn
in	in	ii
French	french	jj_nn1
walnut	walnut	nn1
.	.	y
I	i	ppis1
sight	sight	vv0@
them	them	ppho2
in	in	rp@
to	to	to
hit	hit	vvi
on	on	ii
the	the	at
nose	nose	nn1
at	at	ii
275	275	mc
yards	yard	nn2
with	with	iw
the	the	at
130-grain	130-grain	jj_nn1
bullet	bullet	nn1
at	at	ii
3,140	3,140	mc
,	,	y
and	and	cc
,	,	y
if	if	cs
a	a	at1
long	long	jj
shot	shot	nn1
is	be	vbz
necessary	necessary	jj
,	,	y
a	a	at1
hold	hold	nn1
on	on	ii
the	the	at
backbone	backbone	nn1
is	be	vbz
good	good	jj
for	for	if
a	a	at1
solid	solid	jj_nn1@
hit	hit	nn1@_vvn_vvd
to	to	ii
about	about	rg
400	400	mc
yards	yard	nn2
.	.	y
There	there	ex
are	be	vbr
other	other	jj
combinations	combination	nn2
just	just	rr
as	as	rg
good	good	jj
for	for	if
sheep	sheep	nn
,	,	y
no	no	rr21
doubt	doubt	rr22
,	,	y
but	but	ccb
I	i	ppis1
ca	can	vm
n't	n't	xx
think	think	vvi
of	of	io
a	a	at1
better	better	jjr
one	one	pn1
.	.	y
Photograph	photograph	nn1_vv0@
For	for	if
Jack	jack	np1
O'Connor	o'connor	np1
,	,	y
the	the	at
two	two	mc
standout	standout	nn1_vv0
cartridges	cartridge	nn2
for	for	if
sheep	sheep	nn
were	be	vbdr
the	the	at
.280	.280	mc
Rem	rem	nn1
.	.	y
and	and	cc
the	the	at
.270	.270	mc
Win	win	vv0_nn1@
.	.	y
//	//	x
<p>	<p>	y
##2000854		
Kong	kong	np1
Lu	lu	np1
//	//	x
Not	not	xx
a	a	at1
great	great	jj
deal	deal	nn1
of	of	io
attention	attention	nn1
was	be	vbdz
paid	pay	vvn
when	when	cs_rrq
the	the	at
Edwards	edwards	np1
Dam	dam	nn1
was	be	vbdz
built	build	vvn
on	on	ii
Maine	maine	np1
's	's	ge
Kennebec	kennebec	np1
River	river	nnl1
.	.	y
Then	then	rt
again	again	rt
,	,	y
that	that	dd1_cst
was	be	vbdz
61	61	mc
years	year	nnt2
before	before	cs_ii
this	this	dd1
magazine	magazine	nn1
was	be	vbdz
born	born	vvn
.	.	y
Dams	dam	nn2
were	be	vbdr
thrown	throw	vvn
up	up	rp
across	across	ii
scores	score	nn2
of	of	io
New	new	np1
England	england	np1
rivers	river	nn2
in	in	ii
the	the	at
early	early	jj
19th	19th	md
century	century	nnt1
,	,	y
dams	dam	nn2
that	that	cst
converted	convert	vvd_jj@
water	water	nn1
and	and	cc
gravity	gravity	nn1
to	to	ii
hydroenergy	hydroenergy	nn1
that	that	cst
turned	turn	vvd
the	the	at
huge	huge	jj
flywheels	flywheel	nn2
of	of	io
saw	saw	nn1@
mills	mill	nn2
,	,	y
textile	textile	nn1
mills	mill	nn2
and	and	cc
great	great	jj
granite	granite	nn1
discs	disc	nn2
that	that	cst_dd1
ground	ground	nn1_jj@
flour	flour	nn1
from	from	ii
wheat	wheat	nn1
and	and	cc
meal	meal	nn1
from	from	ii
corn	corn	nn1
.	.	y
For	for	if_cs%
in	in	ii
those	those	dd2
heady	heady	jj
times	time	nnt2
,	,	y
it	it	pph1
was	be	vbdz
Man	man	nn1
's	's	ge
Manifest	manifest	jj
Destiny	destiny	nn1
to	to	to
conquer	conquer	vvi
Nature	nature	nn1
,	,	y
to	to	to
tame	tame	vvi
the	the	at
untamed	untamed	jj
wilds	wild	nn2
,	,	y
fell	fall	vvd
the	the	at
forests	forest	nn2
,	,	y
harvest	harvest	vv0
the	the	at
bountiful	bountiful	jj
herds	herd	nn2
,	,	y
the	the	at
raucous	raucous	jj
flocks	flock	nn2
and	and	cc
the	the	at
vast	vast	jj
schools	school	nn2
of	of	io
fish	fish	nn
churning	churn	vvg_jj@
silver	silver	nn1
in	in	ii
the	the	at
shallows	shallow	nn2
.	.	y
Dams	dam	nn2
were	be	vbdr
a	a	at1
part	part	nn1
of	of	io
it	it	pph1
all	all	db_rr@
,	,	y
nothing	nothing	pn1
more	more	dar_rrr
.	.	y
If	if	cs
a	a	at1
river	river	nn1
ran	run	vvd
swift	swift	jj
and	and	cc
fell	fall	vvd
far	far	rr_jj
,	,	y
dams	dam	nn2
marched	march	vvd_vvn
,	,	y
one	one	pn1_mc1
after	after	ii_cs
the	the	at
other	other	jj_nn1@
,	,	y
arresting	arrest	vvg
waters	water	nn2_vvz
that	that	cst
tumbled	tumble	vvd
free	free	jj
,	,	y
putting	put	vvg
that	that	dd1
fierce	fierce	jj
energy	energy	nn1
to	to	to@_ii
work	work	vvi_nn1
on	on	ii31
behalf	behalf	ii32
of	of	ii33
the	the	at
fastest-growing	fastest-growing	jjt
nation	nation	nn1
in	in	ii
history	history	nn1
.	.	y
And	and	cc
by	by	ii
the	the	at
turn	turn	nn1
of	of	io
the	the	at
century	century	nnt1
,	,	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
those	those	dd2
marvels	marvel	nn2
of	of	io
Man	man	nn1
's	's	ge
Dominion	dominion	nn1
over	over	ii
Nature	nature	nn1
,	,	y
began	begin	vvd
creating	create	vvg
a	a	at1
kind	kind	nn1
of	of	io
Industrial	industrial	jj
Age	age	nn1
magic	magic	nn1
:	:	y
electricity	electricity	nn1
.	.	y
What	what	ddq
had	have	vhd
been	be	vbn
utilitarian	utilitarian	jj
became	become	vvd
sacrosanct	sacrosanct	jj
,	,	y
a	a	at1
force	force	nn1
that	that	cst_dd1
could	could	vm
light	light	vvi
cities	city	nn2
and	and	cc
keep	keep	vvi
factories	factory	nn2
humming	hum	vvg
.	.	y
Who	who	pnqs_np1%
in	in	ii
his	his	appge
right	right	jj_nn1
mind	mind	nn1
could	could	vm
question	question	vvi
the	the	at
Goodness	goodness	nn1
of	of	io
such	such	da
a	a	at1
miracle	miracle	nn1
?	?	y
Who	who	pnqs
indeed	indeed	rr
.	.	y
Which	which	ddq
is	be	vbz
why	why	rrq
the	the	at
fundamental	fundamental	jj
relationships	relationship	nn2
of	of	io
Man	man	nn1
and	and	cc
Nature	nature	nn1
were	be	vbdr
realigned	realign	vvn@
yet	yet	rr
again	again	rt
,	,	y
when	when	rrq_cs
,	,	y
on	on	ii
a	a	at1
November	november	npm1
day	day	nnt1
in	in	ii
1997	1997	mc
,	,	y
this	this	dd1
nation	nation	nn1
's	's	ge
government	government	nn1
ordered	order	vvd_vvn
the	the	at
Edwards	edwards	np1
Dam	dam	vv0
removed-the	removed	at
first	first	md
such	such	da
order	order	nn1
in	in	ii
United	united	np1
States	state	np1
history	history	nn1
.	.	y
We	we	ppis2
are	be	vbr
,	,	y
all	all	db
of	of	io
us	us	ppio2
,	,	y
headed	head	vvn_vvd@
now	now	rt
,	,	y
a	a	at1
degree	degree	nn1
or	or	cc
two	two	mc
more	more	dar
than	than	csn
before	before	cs_rt@
,	,	y
in	in	ii
new	new	jj
directions	direction	nn2
toward	toward	ii
goals	goal	nn2
still	still	rr
taking	take	vvg
shape	shape	nn1
.	.	y
We	we	ppis2
have	have	vh0
been	be	vbn
revising	revise	vvg
values	value	nn2
,	,	y
bit	bite	vvn
by	by	ii
bit	bit	nn1
,	,	y
throughout	throughout	ii
this	this	dd1
century	century	nnt1
.	.	y
It	it	pph1
has	have	vhz
been	be	vbn
a	a	at1
long	long	jj_rr
,	,	y
slow	slow	jj_rr@_vv0@
,	,	y
sometimes	sometimes	rt
uncertain	uncertain	jj
journey	journey	nn1
,	,	y
but	but	ccb
its	its	z'
starting	starting	nn1
point	point	nn1
has	have	vhz
always	always	rr
been	be	vbn
the	the	at
outdoors	outdoors	nn1
and	and	cc
the	the	at
men	man	nn2
and	and	cc
women	woman	nn2
who	who	pnqs
love	love	vv0
it	it	pph1
.	.	y
The	the	at
sportsmen	sportsman	nn2
.	.	y
For	for	if_cs%
it	it	pph1
was	be	vbdz
Kennebec	kennebec	np1
's	's	ge
anglers	angler	nn2
who	who	pnqs
began	begin	vvd
marshaling	marshal	vvg
the	the	at
forces	force	nn2
that	that	cst
took	take	vvd
more	more	dar
than	than	csn
20	20	mc
years	year	nnt2
to	to	to
wrest	wrest	vvi
the	the	at
Edwards	edwards	np1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
Valley	valley	nn1_np1@
Chapter	chapter	nn1
of	of	io
Trout	trout	nn
Unlimited	unlimited	jj
,	,	y
the	the	at
Atlantic	atlantic	np1
Salmon	salmon	np1@_nn
Federation	federation	nn1
,	,	y
the	the	at
Natural	natural	jj
Resources	resource	nn2
Council	council	nn1
of	of	io
Maine	maine	np1
and	and	cc
American	american	jj
Rivers	river	nnl2
became	become	vvd
the	the	at
Kennebec	kennebec	np1_nn1@
Coalition	coalition	nn1
a	a	at1
decade	decade	nnt1
ago	ago	ra
,	,	y
and	and	cc
it	it	pph1
was	be	vbdz
their	their	appge
united	united	jj
,	,	y
Herculean	herculean	jj_np1_nn1
efforts	effort	nn2
that	that	cst
recalibrated	recalibrate	vvd
the	the	at
future	future	nn1
of	of	io
conservation	conservation	nn1_jj
.	.	y
All	all	db
this	this	dd1
for	for	if
18	18	mc
miles	mile	nnu2
of	of	io
river	river	nn1
.	.	y
Just	just	rr
18	18	mc
miles	mile	nnu2
,	,	y
an	a	at1
insignificant	insignificant	jj
fraction	fraction	nn1
of	of	io
Maine's-just	maine's-just	jj
that	that	cst
one	one	mc1
state's-thousands	state's-thousands	nno2
of	of	io
miles	mile	nnu2
of	of	io
rivers	river	nn2
and	and	cc
streams	stream	nn2
.	.	y
But	but	ccb
it	it	pph1
is	be	vbz
18	18	mc
miles	mile	nnu2
of	of	io
water	water	nn1
once	once	rr
used	use	vvn_vvd_jj
as	as	csa_ii@
spawning	spawn	vvg_nn1
grounds	ground	nn2
by	by	ii
striped	striped	jj
bass	bass	nn1_jj
,	,	y
Atlantic	atlantic	np1
salmon	salmon	nn
,	,	y
sturgeon	sturgeon	nn1
,	,	y
sea-run	sea-run	vv0_jj
brown	brown	jj
trout	trout	nn
,	,	y
smelt	smelt	vvn_vvd
and	and	cc
river	river	nn1
herring	herring	nn
.	.	y
It	it	pph1
is	be	vbz
18	18	mc
miles	mile	nnu2
once	once	rr_cs@
barren	barren	jj
...	...	...
about	about	rpk
to	to	to
be	be	vbi
restored	restore	vvn
.	.	y
It	it	pph1
is	be	vbz
18	18	mc
miles	mile	nnu2
of	of	io
river	river	nn1
that	that	cst
have	have	vh0
become	become	vvn@
a	a	at1
metaphor	metaphor	nn1
for	for	if
nothing	nothing	pn1
less	less	dar
than	than	csn
the	the	at
fundamental	fundamental	jj
reordering	reordering	nn1@
of	of	io
national	national	jj
values	value	nn2
.	.	y
And	and	cc
much	much	da1
of	of	io
its	its	z'
significance	significance	nn1
is	be	vbz
made	make	vvn
possible	possible	jj
because	because	cs
this	this	dd1
recalibration	recalibration	nn1
has	have	vhz
been	be	vbn
underway	underway	rr
for	for	if
more	more	dar
than	than	csn
100	100	mc
years	year	nnt2
.	.	y
It	it	pph1
was	be	vbdz
the	the	at
nation	nation	nn1
's	's	ge
revulsion	revulsion	nn1
at	at	ii
the	the	at
corruption	corruption	nn1
of	of	io
its	its	z'
rivers	river	nn2
that	that	cst
compelled	compel	vvd
Congress	congress	nn1
to	to	to
enact	enact	vvi
the	the	at
Clean	clean	jj
Water	water	nn1
laws	law	nn2
of	of	io
the	the	at
'	'	"@_ge
60s	60s	mc2
and	and	cc
'	'	"@_ge
70s	70s	mc2
.	.	y
Without	without	iw
those	those	dd2
federal	federal	jj
mandates	mandate	nn2
,	,	y
the	the	at
Kennebec	kennebec	np1_nn1@
could	could	vm
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
so	so	rr_rg
polluted	pollute	vvn_jj_vvd
not	not	xx
even	even	rr
primitive	primitive	jj
fish	fish	nn
could	could	vm
find	find	vvi
oxygen	oxygen	nn1
enough	enough	rr
.	.	y
Until	until	cs
the	the	at
'	'	ge
7	7	mc
Os	os	np2
,	,	y
that	that	cst_dd1_rg%
18	18	mc
miles	mile	nnu2
of	of	io
water	water	nn1
was	be	vbdz
dead	dead	jj
,	,	y
and	and	cc
it	it	pph1
stank	stink	vvd
of	of	io
death	death	nn1
.	.	y
It	it	pph1
was	be	vbdz
men	man	nn2
and	and	cc
women	woman	nn2
who	who	pnqs
loved	love	vvd
the	the	at
outdoors	outdoors	nn1
who	who	pnqs
rescued	rescue	vvd
the	the	at
nation	nation	nn1
's	's	ge
rivers	river	nn2
,	,	y
lakes	lake	nn2
and	and	cc
streams	stream	nn2
.	.	y
Yet	yet	rr
there	there	ex
is	be	vbz
a	a	at1
certain	certain	jj
irony	irony	nn1
here	here	rl
.	.	y
For	for	if_cs%
it	it	pph1
is	be	vbz
often	often	rr
these	these	dd2
same	same	da
fishermen	fisherman	nn2
,	,	y
hunters	hunter	nn2
and	and	cc
adventurers	adventurer	nn2
whose	whose	ddqge
own	own	da
excesses	excess	nn2
bring	bring	vv0
them	them	ppho2
to	to	ii
the	the	at
recognition	recognition	nn1
that	that	cst
no	no	at
natural	natural	jj
resource	resource	nn1
is	be	vbz
limitless	limitless	jj
.	.	y
It	it	pph1
's	be	vbz
part	part	nn1
of	of	io
the	the	at
recalibration	recalibration	nn1
,	,	y
this	this	dd1
acknowledgment	acknowledgment	nn1
of	of	io
fallibility	fallibility	nn1
,	,	y
this	this	dd1
repudiation	repudiation	nn1
of	of	io
Manifest	manifest	jj
Destiny	destiny	nn1
.	.	y
And	and	cc
it	it	pph1
takes	take	vvz
a	a	at1
while	while	nnt1@
.	.	y
Sometimes	sometimes	rt
too	too	rg
long	long	rr_jj
,	,	y
as	as	csa_ii
the	the	at
extinct	extinct	jj
passenger	passenger	nn1
pigeon	pigeon	nn1
will	will	vm
forever	forever	rt
remind	remind	vvi
us	us	ppio2
.	.	y
Consider	consider	vv0
the	the	at
progression	progression	nn1
of	of	io
excess	excess	nn1_jj
which	which	ddq
finally	finally	rr
led	lead	vvn_vvd
to	to	ii
the	the	at
passage	passage	nn1
of	of	io
the	the	at
Federal	federal	jj
Migratory	migratory	jj
Bird	bird	nn1
Treaty	treaty	nn1
Act	act	nn1
of	of	io
1918	1918	mc
.	.	y
It	it	pph1
is	be	vbz
a	a	at1
bitter	bitter	jj
irony	irony	nn1
that	that	cst
John	john	np1
James	james	np1
Audubon	audubon	np1_nn1
is	be	vbz
the	the	at
author	author	nn1
of	of	io
one	one	mc1
of	of	io
the	the	at
more	more	rgr
poignant	poignant	jj
descriptions	description	nn2
of	of	io
the	the	at
wanton	wanton	jj
killing	killing	nn1
that	that	cst
led	lead	vvd
to	to	ii
federal	federal	jj
intervention	intervention	nn1
a	a	at1
century	century	nnt1
later	later	rrr
.	.	y
Writing	write	vvg_nn1
in	in	ii
New	new	np1
Orleans	orleans	np1
in	in	ii
1821	1821	mc
,	,	y
Audubon	audubon	np1
recalled	recall	vvd
a	a	at1
shoot	shoot	nn1@
along	along	ii
the	the	at
shore	shore	nn1
of	of	io
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
the	the	at
morning	morning	nnt1
....	....	...
Stationed	station	vvn
at	at	ii
equal	equal	jj
distances	distance	nn2
they	they	pphs2
sat	sit	vvd
on	on	ii
the	the	at
ground	ground	nn1
.	.	y
When	when	cs
a	a	at1
flock	flock	nn1
approached	approach	vvd_vvn
every	every	at1
individual	individual	nn1_jj
whistled	whistle	vvd_vvn@
in	in	ii
imitation	imitation	nn1
of	of	io
the	the	at
plover	plover	nn1
's	's	ge
call-note	call-note	nn1_jj
,	,	y
on	on	ii
which	which	ddq
the	the	at
birds	bird	nn2
descended	descend	vvd_vvn
....	....	...
Every	every	at1
gun	gun	nn1
went	go	vvd
off	off	ii_rp
f	f	zz1
in	in	ii
succession	succession	nn1
....	....	...
This	this	dd1
sport	sport	nn1
continued	continue	vvd_vvn
all	all	db
day	day	nnt1
and	and	cc
at	at	ii
sunset	sunset	nn1
I	i	ppis1
calculated	calculate	vvd
48,000	48,000	mc
plovers	plover	nn2
would	would	vm
have	have	vhi
fallen	fall	vvn
that	that	dd1
day	day	nnt1
.	.	y
It	it	pph1
may	may	vm
well	well	rr
be	be	vbi
that	that	cst
this	this	dd1
one	one	mc1
day	day	nnt1
of	of	io
annihilation	annihilation	nn1
permanently	permanently	rr
impaired	impair	vvd_vvn
the	the	at
species	species	nn
.	.	y
Contemporary	contemporary	jj
author	author	nn1
and	and	cc
naturalist	naturalist	nn1
Peter	peter	np1
Matthiessen	matthiessen	np1
,	,	y
in	in	ii
his	his	appge
essay	essay	nn1
that	that	cst_dd1
precedes	precede	vvz
the	the	at
color	color	nn1
plates	plate	nn2
in	in	ii
The	the	at
Shorebirds	shorebird	np2_nn2@
of	of	io
North	north	nd1
America	america	np1
,	,	y
tells	tell	vvz
his	his	appge
readers	reader	nn2
of	of	io
George	george	np1
H.	h	np1
Mackay	mackay	np1
,	,	y
a	a	at1
Boston	boston	np1
gentleman	gentleman	nn1
who	who	pnqs
spent	spend	vvd
many	many	da2
days	day	nnt2
hunting	hunting	nn1_vvg@
birds	bird	nn2
along	along	ii
the	the	at
New	new	np1
England	england	np1
and	and	cc
Long	long	jj
Island	island	nnl1
coasts	coast	nn2
.	.	y
Each	each	dd1
occasion	occasion	nn1
was	be	vbdz
recorded	record	vvn
in	in	ii
the	the	at
notes	note	nn2
of	of	io
Mackay	mackay	np1
's	's	ge
shooting	shooting	nn1_jj@
journal	journal	nn1
.	.	y
Finding	find	vvg_nn1_jj@
plover	plover	nn1_vv0
scarce	scarce	rr@_jj
the	the	at
year	year	nnt1
before	before	ii_cs
OUTDOOR	outdoor	jj
LIFE	life	nn1
was	be	vbdz
launched	launch	vvn
,	,	y
he	he	pphs1
asked	ask	vvd
the	the	at
plaintive	plaintive	jj
question	question	nn1
:	:	y
"	"	y
Are	be	vbr
we	we	ppis2
not	not	xx
approaching	approach	vvg
the	the	at
beginning	beginning	nn1
of	of	io
the	the	at
end	end	nn1
?	?	y
"	"	y
Photograph	photograph	vv0@_nn1
Authorized	authorized	jj
demolition	demolition	nn1
of	of	io
the	the	at
Edwards	edwards	np1
Dam	dam	nn1
signals	signal	vvz@_nn2
a	a	at1
changing	changing	jj
outlook	outlook	nn1
on	on	ii
conservation	conservation	nn1_jj
.	.	y
Photograph	photograph	vv0@_nn1
A	a	at1@_zz1
photo	photo	nn1
appearing	appear	vvg
in	in	ii
OL	ol	np1_nn1
in	in	ii
1905	1905	mc
showed	show	vvd
a	a	at1
clever	clever	jj
,	,	y
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
populations	population	nn2
in	in	ii
western	western	jj
waters	water	nn2
.	.	y
//	//	x
And	and	cc
yet	yet	rr
it	it	pph1
was	be	vbdz
the	the	at
same	same	da
George	george	np1
Mackay	mackay	np1
who	who	pnqs
,	,	y
over	over	ii
the	the	at
next	next	md
two	two	mc
decades	decade	nnt2
,	,	y
was	be	vbdz
one	one	mc1
of	of	io
the	the	at
leaders	leader	nn2
of	of	io
the	the	at
public	public	jj_nn1
