##4000077		
Research	research	nn1_vv0@
unyoked	unyoked	jj
.	.	y
Call	call	vv0
him	him	ppho1
naive	naive	jj
.	.	y
And	and	cc
call	call	vv0
his	his	ppge@_appge
occasionally	occasionally	rr
shaggy	shaggy	jj
companion	companion	nn1
Gilgamesh	gilgamesh	nn1_np1
,	,	y
who	who	pnqs
knows	know	vvz
both	both	rr
civilization	civilization	nn1
and	and	cc
the	the	at
charms	charm	nn2
of	of	io
wildness	wildness	nn1
,	,	y
sentimental	sentimental	jj
.	.	y
The	the	at
selections	selection	nn2
from	from	ii
Gilgamesh	gilgamesh	np1_nn1
included	include	vvd_vvn
in	in	ii
Ferry	ferry	nn1
's	be	vbz
Of	of	io
No	no	xx
Country	country	nn1
I	i	ppis1
Know	know	vv0
concern	concern	vv0@_nn1
the	the	at
death	death	nn1
of	of	io
Enkidu	enkidu	np1_nn1
,	,	y
and	and	cc
Gilgamesh	gilgamesh	np1_nn1
's	's	ge
lamentations	lamentation	nn2
for	for	if
his	his	appge
partner	partner	nn1
.	.	y
Here	here	rl
we	we	ppis2
can	can	vm
see	see	vvi
how	how	rrq
,	,	y
for	for	if
Ferry	ferry	nn1
as	as	ii21
for	for	ii22
Schiller	schiller	np1
,	,	y
elegy	elegy	nn1
emerges	emerge	vvz
from	from	ii
this	this	dd1
conflict	conflict	nn1
of	of	io
wild	wild	jj
and	and	cc
tame	tame	jj_vv0@
:	:	y
PREFORMATTED	preformatted	zz
TABLE	table	nn1
<p>	<p>	y
Am	be	vb0
I	i	ppis1
the	the	at
only	only	jj
reader	reader	nn1
who	who	pnqs
hears	hear	vvz
in	in	ii
those	those	dd2
dosing	dose	vvg@_nn1
lines	line	nn2_vvz%
an	a	at1
echo	echo	nn1
of	of	io
another	another	dd1
famous	famous	jj
elegy	elegy	nn1
,	,	y
Rilke	rilke	np1
's	's	ge_vbz
familiar	familiar	jj
"	"	y
Herbsttag	herbsttag	nn1_np1
,	,	y
"	"	y
translated	translate	vvn
by	by	ii
Ferry	ferry	nn1
and	and	cc
included	include	vvd_vvn
in	in	rp@
Of	of	io
No	no	xx
Country	country	nn1
I	i	ppis1
Know	know	vv0
:	:	y
"	"	y
Will	will	vm
write	write	vvi
long	long	jj
letters	letter	nn2
;	;	y
wander	wander	vv0
unpeacefully	unpeacefully	rr
,	,	y
/In	/in	fu
the	the	at
late	late	jj
streets	street	nn2
,	,	y
while	while	cs
the	the	at
leaves	leaf	nn2
stray	stray	vv0
down	down	rp
"	"	y
?	?	y
<p>	<p>	y
The	the	at
figure	figure	nn1
of	of	io
the	the	at
"	"	y
wild	wild	jj
man	man	nn1
"	"	y
is	be	vbz
everywhere	everywhere	rl
in	in	ii
Ferry	ferry	nn1
's	's	ge
recent	recent	jj
work	work	nn1
,	,	y
though	though	rr@_cs
whether	whether	csw
the	the	at
wild	wild	jj
man	man	nn1
in	in	ii
his	his	appge
various	various	jj
European	european	nn1_jj
and	and	cc
American	american	jj
guises	guise	nn2
led	lead	vvd_vvn
Ferry	ferry	nn1_vv0
to	to	ii
Enkidu	enkidu	np1_nn1
or	or	cc
whether	whether	csw
Enkidu	enkidu	np1
led	lead	vvd
him	him	ppho1
to	to	ii
his	his	appge
feral	feral	jj_nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
opening	opening	jj@_nn1
epigram	epigram	nnu1
,	,	y
"	"	y
Strabo	strabo	np1
Reading	reading	np1
Megasthenes	megasthenes	np2
,	,	y
"	"	y
to	to	ii
Dwelling	dwelling	nn1_vvg@
Places	place	nn2_vvz@
:	:	y
PREFORMATTED	preformatted	zz
TABLE	table	nn1
<p>	<p>	y
I	i	ppis1
love	love	vv0
this	this	dd1
epigram	epigram	nnu1
but	but	ccb
ca	can	vm
n't	n't	xx
quite	quite	rr@
say	say	vvi
why	why	rrq
.	.	y
I	i	ppis1
'm	be	vbm
drawn	draw	vvn
to	to	ii
the	the	at
arresting	arresting	jj@
clash	clash	nn1
of	of	io
"	"	y
flowers	flower	nn2
blooming	bloom	vvg_jj
"	"	y
and	and	cc
"	"	y
faraway	faraway	nn1
roasting	roasting	jj_vvg
meat	meat	nn1
,	,	y
"	"	y
to	to	ii
the	the	at
fussy	fussy	jj
scholarly	scholarly	jj
evocation	evocation	nn1
(	(	y
"	"	y
According	according	ii21
to	to	ii22
Megasthenes	megasthenes	nn2@
...	...	...
with	with	iw
which	which	ddq
to	to	to
eat	eat	vvi
"	"	y
)	)	y
of	of	io
a	a	at1
"	"	y
natural	natural	jj
"	"	y
existence	existence	nn1
,	,	y
and	and	cc
to	to	ii
the	the	at
deft	deft	jj
and	and	cc
barely	barely	rr
noticeable	noticeable	jj
rhyme	rhyme	nn1
of	of	io
"	"	y
eat	eat	vv0
"	"	y
and	and	cc
"	"	y
meat	meat	nn1
.	.	y
"	"	y
Stupid	stupid	jj
Questions	question	nn2
<p>	<p>	y
Ferry	ferry	nn1
's	's	ge
quest	quest	nn1
for	for	if
the	the	at
wild	wild	jj
man	man	nn1
's	's	ge
guileless	guileless	jj
perspective	perspective	nn1
,	,	y
Enkidu	enkidu	np1
's	's	ge
point	point	nn1
of	of	io
view	view	nn1
,	,	y
has	have	vhz
led	lead	vvn
him	him	ppho1
to	to	to
build	build	vvi
whole	whole	jj_nn1
poems	poem	nn2
around	around	ii_rg@
innocent	innocent	jj
questions	question	nn2
.	.	y
Some	some	dd
of	of	io
the	the	at
grandest	grand	jjt
,	,	y
most	most	rgt_dat
familiar	familiar	jj
poems	poem	nn2
in	in	ii
English	english	jj_nn1
--	--	x
"	"	y
Ode	ode	nn1
on	on	ii
a	a	at1
Grecian	grecian	jj
Urn	urn	nn1_np1
,	,	y
"	"	y
"	"	y
Among	among	ii
Schoolchildren	schoolchild	nn2
,	,	y
"	"	y
Elizabeth	elizabeth	np1
Bishop	bishop	np1@_nn1
's	's	ge_vbz
"	"	y
Filling	filling	nn1_jj@_vvg
Station	station	nn1
"	"	y
--	--	x
use	use	nn1
questions	question	nn2
conspicuously	conspicuously	rr
.	.	y
But	but	ccb
Ferry	ferry	nn1_vv0
's	's	ge
ubiquitous	ubiquitous	jj
questions	question	nn2
,	,	y
in	in	ii
early	early	jj
and	and	cc
late	late	jj
poems	poem	nn2
,	,	y
are	be	vbr
striking	strike	vvg_jj
for	for	if
their	their	appge
naivete	naivete	nn1
,	,	y
as	as	csa
in	in	ii
this	this	dd1
early	early	jj
poem	poem	nn1
,	,	y
"	"	y
My	my	appge
Mother	mother	nn1
's	be	vbz_ge
Dying	die	vvg_jj
"	"	y
:	:	y
PREFORMATTED	preformatted	zz
TABLE	table	nn1
<p>	<p>	y
These	these	dd2
are	be	vbr
lovely	lovely	jj
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
But	but	ccb
the	the	at
questions	question	nn2
every	every	at1
other	other	jj
line	line	nn1
verge	verge	nn1_vv0
on	on	ii
the	the	at
faux-naif	faux-naif	nn1_jj
,	,	y
especially	especially	rr
on	on	ii
rereading	reread	vvg_nn1@
.	.	y
I	i	ppis1
've	have	vh0
come	come	vvn
to	to	to
prefer	prefer	vvi
the	the	at
bolder	bold	jjr
patterning	patterning	nn1@_jj@
and	and	cc
thematizing	thematizing	nn1@_vvg
of	of	io
questions	question	nn2
in	in	ii
Ferry	ferry	nn1
's	's	ge_vbz
great	great	jj
(	(	y
and	and	cc
to	to	ii
my	my	appge
mind	mind	nn1
pretty	pretty	rg
much	much	da1_rr
definitive	definitive	jj
)	)	y
version	version	nn1
of	of	io
Baudelaire	baudelaire	np1_nn1
's	's	ge
sonnet	sonnet	nn1
"	"	y
The	the	at
Blind	blind	jj
People	people	nn
,	,	y
"	"	y
which	which	ddq
begins	begin	vvz
:	:	y
PREFORMATTED	preformatted	zz
TABLE	table	nn1
<p>	<p>	y
The	the	at
unmaking	unmaking	nn1@
of	of	io
the	the	at
sonnet	sonnet	nn1
as	as	csa_ii@
Frost	frost	np1
and	and	cc
Wilbur	wilbur	np1
conceived	conceive	vvd
it	it	pph1
escalates	escalate	vvz
here	here	rl
.	.	y
The	the	at
enjambments	enjambment	nn2
are	be	vbr
even	even	rr
more	more	rgr
vigorous	vigorous	jj
than	than	csn
in	in	ii
the	the	at
Guillen	guillen	jj_nn1
sonnet	sonnet	nn1
,	,	y
really	really	rr
yanking	yank	vvg
the	the	at
lines	line	nn2
into	into	ii
a	a	at1
single	single	jj
snake	snake	nn1
of	of	io
a	a	at1
poem	poem	nn1
.	.	y
As	as	csa
with	with	iw
the	the	at
casual	casual	jj
use	use	nn1
of	of	io
"	"	y
there	there	rl
"	"	y
in	in	ii
Guillen	guillen	np1
's	's	ge
horses	horse	nn2
,	,	y
I	i	ppis1
'm	be	vbm
struck	strike	vvn
here	here	rl
by	by	ii
the	the	at
boldly	boldly	rr
colloquial	colloquial	jj
placement	placement	nn1
of	of	io
prepositions	preposition	nn2
:	:	y
"	"	y
they	they	pphs2
walk	walk	vv0
in	in	ii_rp@
this	this	dd1
ridiculous	ridiculous	jj
fashion	fashion	nn1
through	through	rp@_ii
"	"	y
;	;	y
"	"	y
a	a	at1
denial	denial	nn1
I	i	ppis1
walk	walk	vv0
through	through	rp@
"	"	y
;	;	y
"	"	y
What	what	ddq
are	be	vbr
they	they	pphs2
looking	look	vvg
up	up	rp
at	at	ii
the	the	at
sky	sky	nn1
for	for	if
?	?	y
"	"	y
There	there	ex
's	be	vbz
an	a	at1
angry	angry	jj
edge	edge	nn1
to	to	ii
the	the	at
questions	question	nn2
that	that	cst_dd1
speaks	speak	vvz
of	of	io
experience	experience	nn1
rather	rather	ii21
than	than	ii22
innocence	innocence	nn1
.	.	y
<p>	<p>	y
Sometimes	sometimes	rt
a	a	at1
whole	whole	jj
poem	poem	nn1
of	of	io
Ferry	ferry	nn1
's	be	vbz_ge
will	will	vm_nn1@
circle	circle	vvi
around	around	rp_ii
questions	question	nn2
,	,	y
implied	imply	vvn_vvd
rather	rather	ii21
than	than	ii22
explicit	explicit	jj
,	,	y
as	as	csa
in	in	ii
his	his	appge
recent	recent	jj
and	and	cc
very	very	rg
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
photograph	photograph	nn1
gives	give	vvz
rise	rise	nn1
to	to	ii
the	the	at
poem	poem	nn1
,	,	y
this	this	dd1
one	one	pn1
a	a	at1
snapshot	snapshot	nn1
of	of	io
a	a	at1
family	family	nn1
outing	outing	nn1
in	in	ii
New	new	np1
Jersey	jersey	np1
in	in	ii
1916	1916	mc
,	,	y
"	"	y
a	a	at1
picture	picture	nn1
taken	take	vvn
years	year	nnt2
before	before	cs
I	i	ppis1
was	be	vbdz
born	born	vvn
.	.	y
"	"	y
Ferry	ferry	nn1_vv0
tugs	tug	vvz
a	a	at1
few	few	da2
secrets	secret	nn2
from	from	ii
the	the	at
stance	stance	nn1
and	and	cc
expressions	expression	nn2
of	of	io
the	the	at
various	various	jj
figures	figure	nn2
grouped	group	vvn_vvd
around	around	ii_rp
a	a	at1
car	car	nn1
:	:	y
his	his	appge
aunt	aunt	nn1
Sis	sis	nn1
Nellie	nellie	np1
's	's	ge_vbz
"	"	y
frustrated	frustrated	jj
sexuality	sexuality	nn1
turned/Into	turned/into	fu
malice	malice	nn1
abetted	abet	vvd_vvn@
and	and	cc
invigorated/By	invigorated/by	fu
the	the	at
cultural	cultural	jj
verve	verve	nn1
and	and	cc
ignorance	ignorance	nn1
of	of	io
the	the	at
place	place	nn1
"	"	y
;	;	y
his	his	appge
grandmother	grandmother	nn1
's	's	ge
bad	bad	jj
teeth	tooth	nn2
"	"	y
As	as	csa
seen	see	vvn
by	by	ii
the	the	at
conformation	conformation	nn1
of	of	io
her	her	appge
mouth	mouth	nn1
,	,	y
/Smiling	/smiling	x
without	without	iw
opening	open	vvg
the	the	at
lips	lip	nn2
"	"	y
;	;	y
his	his	appge
vulnerable	vulnerable	jj
infant	infant	nn1
sister	sister	nn1
.	.	y
He	he	pphs1
's	be	vbz_vhz@
intrigued	intrigue	vvn
by	by	ii
his	his	appge
father	father	nn1
's	's	ge
straw	straw	nn1
hat	hat	nn1
in	in	ii
this	this	dd1
wintry	wintry	jj
scene	scene	nn1
,	,	y
but	but	ccb
puzzled	puzzle	vvd@
most	most	dat
of	of	io
all	all	db
by	by	ii
his	his	appge
mother	mother	nn1
:	:	y
PREFORMATTED	preformatted	zz
TABLE	table	nn1
<p>	<p>	y
One	one	mc1
of	of	io
Ferry	ferry	nn1
's	's	ge_vbz
Eakins	eakins	np1
poems	poem	nn2
,	,	y
the	the	at
sixth	sixth	md
,	,	y
is	be	vbz
based	base	vvn
on	on	ii
a	a	at1
photograph	photograph	nn1
of	of	io
another	another	dd1
excursion	excursion	nn1
into	into	ii
the	the	at
Jersey	jersey	np1_nn1@
countryside	countryside	nn1
,	,	y
with	with	iw
Eakins	eakins	np1
--	--	x
his	his	appge
bulging	bulging	jj@
paunch	paunch	nn1
reflected	reflect	vvn_vvd
in	in	ii
the	the	at
water	water	nn1
--	--	x
and	and	cc
two	two	mc
other	other	jj
naked	naked	jj
men	man	nn2
(	(	y
like	like	ii
three	three	mc
of	of	io
Whitman	whitman	np1
's	's	ge
twenty-eight	twenty-eight	mc
bathers	bather	nn2
grown	grown	jj21_vvn@
up	up	jj22_rp
)	)	y
staring	stare	vvg
towards	towards	ii
the	the	at
camera	camera	nn1
.	.	y
The	the	at
ending	ending	nn1
is	be	vbz
strikingly	strikingly	rr
like	like	ii_vv0@
that	that	dd1
of	of	io
"	"	y
At	at	ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
river	river	nn1
is	be	vbz
hard	hard	jj
to	to	to
see//In	see//in	fu
the	the	at
washy	washy	jj
blankness	blankness	nn1
of	of	io
the	the	at
light	light	nn1_jj
;	;	y
the	the	at
sallow/Flat	sallow/flat	jj_nn1
South	south	nd1
Jersey	jersey	np1
landscape	landscape	nn1
,	,	y
treeless	treeless	jj
almost	almost	rr
,	,	y
/almost	/almost	fu
featureless	featureless	jj
,	,	y
stretches	stretch	vvz_nn2
vaguely	vaguely	rr
beyond	beyond	rl@
.	.	y
"	"	y
The	the	at
cowboys	cowboy	nn2
,	,	y
the	the	at
horses	horse	nn2
,	,	y
the	the	at
blind	blind	jj_nn1@
,	,	y
the	the	at
wild	wild	jj
men	man	nn2
,	,	y
the	the	at
children	child	nn2
--	--	x
all	all	db
of	of	io
them	them	ppho2
traffic	traffic	nn1
in	in	ii
the	the	at
blankness	blankness	nn1
of	of	io
the	the	at
sky	sky	nn1
.	.	y
And	and	cc
this	this	dd1
blankness	blankness	nn1
yields	yield	nn2_vvz
,	,	y
in	in	ii
the	the	at
end	end	nn1
,	,	y
to	to	ii
an	a	at1
ordinary	ordinary	jj
afternoon	afternoon	nnt1
in	in	ii
New	new	np1
Jersey	jersey	np1
.	.	y
The	the	at
family	family	nn1
photograph	photograph	nn1
,	,	y
in	in	ii
which	which	ddq
all	all	db
the	the	at
features	feature	nn2
are	be	vbr
familiar	familiar	jj
,	,	y
is	be	vbz
stranger	strange	jjr
for	for	if
Ferry	ferry	nn1
,	,	y
more	more	rgr
ultimately	ultimately	rr
foreign	foreign	jj
,	,	y
than	than	csn
anything	anything	pn1
he	he	pphs1
found	find	vvd
in	in	ii
Eakins	eakins	np1
.	.	y
The	the	at
concluding	concluding	jj
line	line	nn1
provides	provide	vvz
the	the	at
title	title	nn1
for	for	if
Ferry	ferry	nn1
's	's	ge_vbz
"	"	y
new	new	jj
and	and	cc
selected	selected	jj
poems	poem	nn2
"	"	y
:	:	y
"	"	y
of	of	io
no	no	at
country	country	nn1
I	i	ppis1
know	know	vv0
.	.	y
"	"	y
It	it	pph1
sums	sum	vvz
up	up	rp
,	,	y
in	in	ii
its	its	z'
awkwardly	awkwardly	rr
confident	confident	jj
uncertainty	uncertainty	nn1
,	,	y
all	all	db
the	the	at
quests	quest	nn2
and	and	cc
questionings	questioning	nn2
,	,	y
sentimental	sentimental	jj
and	and	cc
naive	naive	jj
,	,	y
of	of	io
his	his	appge
distinguished	distinguished	jj
body	body	nn1
of	of	io
work	work	nn1
.	.	y
<p>	<p>	y
By	by	ii
Christopher	christopher	np1
Benfey	benfey	np1
<p>	<p>	y
##4000675		
Darwin	darwin	np1
's	's	ge
Worms	worm	nn2
,	,	y
by	by	ii
Adam	adam	np1
Phillips	phillips	np1
,	,	y
Basic	basic	jj
Books	book	nn2
.	.	y
<p>	<p>	y
Darwin	darwin	np1
and	and	cc
Freud	freud	np1
live	live	vv0_jj
in	in	ii_rp@
many	many	da2
of	of	io
our	our	appge
reflective	reflective	jj
reveries	reverie	nn2
,	,	y
shape	shape	vv0@
our	our	appge
assumptions	assumption	nn2
,	,	y
bear	bear	vv0
down	down	rp
on	on	ii
what	what	ddq
we	we	ppis2
think	think	vv0
of	of	io
our	our	appge
origins	origin	nn2
or	or	cc
how	how	rrq
we	we	ppis2
think	think	vv0
of	of	io
our	our	appge
wishes	wish	nn2
and	and	cc
worries	worry	nn2
.	.	y
In	in	ii
schools	school	nn2
across	across	ii
America	america	np1
the	the	at
teaching	teaching	nn1
of	of	io
evolution	evolution	nn1
has	have	vhz
become	become	vvn@
a	a	at1
subject	subject	nn1
of	of	io
fierce	fierce	jj
controversy	controversy	nn1
;	;	y
every	every	at1
weekday	weekday	nnt1
afternoon	afternoon	nnt1
Oprah	oprah	np1_nn1@
and	and	cc
her	her	appge
television	television	nn1
guests	guest	nn2
recite	recite	vv0
their	their	appge
psychopathology	psychopathology	nn1
,	,	y
even	even	rr
as	as	csa_ii
the	the	at
newspapers	newspaper	nn2
,	,	y
through	through	ii
advice-giving	advice-giving	jj_nn1
columnists	columnist	nn2
,	,	y
have	have	vh0
made	make	vvn
our	our	appge
dreams	dream	nn2
,	,	y
our	our	appge
moments	moment	nn2
of	of	io
yearning	yearn	vvg_nn1@
,	,	y
a	a	at1
fit	fit	jj
subject	subject	nn1
for	for	if
daily	daily	jj
discussion	discussion	nn1
.	.	y
For	for	if
Adam	adam	np1
Phillips	phillips	np1
the	the	at
result	result	nn1
has	have	vhz
been	be	vbn
a	a	at1
decisive	decisive	jj
cultural	cultural	jj
shift	shift	nn1@_vv0
that	that	cst_dd1
informs	inform	vvz
the	the	at
way	way	nn1
we	we	ppis2
think	think	vv0
about	about	ii
the	the	at
world	world	nn1
and	and	cc
our	our	appge
prospects	prospect	nn2
in	in	ii
it	it	pph1
.	.	y
"	"	y
We	we	ppis2
can	can	vm
see	see	vvi
Darwin	darwin	np1
and	and	cc
Freud	freud	np1
,	,	y
"	"	y
he	he	pphs1
tells	tell	vvz
us	us	ppio2
,	,	y
"	"	y
as	as	csa
among	among	ii
the	the	at
people	people	nn
involved	involved	jj
in	in	ii
taking	take	vvg
God	god	np1_nn1@
out	out	ii21
of	of	ii22
the	the	at
picture	picture	nn1
,	,	y
leaving	leave	vvg
us	us	ppio2
with	with	iw
nothing	nothing	pn1
between	between	ii
us	us	ppio2
and	and	cc
nature	nature	nn1
.	.	y
"	"	y
Such	such	da
an	a	at1
observation	observation	nn1
is	be	vbz
meant	mean	vvn
to	to	to
remind	remind	vvi
us	us	ppio2
that	that	dd1_cst
past	past	jj_ii_nn1
existentialist	existentialist	jj
outcries	outcry	nn2
of	of	io
anxiety	anxiety	nn1
,	,	y
fear	fear	vv0_nn1
,	,	y
and	and	cc
sorrow	sorrow	nn1
were	be	vbdr
prompted	prompt	vvn
not	not	xx
only	only	rr
by	by	ii
personal	personal	jj
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
that	that	cst
have	have	vh0
become	become	vvn@
for	for	if
so	so	rg
many	many	da2
of	of	io
us	us	ppio2
a	a	at1
believable	believable	jj
reality	reality	nn1
,	,	y
buttressed	buttress	vvn
by	by	ii
scientific	scientific	jj
observation	observation	nn1
:	:	y
a	a	at1
biologist	biologist	nn1
's	's	ge
scrutiny	scrutiny	nn1
of	of	io
Brazilian	brazilian	jj_nn1
jungles	jungle	nn2
,	,	y
and	and	cc
indeed	indeed	rr
,	,	y
the	the	at
attention	attention	nn1
he	he	pphs1
gave	give	vvd
to	to	ii
his	his	appge
own	own	da
native	native	jj
soil	soil	nn1
,	,	y
to	to	ii
its	its	z'
worms	worm	nn2
which	which	ddq
make	make	vv0
all	all	db
the	the	at
difference	difference	nn1
,	,	y
he	he	pphs1
learned	learn	vvd
,	,	y
in	in	ii
how	how	rrq
the	the	at
grass	grass	nn1
grows	grow	vvz
;	;	y
and	and	cc
a	a	at1
physician	physician	nn1
's	's	ge
surmises	surmise	nn2
about	about	ii
the	the	at
reasons	reason	nn2
his	his	appge
ailing	ailing	jj
,	,	y
recumbent	recumbent	jj
patients	patient	nn2
think	think	vv0
and	and	cc
feel	feel	vv0
and	and	cc
dream	dream	vv0_nn1
as	as	csa
they	they	pphs2
do	do	vd0
--	--	x
a	a	at1
one-time	one-time	jj
clinical	clinical	jj
office	office	nn1
become	become	vv0_vvn@
a	a	at1
mirror	mirror	nn1
to	to	ii
the	the	at
minds	mind	nn2
of	of	io
millions	million	m
.	.	y
<p>	<p>	y
Phillips	phillips	np1
links	link	vvz
Darwin	darwin	np1
to	to	ii
Freud	freud	np1
as	as	cs21
if	if	cs22
they	they	pphs2
were	be	vbdr
brothers	brother	nn2
under	under	ii
a	a	at1
modern	modern	jj
skin	skin	nn1
of	of	io
skepticism	skepticism	nn1
with	with	ii31
respect	respect	ii32
to	to	ii33
the	the	at
received	received	jj@
religious	religious	jj
and	and	cc
philosophical	philosophical	jj
pieties	piety	nn2
of	of	io
the	the	at
nineteenth	nineteenth	md
century	century	nnt1
and	and	cc
before	before	rt
.	.	y
He	he	pphs1
calls	call	vvz
them	them	ppho2
"	"	y
naturalists	naturalist	nn2
--	--	x
great	great	jj
natural	natural	jj
history	history	nn1
writers	writer	nn2
,	,	y
"	"	y
but	but	ccb
they	they	pphs2
were	be	vbdr
also	also	rr
powerfully	powerfully	rr
engaging	engage	vvg_jj
,	,	y
suggestive	suggestive	jj
essayists	essayist	nn2
who	who	pnqs
favored	favor	vvd
a	a	at1
dramatic	dramatic	jj
presentation	presentation	nn1
of	of	io
our	our	appge
long	long	jj_rr
ago	ago	ra
human	human	jj_nn1
struggle	struggle	nn1
to	to	to
survive	survive	vvi
and	and	cc
prevail	prevail	vvi
(	(	y
Darwin	darwin	np1
)	)	y
,	,	y
and	and	cc
of	of	io
our	our	appge
everyday	everyday	jj
effort	effort	nn1
to	to	to
keep	keep	vvi
our	our	appge
wits	wit	nn2
about	about	ii
us	us	ppio2
,	,	y
to	to	to
keep	keep	vvi
our	our	appge
mood	mood	nn1
and	and	cc
manner	manner	nn1
reasonably	reasonably	rr
solid	solid	jj
and	and	cc
equable	equable	jj
,	,	y
no	no	ddqv31
matter	matter	ddqv32
what	what	ddqv33
distractions	distraction	nn2
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
and	and	cc
deeds	deed	nn2
)	)	y
put	put	vvd_vv0_vvn
in	in	ii_rp@
our	our	appge
way	way	nn1
(	(	y
Freud	freud	np1
)	)	y
.	.	y
Both	both	db2
these	these	dd2
observers	observer	nn2
of	of	io
the	the	at
human	human	jj_nn1
scene	scene	nn1
became	become	vvd
not	not	xx
only	only	rr_jj
analytical	analytical	jj
commentators	commentator	nn2
,	,	y
determined	determine	vvn_jj_vvd@
to	to	to
pursue	pursue	vvi
their	their	appge
speculative	speculative	jj
forays	foray	nn2
,	,	y
but	but	ccb
insistently	insistently	rr
persuasive	persuasive	jj
rhetoricians	rhetorician	nn2
whose	whose	ddqge
say	say	nn1%
became	become	vvd
a	a	at1
kind	kind	nn1
of	of	io
secular	secular	jj
gospel	gospel	nn1
.	.	y
Phillips	phillips	np1
frankly	frankly	rr
calls	call	vvz
their	their	appge
work	work	nn1
"	"	y
scandalous	scandalous	jj
,	,	y
"	"	y
by	by	ii
which	which	ddq
he	he	pphs1
means	mean	vvz
their	their	appge
books	book	nn2
"	"	y
disfigured	disfigured	jj_vvn
people	people	nn
's	's	ge
cherished	cherished	jj
ideals	ideal	nn2
,	,	y
and	and	cc
so	so	rr
compelled	compel	vvn_vvd
people	people	nn
to	to	to
revise	revise	vvi
their	their	appge
hopes	hope	nn2
for	for	if
themselves	themselves	ppx2
.	.	y
"	"	y
He	he	pphs1
stresses	stress	vvz
the	the	at
writer	writer	nn1
's	's	ge
charm	charm	nn1
,	,	y
the	the	at
conceptualist	conceptualist	nn1
's	's	ge
infectious	infectious	jj
imagination	imagination	nn1
evident	evident	jj
in	in	ii
both	both	db2
Darwin	darwin	np1
and	and	cc
in	in	ii
Freud	freud	np1
:	:	y
they	they	pphs2
"	"	y
made	make	vvd
it	it	pph1
very	very	rg
difficult	difficult	jj
for	for	if
us	us	ppio2
not	not	xx
to	to	to
use	use	vvi
a	a	at1
certain	certain	jj
kind	kind	nn1
of	of	io
vocabulary	vocabulary	nn1
when	when	cs_rrq
we	we	ppis2
refer	refer	vv0
to	to	ii
ourselves	ourselves	ppx2
;	;	y
words	word	nn2
like	like	ii
sexuality	sexuality	nn1
,	,	y
competition	competition	nn1
,	,	y
childhood	childhood	nn1
,	,	y
the	the	at
past	past	nn1_jj
,	,	y
became	become	vvd
compulsory	compulsory	jj
in	in	ii
our	our	appge
self-descriptions	self-description	nn2
.	.	y
"	"	y
<p>	<p>	y
The	the	at
two	two	mc
were	be	vbdr
idiosyncratic	idiosyncratic	jj
seers	seer	nn2
,	,	y
willing	willing	jj
to	to	to
go	go	vvi
it	it	pph1
alone	alone	rr
,	,	y
not	not	xx
lodged	lodge	vvn
in	in	ii
the	the	at
universities	university	nn2
or	or	cc
in	in	ii
politics	politics	nn1
,	,	y
where	where	cs_rrq
many	many	da2
get	get	vv0
to	to	to
address	address	vvi
faithful	faithful	jj
followers	follower	nn2
.	.	y
Their	their	appge
written	written	jj@
ideas	idea	nn2
appealed	appeal	vvn_vvd
to	to	ii
readers	reader	nn2
prepared	prepare	vvn
to	to	to
break	break	vvi
with	with	iw
the	the	at
past	past	jj_nn1
--	--	x
the	the	at
religiously	religiously	rr
sanctioned	sanction	vvn_vvd_jj@
versions	version	nn2
of	of	io
the	the	at
distant	distant	jj
past	past	nn1_rl_jj
,	,	y
or	or	cc
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
it	it	pph1
.	.	y
Darwin	darwin	np1
gave	give	vvd
us	us	ppio2
a	a	at1
new	new	jj
past	past	nn1_rl_jj
,	,	y
one	one	pn1_mc1
plagued	plague	vvn
by	by	ii
grasping	grasp	vvg
yet	yet	rr
vulnerable	vulnerable	jj
animals	animal	nn2
,	,	y
among	among	ii
which	which	ddq
he	he	pphs1
numbered	number	vvd
emerging	emerging	jj_vvg
humankind	humankind	nn1
.	.	y
For	for	if
him	him	ppho1
our	our	appge
life	life	nn1
today	today	rt
is	be	vbz
a	a	at1
climax	climax	nn1
of	of	io
sorts	sort	nn2
--	--	x
all	all	db
those	those	dd2
accidents	accident	nn2
and	and	cc
incidents	incident	nn2
that	that	cst
became	become	vvd
,	,	y
over	over	ii
millennia	millennium	nnt2
,	,	y
the	the	at
fateful	fateful	jj
emergence	emergence	nn1
of	of	io
a	a	at1
particular	particular	jj
species	species	nn
:	:	y
we	we	ppis2
the	the	at
heirs	heir	nn2
of	of	io
random	random	jj
chance	chance	nn1
and	and	cc
favoring	favor	vvg_jj@
circumstance	circumstance	nn1
(	(	y
hardly	hardly	rr
the	the	at
decisive	decisive	jj
biblical	biblical	jj
story	story	nn1
of	of	io
lordly	lordly	jj
creation	creation	nn1
,	,	y
