##1012950		
Maggie	maggie	np1
.	.	y
I	i	ppis1
spent	spend	vvd
my	my	appge
evenings	evening	nnt2
hopping	hop	vvg
from	from	ii
one	one	mc1
end	end	nn1
of	of	io
my	my	appge
lily	lily	nn1
pad	pad	nn1_vv0
to	to	ii
the	the	at
other	other	jj_nn1@
:	:	y
as	as	ii_csa
the	the	at
sun	sun	nn1
fell	fall	vvd
on	on	ii31
top	top	ii32
of	of	ii33
the	the	at
statue	statue	nn1
,	,	y
the	the	at
Twin	twin	nn1_jj@
Towers	towers	np1_nn2@
became	become	vvd
a	a	at1
fascinating	fascinating	jj
checkerboard	checkerboard	nn1
of	of	io
lit	lit	nn1
and	and	cc
unlit	unlit	jj
windows	window	nn2
,	,	y
looking	look	vvg
,	,	y
after	after	cs_ii
several	several	da2
puffs	puff	nn2
of	of	io
marijuana	marijuana	nn1
,	,	y
like	like	ii
a	a	at1
Mondrian	mondrian	np1
painting	painting	nn1
come	come	vvn@_vv0
to	to	ii
life	life	nn1
.	.	y
To	to	to
complement	complement	vvi
my	my	appge
sleek	sleek	jj
art	art	nn121
deco	deco	nn122
apartment	apartment	nn1
,	,	y
I	i	ppis1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
of	of	ii22
a	a	at1
certain	certain	jj
munificent	munificent	jj
bank	bank	nn1
.	.	y
The	the	at
whole	whole	jj
thing	thing	nn1
was	be	vbdz
set	set	vvn
up	up	rp
through	through	ii
the	the	at
career	career	nn1
office	office	nn1
at	at	ii
Accidental	accidental	jj
College	college	nn1
,	,	y
which	which	ddq
specialized	specialize	vvd
in	in	ii_rp@
finding	find	vvg
socially	socially	rr
uplifting	uplifting	jj
and	and	cc
highly	highly	rr
unpaid	unpaid	jj
internships	internship	nn2
for	for	if
young	young	jj
gentlemen	gentleman	nn2
and	and	cc
ladies	lady	nn2
.	.	y
And	and	cc
so	so	rr_rg
every	every	at1
morning	morning	nnt1
,	,	y
around	around	rg
ten	ten	m
,	,	y
my	my	appge
morning	morning	nnt1
gown	gown	nn1
bedecked	bedeck	vvn
with	with	iw
glistening	glistening	jj_vvg
medals	medal	nn2
from	from	ii
the	the	at
Accidental	accidental	jj
College	college	nn1
Department	department	nn1
of	of	io
Multicultural	multicultural	jj_nn1_np1
Studies	study	nn2
(	(	y
my	my	appge
academic	academic	jj
major	major	jj_nn1@
)	)	y
,	,	y
I	i	ppis1
would	would	vm
roll	roll	vvi
over	over	rg
three	three	mc
blocks	block	nn2
to	to	ii
the	the	at
bank	bank	nn1
's	's	ge
filigreed	filigreed	nn1
skyscraper	skyscraper	nn1
and	and	cc
perform	perform	vv0
my	my	appge
filing	filing	nn1
duties	duty	nn2
for	for	if
a	a	at1
few	few	da2
hours	hour	nnt2
.	.	y
My	my	appge
colleagues	colleague	nn2
regarded	regard	vvn_vvd@
me	me	ppio1
as	as	ii
something	something	pn1
of	of	io
an	a	at1
oddity	oddity	nn1
,	,	y
but	but	ccb
nothing	nothing	pn1
compared	compare	vvn_vvd@
to	to	ii
the	the	at
young	young	jj
man	man	nn1
who	who	pnqs
dressed	dress	vvd@
up	up	rp
as	as	ii
a	a	at1
hamster	hamster	nn1
during	during	ii
lunch	lunch	nn1
and	and	cc
wept	weep	vvd
violently	violently	rr
in	in	ii
the	the	at
bathroom	bathroom	nn1
for	for	if
exactly	exactly	rr
one	one	mc1
hour	hour	nnt1
and	and	cc
fifteen	fifteen	mc
minutes	minute	nnt2
(	(	y
a	a	at1
fellow	fellow	jj_nn1
alumnus	alumnus	nn1
of	of	io
Accidental	accidental	jj
,	,	y
needless	needless	jj
to	to	to
say	say	vvi
)	)	y
.	.	y
Whenever	whenever	rrqv
the	the	at
wisdom	wisdom	nn1
of	of	io
having	have	vhg
a	a	at1
sleepy	sleepy	jj
Russian	russian	jj_nn1@
Gargantua	gargantua	nn1@_np1
clattering	clatter	vvg
around	around	ii_rp
the	the	at
already	already	rr
tight	tight	jj
quarters	quarter	nn2
came	come	vvd
up	up	rp
,	,	y
I	i	ppis1
merely	merely	rr
had	have	vhd
to	to	to
say	say	vvi
something	something	pn1
like	like	ii
"	"	y
Malevich	malevich	np1
!	!	y
"	"	y
or	or	cc
"	"	y
Tarkofsky	tarkofsky	np1
!	!	y
,	,	y
"	"	y
letting	let	vvg
the	the	at
reflected	reflected	jj@
sheen	sheen	nn1
of	of	io
my	my	appge
countrymen	countryman	nn2
's	's	ge
accomplishments	accomplishment	nn2
glisten	glisten	vv0
off	off	rp_ii
my	my	appge
Multicultural	multicultural	jj_nn1
Studies	study	nn2
medals	medal	nn2
.	.	y
Eventually	eventually	rr
the	the	at
hamster	hamster	nn1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
a	a	at1
festive	festive	jj
affair	affair	nn1
.	.	y
Free	free	jj_vv0@
of	of	io
having	have	vhg
to	to	to
support	support	vvi
their	their	appge
families	family	nn2
,	,	y
they	they	pphs2
mostly	mostly	rr
have	have	vh0
gay	gay	jj
parties	party	nn2
on	on	ii
rooftops	rooftop	nn2
where	where	cs_rrq
they	they	pphs2
reflect	reflect	vv0
at	at	rr21
length	length	rr22
upon	upon	ii
their	their	appge
quirky	quirky	jj
electronic	electronic	jj
childhoods	childhood	nn2
and	and	cc
sometimes	sometimes	rt
kiss	kiss	vv0
each	each	ppx221
other	other	ppx222
on	on	ii
the	the	at
lips	lip	nn2
and	and	cc
neck	neck	nn1
.	.	y
My	my	appge
own	own	da
life	life	nn1
was	be	vbdz
similarly	similarly	rr
sweet	sweet	jj
and	and	cc
free	free	jj
of	of	io
complexities	complexity	nn2
,	,	y
with	with	iw
only	only	rr
one	one	mc1
need	need	nn1_vv0
unaccounted	unaccounted	jj
for	for	if
:	:	y
I	i	ppis1
had	have	vhd
no	no	at
girlfriend	girlfriend	nn1
,	,	y
no	no	at
buxom	buxom	jj
hardworking	hard-working	jj
ethnic	ethnic	jj
girl	girl	nn1
to	to	to
urge	urge	vvi
me	me	ppio1
off	off	ii_rp
the	the	at
couch	couch	nn1
,	,	y
no	no	at
exotic	exotic	jj
Polynesian	polynesian	jj_nn1@
to	to	to
fill	fill	vvi
my	my	appge
monochrome	monochrome	jj_nn1
life	life	nn1
with	with	iw
her	her	appge
browns	brown	nn2
and	and	cc
yellows	yellow	nn2
.	.	y
So	so	rr
every	every	at1
weekend	weekend	nnt1
night	night	nnt1
I	i	ppis1
would	would	vm
trudge	trudge	vvi
up	up	ii21
to	to	ii22
these	these	dd2
rooftops	rooftop	nn2
where	where	rrq_cs
Accidental	accidental	jj
College	college	nn1
graduates	graduate	nn2
would	would	vm
huddle	huddle	vvi
together	together	rl
next	next	ii21
to	to	ii22
groups	group	nn2
of	of	io
students	student	nn2
from	from	ii
similar	similar	jj
colleges	college	nn2
,	,	y
their	their	appge
conversations	conversation	nn2
forming	form	vvg
barbed	barbed	jj
networks	network	nn2
of	of	io
privileged	privileged	jj
fact	fact	nn1
and	and	cc
speculation	speculation	nn1
stretching	stretch	vvg
from	from	ii
the	the	at
Napa	napa	np1_nn1@
Valley	valley	nn1_np1@
to	to	ii
Gstaad	gstaad	np1
.	.	y
I	i	ppis1
basked	bask	vvd
in	in	ii_rp@
this	this	dd1
information	information	nn1
,	,	y
making	make	vvg
witty	witty	jj
observations	observation	nn2
and	and	cc
absurdist	absurdist	nn1
jokes	joke	nn2
,	,	y
but	but	ccb
my	my	appge
real	real	jj
purpose	purpose	nn1
was	be	vbdz
more	more	rgr
traditional	traditional	jj
:	:	y
I	i	ppis1
was	be	vbdz
looking	look	vvg
for	for	if
a	a	at1
woman	woman	nn1
who	who	pnqs
would	would	vm
accept	accept	vvi
me	me	ppio1
for	for	cs%_if
who	who	pnqs
I	i	ppis1
was	be	vbdz
,	,	y
for	for	if
every	every	at1
last	last	md
pound	pound	nn1
of	of	io
me	me	ppio1
,	,	y
and	and	cc
for	for	if
the	the	at
crushed	crushed	jj
purple	purple	jj
insect	insect	nn1
between	between	ii
my	my	appge
legs	leg	nn2
.	.	y
There	there	ex
were	be	vbdr
n't	n't	xx
any	any	dd
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
.	.	y
"	"	y
Snack	snack	nn1_vv0@
Daddy	daddy	nn1
!	!	y
"	"	y
the	the	at
boys	boy	nn2
and	and	cc
girls	girl	nn2
would	would	vm
shout	shout	vvi
as	as	csa
I	i	ppis1
ascended	ascend	vvd
the	the	at
narrow	narrow	jj
stairways	stairway	nn2
to	to	ii
their	their	appge
rooftops	rooftop	nn2
.	.	y
Back	back	rp_nn1
then	then	rt
the	the	at
girls	girl	nn2
drank	drink	vvd
buckets	bucket	nn2
of	of	io
bitter	bitter	jj
champagne	champagne	nn1
through	through	ii
straws	straw	nn2
,	,	y
and	and	cc
the	the	at
boys	boy	nn2
swilled	swill	vvd
forty-ounce	forty-ounce	jj
containers	container	nn2
of	of	io
malt	malt	nn1
liquor	liquor	nn1
,	,	y
wiping	wipe	vvg
their	their	appge
mouths	mouth	nn2
with	with	iw
the	the	at
back	back	nn1
of	of	io
their	their	appge
skinny	skinny	jj
ties	tie	nn2
.	.	y
We	we	ppis2
were	be	vbdr
trying	try	vvg
to	to	to
be	be	vbi
as	as	rg
"	"	y
urban	urban	jj
"	"	y
as	as	csa
possible	possible	jj
without	without	iw
passing	pass	vvg_nn1_jj
into	into	ii
caricature	caricature	nn1
,	,	y
our	our	appge
eyes	eye	nn2
briefly	briefly	rr
skirting	skirt	vvg@
the	the	at
darkened	darkened	jj
constellations	constellation	nn2
of	of	io
housing	house	vvg_nn1
projects	project	nn2
pressed	press	vvd_vvn
menacingly	menacingly	rr
against	against	ii
the	the	at
distant	distant	jj
horizons	horizon	nn2
.	.	y
I	i	ppis1
would	would	vm
stand	stand	vvi
to	to	ii
the	the	at
side	side	nn1
of	of	io
the	the	at
snack	snack	nn1
table	table	nn1
,	,	y
letting	let	vvg
my	my	appge
fat	fat	nn1
settle	settle	vvi
around	around	ii_rp
me	me	ppio1
in	in	ii
protective	protective	jj
layers	layer	nn2
as	as	csa
I	i	ppis1
jabbed	jab	vvd
a	a	at1
long	long	jj
carrot	carrot	nn1
into	into	ii
a	a	at1
bowl	bowl	nn1
of	of	io
spinach	spinach	nn1
feta	feta	nn1
dip	dip	nn1@_vv0
.	.	y
The	the	at
girls	girl	nn2
regarded	regard	vvn_vvd@
me	me	ppio1
as	as	ii
a	a	at1
safe	safe	jj
confidant	confidant	nn1
,	,	y
as	as	cs21
if	if	cs22
my	my	appge
weight	weight	nn1
had	have	vhd
rendered	render	vvn
me	me	ppio1
a	a	at1
beloved	beloved	jj
uncle	uncle	nn1
.	.	y
They	they	pphs2
hoisted	hoist	vvd
buckets	bucket	nn2
of	of	io
champagne	champagne	nn1
to	to	ii
my	my	appge
lips	lip	nn2
while	while	cs
complaining	complain	vvg
of	of	io
their	their	appge
passing	passing	jj_nn1
boyfriends	boyfriend	nn2
,	,	y
those	those	dd2
diffident	diffident	jj
young	young	jj
schlemiels	schlemiels	nn2
who	who	pnqs
were	be	vbdr
also	also	rr
my	my	appge
close	close	jj
friends	friend	nn2
but	but	ccb
whom	whom	pnqo
I	i	ppis1
would	would	vm
readily	readily	rr
betray	betray	vvi
for	for	if
just	just	rr
one	one	mc1
occidental	occidental	jj
kiss	kiss	nn1
tasting	tasting	nn1
of	of	io
spinach	spinach	nn1
and	and	cc
feta	feta	nn1
.	.	y
Filled	fill	vvn
with	with	iw
champagne	champagne	nn1
,	,	y
I	i	ppis1
would	would	vm
return	return	vvi
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
my	my	appge
clothes	clothes	nn2
,	,	y
and	and	cc
press	press	vv0_nn1
myself	myself	ppx1
against	against	ii
the	the	at
windows	window	nn2
,	,	y
letting	let	vvg
the	the	at
city	city	nn1
lights	light	nn2
flicker	flicker	vvi
deep	deep	rr_jj
inside	inside	ii
me	me	ppio1
.	.	y
On	on	ii
occasion	occasion	nn1
I	i	ppis1
would	would	vm
wail	wail	vvi
this	this	dd1
deep-sea	deep-sea	jj
arctic	arctic	jj
wail	wail	nn1
invented	invent	vvd_vvn
specifically	specifically	rr
for	for	if
my	my	appge
exile	exile	nn1
.	.	y
I	i	ppis1
cupped	cup	vvd
what	what	ddq
remained	remain	vvd
of	of	io
my	my	appge
khui	khui	nn2
and	and	cc
cried	cry	vvd
for	for	if
my	my	appge
papa	papa	nn1
five	five	mc
thousand	thousand	m
miles	mile	nnu2
to	to	ii
the	the	at
east	east	nd1
and	and	cc
north	north	nd1
.	.	y
How	how	rrq
could	could	vm
I	i	ppis1
have	have	vhi
abandoned	abandon	vvn
the	the	at
only	only	jj
person	person	nn1
who	who	pnqs
had	have	vhd
ever	ever	rr
truly	truly	rr
loved	love	vvn
me	me	ppio1
?	?	y
The	the	at
Neva	neva	np1
River	river	nnl1
sprang	spring	vvd
,	,	y
unprompted	unprompted	jj
,	,	y
from	from	ii
the	the	at
Gulf	gulf	nn1
of	of	io
Finland	finland	np1
,	,	y
the	the	at
Nile	nile	np1
from	from	ii
its	its	z'
Delta	delta	nn1
,	,	y
the	the	at
Hudson	hudson	np1
from	from	ii
some	some	dd
prosperous	prosperous	jj
American	american	jj
source	source	nn1
,	,	y
and	and	cc
I	i	ppis1
sprang	spring	vvd
from	from	ii
my	my	appge
father	father	nn1
.	.	y
Feeling	feel	vvg
lonely	lonely	jj
,	,	y
I	i	ppis1
would	would	vm
talk	talk	vvi
out	out	rp
loud	loud	rr
to	to	ii
the	the	at
Twin	twin	nn1_jj@
Towers	tower	nn2@
of	of	io
the	the	at
World	world	nn1
Trade	trade	nn1
Center	center	nn1
,	,	y
which	which	ddq
I	i	ppis1
had	have	vhd
nicknamed	nickname	vvn
Lionya	lionya	np1
and	and	cc
Gavril	gavril	np1
,	,	y
begging	beg	vvg
those	those	dd2
two	two	mc
iconic	iconic	jj
hulks	hulk	nn2
to	to	to
make	make	vvi
me	me	ppio1
more	more	rrr
like	like	ii
them	them	ppho2
:	:	y
lean	lean	vv0_jj
,	,	y
glassy-eyed	glassy-eyed	jj_nn1@
,	,	y
silent	silent	jj
,	,	y
and	and	cc
invincible	invincible	jj
.	.	y
Sometimes	sometimes	rt
,	,	y
when	when	cs
a	a	at1
helicopter	helicopter	nn1
passed	pass	vvd_vvn
overhead	overhead	rl
,	,	y
I	i	ppis1
would	would	vm
get	get	vvi
on	on	ii_rp@
my	my	appge
knees	knee	nn2
and	and	cc
beg	beg	vvi
to	to	to
be	be	vbi
rescued	rescue	vvn
-	-	-
to	to	to
be	be	vbi
hoisted	hoist	vvn
beyond	beyond	ii
the	the	at
party-filled	party-filled	jj_nn1
rooftops	rooftop	nn2
and	and	cc
billowing	billow	vvg_jj@
deck	deck	nn1
umbrellas	umbrella	nn2
onto	onto	ii
a	a	at1
secret	secret	jj
landscape	landscape	nn1
,	,	y
an	a	at1
inverted	inverted	jj
New	new	np1
York	york	np1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
water	water	nn1
towers	tower	nn2
and	and	cc
mansard	mansard	nn1
roofs	roof	nn2
striking	strike	vvg
through	through	ii
the	the	at
center	center	nn1
of	of	io
the	the	at
earth	earth	nn1
,	,	y
much	much	da1_rr
as	as	csa
I	i	ppis1
wished	wish	vvd
to	to	to
strike	strike	vvi
between	between	ii
the	the	at
sweaty	sweaty	jj
thighs	thigh	nn2
of	of	io
my	my	appge
former	former	da
classmates-those	classmates-those	dd2
infinitely	infinitely	rr
clever	clever	jj
and	and	cc
unflappable	unflappable	jj
girls	girl	nn2
carved	carve	vvn_vvd
out	out	ii21
of	of	ii22
soft	soft	jj
California	california	np1
rock	rock	nn1
and	and	cc
Roman	roman	jj_nn1
tufa	tufa	nn1
who	who	pnqs
breathed	breathe	vvd
more	more	dar
inspiration	inspiration	nn1
into	into	ii
my	my	appge
life	life	nn1
than	than	csn
all	all	db
the	the	at
pale	pale	jj
Marxian	marxian	jj
offerings	offering	nn2
of	of	io
the	the	at
Accidental	accidental	jj
College	college	nn1
Library	library	nn1
combined	combine	vvd_vvn
.	.	y
From	from	ii
Absurdistan	absurdistan	np1_nn1
by	by	ii
Gary	gary	np1
Shteyngart	shteyngart	np1_nn1
.	.	y
Copyright	copyright	nn1
c	c	zz1_rg@
2006	2006	mc
by	by	ii
Gary	gary	np1
Shteyngart	shteyngart	np1_nn1
.	.	y
Published	publish	vvn
by	by	ii
arrangement	arrangement	nn1
with	with	iw
Random	random	jj
House	house	nn1
,	,	y
an	a	at1
imprint	imprint	nn1
of	of	io
Random	random	jj
House	house	nn1
Publishing	publishing	nn1
Group	group	nn1
,	,	y
a	a	at1
division	division	nn1
of	of	io
Random	random	jj
House	house	nn1
,	,	y
Inc.	inc	jj
##1012965		
The	the	at
heroine	heroine	nn1
of	of	io
Rachel	rachel	np1
Kadish	kadish	nn1
's	's	ge
second	second	md
novel	novel	nn1_jj
,	,	y
university	university	nn1
professor	professor	nn1
Tracy	tracy	np1
Farber	farber	np1
,	,	y
is	be	vbz
33	33	mc
and	and	cc
single	single	jj_nn1@
.	.	y
Make	make	vv0
that	that	cst_dd1
happily	happily	rr
single	single	jj
.	.	y
But	but	ccb
when	when	cs
a	a	at1
romance	romance	nn1
with	with	iw
an	a	at1
education	education	nn1
policy	policy	nn1
consultant	consultant	nn1
hits	hit	vvz
a	a	at1
rough	rough	jj
patch	patch	nn1
,	,	y
Tracy	tracy	np1
's	's	ge
wry	wry	jj
equanimity	equanimity	nn1
takes	take	vvz
a	a	at1
tumble	tumble	nn1
.	.	y
Rachel	rachel	np1
Kadish	kadish	nn1
is	be	vbz
the	the	at
author	author	nn1
of	of	io
a	a	at1
novel	novel	nn1_jj
,	,	y
From	from	ii
A	a	at1@_zz1
Sealed	sealed	jj
Room	room	nn1
,	,	y
and	and	cc
her	her	appge
short	short	jj
fiction	fiction	nn1
and	and	cc
essays	essay	nn2
have	have	vh0
appeared	appear	vvn
in	in	ii
Story	story	nn1
,	,	y
Zoetrope	zoetrope	np1_vv0_nn1
,	,	y
Tin	tin	nn1
House	house	nn1
,	,	y
and	and	cc
the	the	at
anthologies	anthology	nn2
Lost	lose	vvd_vvn
Tribe	tribe	nn1
:	:	y
Jewish	jewish	jj
Fiction	fiction	nn1
from	from	ii
the	the	at
Edge	edge	nn1
and	and	cc
The	the	at
Modern	modern	jj
Jewish	jewish	jj
Girl	girl	nn1
's	's	ge
Guide	guide	nn1
to	to	ii
Guilt	guilt	nn1
.	.	y
She	she	pphs1
was	be	vbdz
awarded	award	vvn
the	the	at
Koret	koret	np1_nn1
Young	young	np1_jj
Writer	writer	nn1
on	on	ii
Jewish	jewish	jj
Themes	theme	nn2
Award	award	nn1_vv0%
in	in	ii
2004	2004	mc
.	.	y
<p>	<p>	y
There	there	rl
it	it	pph1
is	be	vbz
.	.	y
Right	right	rr_nn1
there	there	rl
on	on	ii
the	the	at
novel	novel	nn1
's	's	ge
first	first	md
page	page	nn1
.	.	y
Right	right	rr_nn1
there	there	rl
in	in	ii
the	the	at
first	first	md
line	line	nn1
,	,	y
staring	stare	vvg
the	the	at
reader	reader	nn1
in	in	ii
the	the	at
face	face	nn1
.	.	y
A	a	at1_zz1
lie	lie	nn1@_vv0
.	.	y
Nothing	nothing	pn1
against	against	ii
Tolstoy	tolstoy	np1
.	.	y
I	i	ppis1
'm	be	vbm
an	a	at1
admirer	admirer	nn1
.	.	y
I	i	ppis1
simply	simply	rr
happen	happen	vv0
to	to	to
believe	believe	vvi
he	he	pphs1
's	be	vbz
responsible	responsible	jj
for	for	if
the	the	at
most	most	rgt
widely	widely	rr
quoted	quote	vvn_jj@_vvd
whopper	whopper	nn1
in	in	ii
world	world	nn1
literature	literature	nn1
.	.	y
Happy	happy	jj
families	family	nn2
are	be	vbr
all	all	db_rr@
alike	alike	jj_rr
;	;	y
every	every	at1
unhappy	unhappy	jj
family	family	nn1
is	be	vbz
unhappy	unhappy	jj
in	in	ii
its	its	z'
own	own	da
way	way	nn1
.	.	y
Literary	literary	jj
types	type	nn2
swoon	swoon	vv0
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
have	have	vh0
they	they	pphs2
considered	consider	vvn
the	the	at
philosophy	philosophy	nn1
they	they	pphs2
're	be	vbr
embracing	embrace	vvg
?	?	y
If	if	cs
Tolstoy	tolstoy	np1
is	be	vbz
to	to	to
be	be	vbi
taken	take	vvn
at	at	ii
his	his	appge
word	word	nn1
,	,	y
a	a	at1
person	person	nn1
must	must	vm
be	be	vbi
unhappy	unhappy	jj
in	in	bcl21
order	order	bcl22
to	to	to
be	be	vbi
interesting	interesting	jj
.	.	y
If	if	cs
this	this	dd1
is	be	vbz
true	true	jj
,	,	y
then	then	rt
certain	certain	jj
other	other	jj
things	thing	nn2
follow	follow	vv0
.	.	y
Happy	happy	jj
people	people	nn
have	have	vh0
no	no	at
stories	story	nn2
you	you	ppy
might	might	vm
possibly	possibly	rr
want	want	vvi
to	to	to
hear	hear	vvi
.	.	y
In	in	bcl21
order	order	bcl22
to	to	to
be	be	vbi
happy	happy	jj
,	,	y
you	you	ppy
must	must	vm
whitewash	whitewash	vvi
your	your	appge
personality	personality	nn1
;	;	y
steamroll	steamroll	vv0
your	your	appge
curiosities	curiosity	nn2
,	,	y
your	your	appge
irritations	irritation	nn2
,	,	y
your	your	appge
honesty	honesty	nn1
and	and	cc
indignation	indignation	nn1
.	.	y
You	you	ppy
must	must	vm
shed	shed	z'
idiosyncratic	idiosyncratic	jj
dreams	dream	nn2
and	and	cc
march	march	vvi
in	in	ii
lockstep	lockstep	nn1
with	with	iw
the	the	at
hordes	horde	nn2
of	of	io
the	the	at
content	content	nn1_jj
.	.	y
Happiness	happiness	nn1
,	,	y
according	according	ii21
to	to	ii22
this	this	dd1
witticism	witticism	nn1
of	of	io
Tolstoy	tolstoy	np1
's	's	ge_vbz
,	,	y
is	be	vbz
not	not	xx
a	a	at1
plant	plant	nn1
with	with	iw
spikes	spike	nn2
and	and	cc
gnarled	gnarled	jj
roots	root	nn2
;	;	y
it	it	pph1
is	be	vbz
a	a	at1
daisy	daisy	nn1
in	in	ii
a	a	at1
field	field	nn1
of	of	io
a	a	at1
thousand	thousand	m
daisies	daisy	nn2
.	.	y
It	it	pph1
is	be	vbz
for	for	if
lovers	lover	nn2
of	of	io
kitsch	kitsch	nn1
and	and	cc
those	those	dd2
with	with	iw
subpar	subpar	nn1
intelligence	intelligence	nn1
.	.	y
Yolanda	yolanda	nn1_np1@
would	would	vm
say	say	vvi
I	i	ppis1
'm	be	vbm
taking	take	vvg
this	this	rg
far	far	rr
too	too	rg
personally	personally	rr
.	.	y
Yolanda	yolanda	nn1_np1@
thinks	think	vvz
any	any	dd
idea	idea	nn1
that	that	cst_dd1
keeps	keep	vvz
a	a	at1
person	person	nn1
home	home	rl_nn1
working	work	vvg
on	on	ii_rp@
a	a	at1
Saturday	saturday	npd1
night	night	nnt1
is	be	vbz
hideous	hideous	jj
.	.	y
Also	also	rr
,	,	y
that	that	cst
I	i	ppis1
need	need	vv0
to	to	to
start	start	vvi
wearing	wear	vvg
tighter	tight	jjr
clothing	clothing	nn1
if	if	cs
I	i	ppis1
want	want	vv0
my	my	appge
weekends	weekend	nnt2
to	to	to
headline	headline	vvi
something	something	pn1
more	more	rgr_dar
exciting	exciting	jj
than	than	csn
collating	collate	vvg_jj@_nn1@
.	.	y
But	but	ccb
even	even	rr
she	she	pphs1
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
swallowing	swallow	vvg
whole	whole	nn1_jj
there	there	ex_rl
's	be	vbz
nothing	nothing	pn1
more	more	rgr_dar
likely	likely	jj
to	to	to
enrage	enrage	vvi
Yolanda	yolanda	np1_nn1@
than	than	csn
the	the	at
topic	topic	nn1
of	of	io
happiness	happiness	nn1
.	.	y
For	for	if
people	people	nn
who	who	pnqs
claim	claim	vv0
to	to	to
want	want	vvi
happiness	happiness	nn1
,	,	y
we	we	ppis2
Americans	american	nn2
spend	spend	vv0
a	a	at1
lot	lot	nn1
of	of	io
time	time	nnt1
spinning	spin	vvg
yarns	yarn	nn2
about	about	ii
its	its	z'
opposite	opposite	jj_nn1@
.	.	y
Even	even	rr
the	the	at
optimistic	optimistic	jj
novels	novel	nn2
end	end	vv0
the	the	at
minute	minute	nnt1
the	the	at
good	good	jj
times	time	nnt2
get	get	vv0
rolling	rolling	jj_vvg
.	.	y
Once	once	rr_cs@
characters	character	nn2
enter	enter	vv0
the	the	at
black	black	jj
box	box	nn1
of	of	io
happiness	happiness	nn1
,	,	y
no	no	pn121
one	one	pn122
wants	want	vvz
to	to	to
hear	hear	vvi
a	a	at1
peep	peep	nn1
out	out	ii21
of	of	ii22
them	them	ppho2
.	.	y
I	i	ppis1
've	have	vh0
learned	learn	vvn
exactly	exactly	rr
how	how	rgq@_rrq
hard	hard	rr
it	it	pph1
is	be	vbz
to	to	to
find	find	vvi
a	a	at1
good	good	jj
nontragic	nontragic	jj
American	american	jj
novel	novel	nn1
on	on	ii
academia	academia	nn1
's	's	ge
approved-reading	approved-reading	jj
list	list	nn1
.	.	y
I	i	ppis1
struggle	struggle	vv0@
every	every	at1
semester	semester	nn1
to	to	to
design	design	vvi
my	my	appge
Modern	modern	jj
American	american	jj
Lit	lit	nn1
syllabus	syllabus	nn1
with	with	iw
just	just	rr
one	one	mc1
plotline	plotline	nn1_vv0
that	that	cst_dd1
does	do	vdz
n't	n't	xx
make	make	vvi
you	you	ppy
want	want	vvi
to	to	to
jump	jump	vvi
off	off	rp_ii
a	a	at1
bridge	bridge	nn1
.	.	y
Paine	paine	np1
's	's	ge
wish	wish	nn1_vv0
that	that	cst
"	"	y
the	the	at
New	new	jj
World	world	nn1
regenerate	regenerate	vv0_nn1
the	the	at
Old	old	jj
"	"	y
notwithstanding	notwithstanding	rr
,	,	y
the	the	at
tragic	tragic	jj
European	european	jj
tradition	tradition	nn1
was	be	vbdz
hardly	hardly	rr
o'erthrown	o'erthrown	vvn
on	on	ii
our	our	appge
shores	shore	nn2
.	.	y
Hester	hester	np1
Prynne	prynne	np1
does	do	vdz
n't	n't	xx
make	make	vvi
out	out	rp
too	too	rg
well	well	rr
in	in	ii
the	the	at
end	end	nn1
,	,	y
does	do	vdz
she	she	pphs1
?	?	y
Ethan	ethan	np1@
Frome	frome	np1
and	and	cc
poor	poor	jj
Billy	billy	np1
Budd	budd	np1
and	and	cc
just	just	rr21
about	about	rr22
everyone	everyone	pn1
Faulkner	faulkner	np1
or	or	cc
O'Connor	o'connor	np1
or	or	cc
Porter	porter	np1
ever	ever	rr
met	meet	vvn
are	be	vbr
doomed	doom	vvn
.	.	y
Even	even	rr
sensuous	sensuous	jj
Janie	janie	nn1@_np1
in	in	ii
Their	their	appge
Eyes	eye	nn2
Were	be	vbdr
Watching	watch	vvg
God	god	np1
goes	go	vvz
through	through	ii
three	three	mc
husbands	husband	nn2
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
@		ii
lot	lot	nn1
.	.	y
Moral	moral	nn1@_jj
of	of	io
the	the	at
story	story	nn1
?	?	y
Never	never	rr
trust	trust	vv0
joy	joy	nn1
.	.	y
(	(	y
Do	do	vd0
not	not	xx
ever	ever	rr
say	say	vvi
this	this	dd1_rg%
aloud	aloud	rr
on	on	ii
a	a	at1
conference	conference	nn1
panel	panel	nn1
.	.	y
Literature	literature	nn1
professors	professor	nn2
do	do	vd0
n't	n't	xx
,	,	y
ever	ever	rr
,	,	y
call	call	vv0_nn1
books	book	nn2
